"","varcode","nro","wave","russian","english"
"620","pd20",620,"h20","В течение последних 30 дней Ваша семья продавала  что-либо из собранных грибов; орехов; ягод; выловленной рыбы; убитой дичи?","In the last 30 days your family to sell any of the collected mushrooms; nuts; berries; fish caught; killed game?"
"621","pd21",621,"h20","Сколько денег в течение последних 30 дней Ваша семья выручила от продажи собранного; пойманного?","How much money in the last 30 days of your family gain from the sale of collected; The catch?"
"622","pe1.1a",622,"h20","Ваша семья покупала за последние 7 дней белый хлеб?","Your family bought in the last 7 days of white bread?"
"623","pe1.1b",623,"h20","Сколько килограмм белого хлеба Ваша семья купила в течение последних 7 дней?","How many pounds of white bread your family bought in the last 7 days?"
"624","pe1.1c",624,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за белый хлеб?","How many rubles Your family paid for the last 7 days for white bread?"
"625","pe1.2a",625,"h20","Ваша семья покупала за последние 7 дней черный хлеб?","Your family bought in the last 7 days of black bread?"
"626","pe1.2b",626,"h20","Сколько килограмм черного хлеба Ваша семья купила в течение последних 7 дней?","How many pounds of black bread your family bought in the last 7 days?"
"627","pe1.2c",627,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за черный хлеб?","How many rubles Your family paid for the last 7 days for black bread?"
"628","pe1.3a",628,"h20","Ваша семья покупала за последние 7 дней рис; другую крупу?","Your family bought in the last 7 days rice; other cereals?"
"629","pe1.3b",629,"h20","Сколько килограмм риса; другой крупы Ваша семья купила в течение последних 7 дней?","How many pounds of rice; other cereals your family bought in the last 7 days?"
"630","pe1.3c",630,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за рис; другую крупу?","How many rubles Your family paid for the last 7 days for rice; other cereals?"
"631","pe1.4a",631,"h20","Ваша семья покупала за последние 7 дней муку?","Your family bought in the last 7 days flour?"
"632","pe1.4b",632,"h20","Сколько килограмм муки Ваша семья купила в течение последних 7 дней?","How many pounds of flour your family bought in the last 7 days?"
"633","pe1.4c",633,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за муку?","How many rubles Your family paid for the last 7 days for flour?"
"634","pe1.5a",634,"h20","Ваша семья покупала за последние 7 дней макаронные изделия?","Your family bought in the last 7 days pasta?"
"635","pe1.5b",635,"h20","Сколько килограмм макаронных изделий Ваша семья купила в течение последних 7 дней?","How many pounds of pasta your family bought in the last 7 days?"
"636","pe1.5c",636,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за макаронные изделия?","How many rubles Your family paid for the last 7 days for pasta?"
"637","pe1.6a",637,"h20","Ваша семья покупала за последние 7 дней картофель?","Your family bought in the last 7 days potatoes?"
"638","pe1.6b",638,"h20","Сколько килограмм картофеля Ваша семья купила в течение последних 7 дней?","How many pounds of potatoes your family bought in the last 7 days?"
"639","pe1.6c",639,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за картофель?","How many rubles Your family paid for the last 7 days for potatoes?"
"640","pe1.7a",640,"h20","Ваша семья покупала за последние 7 дней овощные консервы; без солений?","Your family bought in the last 7 days, canned vegetables; without pickles?"
"641","pe1.7b",641,"h20","Сколько килограмм овощных консервов; без солений; Ваша семья купила в течение последних 7 дней?","How many pounds of canned vegetables; without pickles; Your family bought in the last 7 days?"
"642","pe1.7c",642,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за овощные консервы; без солений?","How many rubles Your family paid for the last 7 days for canned vegetables; without pickles?"
"643","pe1.8a",643,"h20","Ваша семья покупала за последние 7 дней капусту; включая квашеную?","Your family bought in the last 7 days cabbage; including sauerkraut?"
"644","pe1.8b",644,"h20","Сколько килограмм капусты; включая квашеную; Ваша семья купила в течение последних 7 дней?","How many pounds of cabbage; including sauerkraut; Your family bought in the last 7 days?"
"645","pe1.8c",645,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за капусту; включая квашеную?","How many rubles Your family paid for the last 7 days for cabbage; including sauerkraut?"
"646","pe1.9a",646,"h20","Ваша семья покупала за последние 7 дней огурцы; включая соленые?","Your family bought in the last 7 days cucumbers; including salted?"
"647","pe1.9b",647,"h20","Сколько килограмм огурцов; включая соленые; Ваша семья купила в течение последних 7 дней?","How many kilograms of cucumbers; including salt; Your family bought in the last 7 days?"
"648","pe1.9c",648,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за огурцы; включая соленые?","How many rubles Your family paid for the last 7 days for cucumbers; including salted?"
"649","pe1.10a",649,"h20","Ваша семья покупала за последние 7 дней помидоры; включая соленые?","Your family bought in the last 7 days tomatoes; including salted?"
"650","pe1.10b",650,"h20","Сколько килограмм помидоров; включая соленые; Ваша семья купила в течение последних 7 дней?","How many pounds of tomatoes; including salt; Your family bought in the last 7 days?"
"651","pe1.10c",651,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за помидоры; включая соленые?","How many rubles Your family paid for the last 7 days for tomatoes; including salted?"
"652","pe1.11a",652,"h20","Ваша семья покупала за последние 7 дней свеклу; морковь и другие корнеплоды?","Your family bought in the last 7 days beets; carrots and other root vegetables?"
"653","pe1.11b",653,"h20","Сколько килограмм свеклы; моркови и других корнеплодов Ваша семья купила в течение последних 7 дней?","How many pounds of beets; carrots and other root vegetables your family bought in the last 7 days?"
"654","pe1.11c",654,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свеклу; морковь и другие корнеплоды?","How many rubles Your family paid for the last 7 days for beet; carrots and other root vegetables?"
"655","pe1.12a",655,"h20","Ваша семья покупала за последние 7 дней лук; чеснок?","Your family bought in the last 7 days onions; garlic?"
"656","pe1.12b",656,"h20","Сколько килограмм лука; чеснока Ваша семья купила в течение последних 7 дней?","How many pounds of onions; Your garlic family bought in the last 7 days?"
"657","pe1.12c",657,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за лук; чеснок?","How many rubles Your family paid for the last 7 days for onions; garlic?"
"658","pe1.13a",658,"h20","Ваша семья покупала за последние 7 дней кабачки; тыквы и тому подобное?","Your family bought in the last 7 days zucchini; pumpkins and the like?"
"659","pe1.13b",659,"h20","Сколько килограмм кабачков; тыквы и тому подобного Ваша семья купила в течение последних 7 дней?","How many pounds of zucchini; pumpkins and the like your family has bought in the last 7 days?"
"660","pe1.13c",660,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за кабачки; тыквы и тому подобное?","How many rubles Your family paid for the last 7 days for zucchini; pumpkins and the like?"
"661","pe1.14a",661,"h20","Ваша семья покупала за последние 7 дней другие овощи?","Your family bought in the last 7 days, other vegetables?"
"662","pe1.14b",662,"h20","Сколько килограмм других овощей Ваша семья купила в течение последних 7 дней?","How many pounds of other vegetables your family bought in the last 7 days?"
"663","pe1.14c",663,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за другие овощи?","How many rubles Your family paid for the last 7 days for other vegetables?"
"664","pe1.15a",664,"h20","Ваша семья покупала за последние 7 дней арбузы; дыни; включая соленые и сушеные?","Your family bought in the last 7 days watermelons; melon; including salted and dried?"
"665","pe1.15b",665,"h20","Сколько килограмм арбузов; дынь; включая сушеные; Ваша семья купила в течение последних 7 дней?","How many pounds of watermelons; melons; including dried; Your family bought in the last 7 days?"
"666","pe1.15c",666,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за арбузы; дыни; включая соленые и сушеные?","How many rubles Your family paid for the last 7 days for watermelons; melon; including salted and dried?"
"667","pe1.16a",667,"h20","Ваша семья покупала за последние 7 дней фруктово-ягодные консервы?","Your family bought in the last 7 days, fruit and berry preserves?"
"668","pe1.16b",668,"h20","Сколько килограмм фруктово-ягодных консервов Ваша семья купила в течение последних 7 дней?","How many pounds of fruit preserves your family bought in the last 7 days?"
"669","pe1.16c",669,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за фруктово-ягодные консервы?","How many rubles Your family paid for the last 7 days for fruit and berry preserves?"
"670","pe1.17a",670,"h20","Ваша семья покупала за последние 7 дней свежие ягоды?","Your family bought in the last 7 days fresh berries?"
"671","pe1.17b",671,"h20","Сколько килограмм свежих ягод Ваша семья купила в течение последних 7 дней?","How many pounds of fresh berries Your family bought in the last 7 days?"
"672","pe1.17c",672,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свежие ягоды?","How many rubles Your family paid for the last 7 days for fresh berries?"
"673","pe1.18a",673,"h20","Ваша семья покупала за последние 7 дней свежие фрукты?","Your family bought in the last 7 days fresh fruit?"
"674","pe1.18b",674,"h20","Сколько килограмм свежих фруктов Ваша семья купила в течение последних 7 дней?","How many pounds of fresh fruits your family bought in the last 7 days?"
"675","pe1.18c",675,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свежие фрукты?","How many rubles Your family paid for the last 7 days for fresh fruit?"
"676","pe1.19a",676,"h20","Ваша семья покупала за последние 7 дней сушеные фрукты и ягоды?","Your family bought in the last 7 days, dried fruit and berries?"
"677","pe1.19b",677,"h20","Сколько килограмм сушеных фруктов и ягод Ваша семья купила в течение последних 7 дней?","How many kilograms of dried fruits and berries Your family bought in the last 7 days?"
"678","pe1.19c",678,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сушеные фрукты и ягоды?","How many rubles Your family paid for the last 7 days for dried fruits and berries?"
"679","pe1.20a",679,"h20","Ваша семья покупала за последние 7 дней орехи; семечки?","Your family bought in the last 7 days nuts; seeds?"
"680","pe1.20b",680,"h20","Сколько килограмм орехов; семечек Ваша семья купила в течение последних 7 дней?","How many pounds of nuts; Your family bought the seeds in the last 7 days?"
"681","pe1.20c",681,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за орехи; семечки?","How many rubles Your family paid for the last 7 days for nuts; seeds?"
"682","pe1.21a",682,"h20","Ваша семья покупала за последние 7 дней мясные консервы?","Your family bought in the last 7 days, canned meat?"
"683","pe1.21b",683,"h20","Сколько килограмм мясных консервов Ваша семья купила в течение последних 7 дней?","How many pounds of canned meat your family bought in the last 7 days?"
"684","pe1.21c",684,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мясные консервы?","How many rubles Your family paid for the last 7 days for canned meat?"
"685","pe1.22a",685,"h20","Ваша семья покупала за последние 7 дней говядину; телятину?","Your family bought in the last 7 days beef; veal?"
"686","pe1.22b",686,"h20","Сколько килограмм говядины; телятины Ваша семья купила в течение последних 7 дней?","How many pounds of beef; Veal Your family bought in the last 7 days?"
"687","pe1.22c",687,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за говядину; телятину?","How many rubles Your family paid for the last 7 days for beef; veal?"
"688","pe1.23a",688,"h20","Ваша семья покупала за последние 7 дней баранину; козлятину?","Your family bought in the last 7 days mutton; goat?"
"689","pe1.23b",689,"h20","Сколько килограмм баранины; козлятины Ваша семья купила в течение последних 7 дней?","How many pounds of mutton; Your family bought a goat for the past 7 days?"
"690","pe1.23c",690,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за баранину; козлятину?","How many rubles Your family paid for the last 7 days for mutton; goat?"
"691","pe1.24a",691,"h20","Ваша семья покупала за последние 7 дней свинину?","Your family bought in the last 7 days pork?"
"692","pe1.24b",692,"h20","Сколько килограмм свинины Ваша семья купила в течение последних 7 дней?","How many pounds of pork Your family bought in the last 7 days?"
"693","pe1.24c",693,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свинину?","How many rubles Your family paid for the last 7 days for pork?"
"694","pe1.25a",694,"h20","Ваша семья покупала за последние 7 дней субпродукты: печень; почки и так далее?","Your family bought in the last 7 days offal: liver; kidneys, and so on?"
"695","pe1.25b",695,"h20","Сколько килограмм субпродуктов: печени; почек и так далее Ваша семья купила в течение последних 7 дней?","How many kilograms of offal: liver; kidney and so on Your family bought in the last 7 days?"
"696","pe1.25c",696,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за субпродукты: печень; почки и так далее?","How many rubles Your family paid for the last 7 days of offal: liver; kidneys, and so on?"
"697","pe1.26a",697,"h20","Ваша семья покупала за последние 7 дней птицу?","Your family bought in the last 7 days of the bird?"
"698","pe1.26b",698,"h20","Сколько килограмм птицы Ваша семья купила в течение последних 7 дней?","How many pounds of poultry Your family bought in the last 7 days?"
"699","pe1.26c",699,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за птицу?","How many rubles Your family paid for the last 7 days for a bird?"
"700","pe1.27a",700,"h20","Ваша семья покупала за последние 7 дней сало; другие животные жиры?","Your family bought in the last 7 days fat; Other animal fats?"
"701","pe1.27b",701,"h20","Сколько килограмм сала; других животных жиров Ваша семья купила в течение последних 7 дней?","How many pounds of fat; other animal fats your family bought in the last 7 days?"
"702","pe1.27c",702,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сало; другие животные жиры?","How many rubles Your family paid for the last 7 days for fat; Other animal fats?"
"703","pe1.28a",703,"h20","Ваша семья покупала за последние 7 дней колбасные изделия; копчености?","Your family bought in the last 7 days sausages; smoked?"
"704","pe1.28b",704,"h20","Сколько килограмм колбасных изделий; копченостей Ваша семья купила в течение последних 7 дней?","How many pounds of sausages; Your family bought smoked in the last 7 days?"
"705","pe1.28c",705,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за колбасные изделия; копчености?","How many rubles Your family paid for the last 7 days for meat products; smoked?"
"706","pe1.29a",706,"h20","Ваша семья покупала за последние 7 дней мясные полуфабрикаты?","Your family bought in the last 7 days meat products?"
"707","pe1.29b",707,"h20","Сколько килограмм мясных полуфабрикатов Ваша семья купила в течение последних 7 дней?","How many pounds of meat semis Your family bought in the last 7 days?"
"708","pe1.29c",708,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мясные полуфабрикаты?","How many rubles Your family paid for the last 7 days for meat products?"
"709","pe1.30a",709,"h20","Ваша семья покупала за последние 7 дней молочные консервы; сухое молоко?","Your family bought in the last 7 days canned milk; milk powder?"
"710","pe1.30b",710,"h20","Сколько килограмм молочных консервов; сухого молока Ваша семья купила в течение последних 7 дней?","How many pounds of canned milk; dry milk your family bought in the last 7 days?"
"711","pe1.30c",711,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за молочные консервы; сухое молоко?","How many rubles Your family paid for the last 7 days for canned milk; milk powder?"
"712","pe1.31a",712,"h20","Ваша семья покупала за последние 7 дней молоко; кроме сухого?","Your family bought in the last 7 days milk; except dry?"
"713","pe1.31b",713,"h20","Сколько литров молока; кроме сухого; Ваша семья купила в течение последних 7 дней?","How many liters of milk; except dry; Your family bought in the last 7 days?"
"714","pe1.31c",714,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за молоко; кроме сухого?","How many rubles Your family paid for the last 7 days for milk; except dry?"
"715","pe1.32a",715,"h20","Ваша семья покупала за последние 7 дней кисломолочные продукты: кефир; йогурт и другие?","Your family bought in the last 7 days milk products: yogurt; yogurt and others?"
"716","pe1.32b",716,"h20","Сколько литров кисломолочных продуктов: кефира; йогурта и других Ваша семья купила в течение последних 7 дней?","How many liters of milk products: yogurt; Your yogurt and other family bought in the last 7 days?"
"717","pe1.32c",717,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за кисломолочные продукты: кефир; йогурт и другие?","How many rubles Your family paid for the last 7 days for milk products: yogurt; yogurt and others?"
"718","pe1.33a",718,"h20","Ваша семья покупала за последние 7 дней сметану; сливки?","Your family bought in the last 7 days cream; cream?"
"719","pe1.33b",719,"h20","Сколько литров сметаны; сливок Ваша семья купила в течение последних 7 дней?","How many liters of sour cream; cream your family bought in the last 7 days?"
"720","pe1.33c",720,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сметану; сливки?","How many rubles Your family paid for the last 7 days for sour cream; cream?"
"721","pe1.34a",721,"h20","Ваша семья покупала за последние 7 дней масло животное?","Your family bought in the last 7 days butter?"
"722","pe1.34b",722,"h20","Сколько килограмм масла животного Ваша семья купила в течение последних 7 дней?","How many pounds of butter your family bought in the last 7 days?"
"723","pe1.34c",723,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за масло животное?","How many rubles Your family paid for the last 7 days for butter?"
"724","pe1.35a",724,"h20","Ваша семья покупала за последние 7 дней творог; сырковую массу?","Your family bought in the last 7 days curd; syrkovoy mass?"
"725","pe1.35b",725,"h20","Сколько килограмм творога; сырковой массы Ваша семья купила в течение последних 7 дней?","How many pounds of cheese; syrkovoy weight your family bought in the last 7 days?"
"726","pe1.35c",726,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за творог; сырковую массу?","How many rubles Your family paid for the last 7 days for cheese; syrkovoy mass?"
"727","pe1.36a",727,"h20","Ваша семья покупала за последние 7 дней сыр; брынзу?","Your family bought in the last 7 days cheese; cheese?"
"728","pe1.36b",728,"h20","Сколько килограмм сыра; брынзы Ваша семья купила в течение последних 7 дней?","How many pounds of cheese; Your family bought cheese in the last 7 days?"
"729","pe1.36c",729,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сыр; брынзу?","How many rubles Your family paid for the last 7 days for cheese; cheese?"
"730","pe1.37a",730,"h20","Ваша семья покупала за последние 7 дней мороженое?","Your family bought in the last 7 days of ice cream?"
"731","pe1.37b",731,"h20","Сколько килограмм мороженого Ваша семья купила в течение последних 7 дней?","How many pounds of ice cream Your family bought in the last 7 days?"
"732","pe1.37c",732,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мороженое?","How many rubles Your family paid for the last 7 days for ice cream?"
"733","pe1.38a",733,"h20","Ваша семья покупала за последние 7 дней масло растительное?","Your family bought in the last 7 days of vegetable oil?"
"734","pe1.38b",734,"h20","Сколько литров масла растительного Ваша семья купила в течение последних 7 дней?","How many liters of vegetable oil your family bought in the last 7 days?"
"735","pe1.38c",735,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за масло растительное?","How many rubles Your family paid for the last 7 days for vegetable oil?"
"736","pe1.39a",736,"h20","Ваша семья покупала за последние 7 дней маргарин?","Your family bought in the last 7 days margarine?"
"737","pe1.39b",737,"h20","Сколько килограмм маргарина Ваша семья купила в течение последних 7 дней?","How many pounds of margarine Your family bought in the last 7 days?"
"738","pe1.39c",738,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за маргарин?","How many rubles Your family paid for the last 7 days for margarine?"
"739","pe1.40a",739,"h20","Ваша семья покупала за последние 7 дней сахар?","Your family bought in the last 7 days of sugar?"
"740","pe1.40b",740,"h20","Сколько килограмм сахара Ваша семья купила в течение последних 7 дней?","How many pounds of sugar your family bought in the last 7 days?"
"741","pe1.40c",741,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сахар?","How many rubles Your family paid for the last 7 days for sugar?"
"742","pe1.41a",742,"h20","Ваша семья покупала за последние 7 дней конфеты; шоколад?","Your family bought in the last 7 days candies; chocolate?"
"743","pe1.41b",743,"h20","Сколько килограмм конфет; шоколада Ваша семья купила в течение последних 7 дней?","How many pounds of candy; Your chocolate family bought in the last 7 days?"
"744","pe1.41c",744,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за конфеты; шоколад?","How many rubles Your family paid for the last 7 days for candy; chocolate?"
"745","pe1.42a",745,"h20","Ваша семья покупала за последние 7 дней варенье; джем?","Your family bought in the last 7 days jam; jam?"
"746","pe1.42b",746,"h20","Сколько килограмм варенья; джема Ваша семья купила в течение последних 7 дней?","How many pounds of jam; jam your family bought in the last 7 days?"
"747","pe1.42c",747,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за варенье; джем?","How many rubles Your family paid for the last 7 days for jam; jam?"
"748","pe1.43a",748,"h20","Ваша семья покупала за последние 7 дней мед?","Your family bought in the last 7 days, honey?"
"749","pe1.43b",749,"h20","Сколько килограмм меда Ваша семья купила в течение последних 7 дней?","How many pounds of honey Your family bought in the last 7 days?"
"750","pe1.43c",750,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мед?","How many rubles Your family paid for the last 7 days for honey?"
"751","pe1.44a",751,"h20","Ваша семья покупала за последние 7 дней печенье; пирожные; торты; вафли; пряники; сдобные булочки?","Your family bought in the last 7 days of the liver; cakes; cakes; waffles; gingerbread; buns?"
"752","pe1.44b",752,"h20","Сколько килограмм печенья; пирожных; тортов; вафель; пряников; сдобных булочек Ваша семья купила в течение последних 7 дней?","How many pounds of cookies; cakes; cakes; waffles; gingerbread; muffins Your family bought in the last 7 days?"
"753","pe1.44c",753,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за печенье; пирожные; торты; вафли; пряники; сдобные булочки?","How many rubles Your family paid for the last 7 days for cookies; cakes; cakes; waffles; gingerbread; buns?"
"754","pe1.45a",754,"h20","Ваша семья покупала за последние 7 дней яйца?","Your family bought in the last 7 days the eggs?"
"755","pe1.45b",755,"h20","Сколько штук яиц Ваша семья купила в течение последних 7 дней?","How many eggs your family bought in the last 7 days?"
"756","pe1.45c",756,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за яйца?","How many rubles Your family paid for the last 7 days for eggs?"
"757","pe1.46a",757,"h20","Ваша семья покупала за последние 7 дней рыбу свежую; мороженую; соленую; сушеную; рыбные полуфабрикаты?","Your family bought in the last 7 days fresh fish; frozen; salt; dried; fish semifinished products?"
"758","pe1.46b",758,"h20","Сколько килограмм рыбы свежей; мороженой; соленой; сушеной; рыбных полуфабрикатов Ваша семья купила в течение последних 7 дней?","How many pounds of fresh fish; frozen; salt; dried; Your family semi-finished fish bought in the last 7 days?"
"759","pe1.46c",759,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за рыбу; свежую мороженую; соленую сушеную; рыбные полуфабрикаты?","How many rubles Your family paid for the last 7 days for the fish; fresh frozen; dried salted; fish semifinished products?"
"760","pe1.47a",760,"h20","Ваша семья покупала за последние 7 дней рыбные консервы?","Your family bought in the last 7 days of canned fish?"
"761","pe1.47b",761,"h20","Сколько килограмм рыбных консервов Ваша семья купила в течение последних 7 дней?","How many pounds of canned fish your family bought in the last 7 days?"
"762","pe1.47c",762,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за рыбные консервы?","How many rubles Your family paid for the last 7 days for canned fish?"
"763","pe1.48a",763,"h20","Ваша семья покупала за последние 7 дней чай?","Your family bought in the last 7 days of tea?"
"764","pe1.48b",764,"h20","Сколько килограмм чая Ваша семья купила в течение последних 7 дней?","How many pounds of tea Your family bought in the last 7 days?"
"765","pe1.48c",765,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за чай?","How many rubles Your family paid for the last 7 days for tea?"
"766","pe1.49a",766,"h20","Ваша семья покупала за последние 7 дней кофе; кофейные напитки; какао?","Your family bought in the last 7 days of coffee; coffee beverages; Cocoa?"
"767","pe1.49b",767,"h20","Сколько килограмм кофе; кофейных напитков; какао Ваша семья купила в течение последних 7 дней?","How many pounds of coffee; coffee drinks; cocoa Your family bought in the last 7 days?"
"768","pe1.49c",768,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за кофе; кофейные напитки; какао?","How many rubles Your family paid for the last 7 days for coffee; coffee beverages; Cocoa?"
"769","pe1.50a",769,"h20","Ваша семья покупала за последние 7 дней безалкогольные напитки; соки?","Your family bought in the last 7 days of non-alcoholic drinks; juices?"
"770","pe1.50b",770,"h20","Сколько литров безалкогольных напитков; соков Ваша семья купила в течение последних 7 дней?","How many liters of soft drinks; Juice Your family bought in the last 7 days?"
"771","pe1.50c",771,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за безалкогольные напитки; соки?","How many rubles Your family paid for the last 7 days for non-alcoholic drinks; juices?"
"772","pe1.51a",772,"h20","Ваша семья покупала за последние 7 дней соль; другие специи; различные соусы?","Your family bought in the last 7 days salt; other spices; various sauces?"
"773","pe1.51b",773,"h20","Сколько килограмм соли; других специй; различных соусов Ваша семья купила в течение последних 7 дней?","How many pounds of salt; other spices; various sauces your family bought in the last 7 days?"
"774","pe1.51c",774,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за соль; другие специи; различные соусы?","How many rubles Your family paid for the last 7 days for salt; other spices; various sauces?"
"775","pe1.52a",775,"h20","Ваша семья покупала за последние 7 дней грибы?","Your family bought in the last 7 days mushrooms?"
"776","pe1.52b",776,"h20","Сколько килограмм грибов Ваша семья купила в течение последних 7 дней?","How many pounds of mushrooms Your family bought in the last 7 days?"
"777","pe1.52c",777,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за грибы?","How many rubles Your family paid for the last 7 days for mushrooms?"
"778","pe1.53a",778,"h20","Ваша семья покупала за последние 7 дней водку?","Your family bought in the last 7 days vodka?"
"779","pe1.53b",779,"h20","Сколько литров водки Ваша семья купила в течение последних 7 дней?","How many liters of vodka Your family bought in the last 7 days?"
"780","pe1.53c",780,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за водку?","How many rubles Your family paid for the last 7 days for vodka?"
"781","pe1.54a",781,"h20","Ваша семья покупала за последние 7 дней вина; другие ликероводочные изделия?","Your family bought in the last 7 days of wine; other alcoholic beverages?"
"782","pe1.54b",782,"h20","Сколько литров вина; других ликероводочных изделий Ваша семья купила в течение последних 7 дней?","How many liters of wine; other liquors Your family bought in the last 7 days?"
"783","pe1.54c",783,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за вина; другие ликероводочные изделия?","How many rubles Your family paid for the last 7 days for wine; other alcoholic beverages?"
"784","pe1.55a",784,"h20","Ваша семья покупала за последние 7 дней пиво?","Your family bought in the last 7 days of beer?"
"785","pe1.55b",785,"h20","Сколько литров пива Ваша семья купила в течение последних 7 дней?","How many liters of beer Your family bought in the last 7 days?"
"786","pe1.55c",786,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за пиво?","How many rubles Your family paid for the last 7 days for a beer?"
"787","pe1.56a",787,"h20","Ваша семья покупала за последние 7 дней табачные изделия?","Your family bought in the last 7 days of tobacco products?"
"788","pe1.56b",788,"h20","Сколько пачек табачных изделий Ваша семья купила в течение последних 7 дней?","How many packs of tobacco products your family bought in the last 7 days?"
"789","pe1.56c",789,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за табачные изделия?","How many rubles Your family paid for the last 7 days for tobacco products?"
"790","pe1.57a",790,"h20","Ваша семья покупала за последние 7 дней жевательные резинки; пастилки?","Your family bought in the last 7 days chewing gum; lozenges?"
"791","pe1.57b",791,"h20","Сколько штук жевательных резинок; пастилок купила Ваша семья за последние7 дней?","How many pieces of chewing gum; lozenges bought your family for poslednie7 days?"
"792","pe1.57c",792,"h20","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за жевательные резинки; пастилки?","How many rubles Your family paid for the last 7 days for chewing gum; lozenges?"
"793","pe2",793,"h20","В течение последних 7 дней Вы или другие члены Вашей семьи питались вне дома?","During the last 7 days of you or other members of your family eat out?"
"794","pe3",794,"h20","Вспомните; сколько примерно денег все члены Вашей семьи израсходовали на питание вне дома в течение последних 7 дней?","Remember; approximately how much money all the members of your family spent on food away from home for the past 7 days?"
"795","pe4",795,"h20","Вспомните; сколько примерно денег все члены Вашей семьи израсходовали на питание дома и вне дома в течение последних 30 дней?","Remember; approximately how much money all the members of your family spent on food at home and away from home for the past 30 days?"
"796","pe5",796,"h20","Покупали Вы или дpугие члены Вашей семьи в течение последних 3-х месяцев что-либо из одежды или обуви для членов домохозяйства?","You buy or d.puguyu your family members for the past 3 months anything from clothes and shoes to household members?"
"797","pe6.1",797,"h20","Сколько Вы и дpугие члены домохозяйства потратили на приобретение одежды и обуви для взрослых; то есть для членов домохозяйства 18-ти лет и старше; в течение последних 3 месяцев?","How much do you print and other members of the household spent on the purchase of clothing and shoes for adults; ie household members 18 years of age or older; during the last 3 months?"
