nro,wave,varcode,russian,english
287,i20,pj400.3,Вы пошли учиться на эти курсы; чтобы повысить квалификацию?,You went to study in these courses; to improve their skills?
288,i20,pj400.4,Вы пошли учиться на эти курсы; чтобы начать собственное дело?,You went to study in these courses; to start your own business?
289,i20,pj400.5,Вы пошли учиться на эти курсы; чтобы расширить кругозор?,You went to study in these courses; to broaden their horizons?
290,i20,pj400.7,Вы пошли учиться на эти курсы; чтобы повысить заработок?,You went to study in these courses; to increase earnings?
291,i20,pj400.8,Вы пошли учиться на эти курсы; чтобы получить другую должность?,You went to study in these courses; to get another job?
292,i20,pj400.9,Вы пошли учиться на эти курсы; чтобы лучше выполнять эту работу?,You went to study in these courses; to do a better job?
293,i20,pj400.10,Вы пошли учиться на эти курсы по требованию руководства?,You went on to study these courses at the request of management?
294,i20,pj400.6,Вы пошли учиться на эти курсы для чего-то другого?,You went on to study these courses for something else?
295,i20,pj72.151,Собираетесь ли Вы продолжить образование на курсах; в техникуме; ВУЗе в течение ближайших трех лет?,Are you going to continue education courses; in college; University over the next three years?
296,i20,pj72a.1,Вы собираетесь в течение ближайших трех лет учиться: на профессиональных курсах?,You are going for the next three years to learn: in professional courses?
297,i20,pj72a.2,Вы собираетесь в течение ближайших трех лет учиться: в техникуме?,You are going for the next three years to learn: in college?
298,i20,pj72a.3,Вы собираетесь в течение ближайших трех лет учиться: в ВУЗе; в том числе в магистратуре; аспирантуре; докторантуре?,You are going for the next three years to learn: at the university; including a master's degree; graduate; doctorate?
299,i20,pj260,Скажите; пожалуйста; Вы владеете каким-либо иностранным языком; помимо языков бывших республик СССР?,tell me; please; You own some foreign language; than the languages of the former Soviet republics?
300,i20,pj262,В какой степени Вы владеете иностранным языком?,To what extent do you speak a foreign language?
301,i20,pj72.161,Приходилось ли Вам в течение последних 12 месяцев пользоваться персональным компьютером в любых целях?,Have you in the past 12 months to use a personal computer for any purpose?
302,i20,pj721621,В течение последних 12 месяцев Вы пользовались персональным компьютером у себя дома?,"During the past 12 months, have you used a personal computer at home?"
303,i20,pj721622,В течение последних 12 месяцев Вы пользовались персональным компьютером по месту работы; учебы?,"During the past 12 months, have you used a personal computer in the workplace; studies?"
304,i20,pj721623,В течение последних 12 месяцев Вы пользовались персональным компьютером в других местах?,"During the past 12 months, have you used a personal computer in other places?"
305,i20,pj72160,В течение последних 12 месяцев Вы пользовались персональным компьютером для работы или учебы?,"During the past 12 months, have you used a personal computer for work or study?"
306,i20,pj123,Приходилось ли Вам в течение последних 12 месяцев пользоваться Интернетом?,Have you in the past 12 months to use the Internet?
307,i20,pj124.1,В течение последних 12 месяцев Вы пользовались Интернетом у себя дома?,"During the past 12 months, have you used the Internet at home?"
308,i20,pj124.2,В течение последних 12 месяцев Вы пользовались Интернетом по месту работы; учебы?,"During the past 12 months, have you used the Internet in the workplace; studies?"
309,i20,pj124.3,В течение последних 12 месяцев Вы пользовались Интернетом в Интернет-кафе?,"During the past 12 months, have you used the Internet at Internet cafes?"
310,i20,pj124.4,В течение последних 12 месяцев Вы пользовались Интернетом в других местах?,"During the past 12 months, have you used the Internet in other places?"
311,i20,pj359.1,Вы пользуетесь для выхода в Интернет ноутбуком; лэптопом,You use to access the Internet laptop; laptop
312,i20,pj359.2,Вы пользуетесь для выхода в Интернет карманным компьютером - палмтопом,You use to access the Internet Pocket PC - palmtop
313,i20,pj359.3,Вы пользуетесь для выхода в Интернет мобильным телефоном или смартфоном,You use to access the Internet mobile phone or smartphone
314,i20,pj125.1,Вы пользовались Интернетом в течение последних 12 месяцев для учебы?,You used the Internet in the last 12 months to study?
315,i20,pj125.2,Вы пользовались Интернетом в течение последних 12 месяцев для работы?,You used the Internet in the last 12 months to work?
316,i20,pj125.3,Вы пользовались Интернетом в течение последних 12 месяцев для развлечений?,You used the Internet in the last 12 months for entertainment?
317,i20,pj125.4,Вы пользовались Интернетом в течение последних 12 месяцев для общения с другими людьми?,You used the Internet in the last 12 months to communicate with other people?
318,i20,pj125.5,Вы пользовались Интернетом в течение последних 12 месяцев для получения информации о новостях?,You used the Internet in the last 12 months to get information about news?
319,i20,pj125.6,Вы пользовались Интернетом в течение последних 12 месяцев для расширения кругозора; повышения своего культурного уровня?,You used the Internet in the last 12 months to expand the horizons; improve their cultural level?
320,i20,pj125.7,Вы пользовались Интернетом в течение последних 12 месяцев для получения справочных материалов?,You used the Internet in the last 12 months for reference materials?
321,i20,pj125.8,Вы пользовались Интернетом в течение последних 12 месяцев для покупок; получения товаров и услуг?,You used the Internet in the last 12 months for purchases; receipt of goods and services?
322,i20,pj125.9,Вы пользовались Интернетом в течение последних 12 месяцев для чего-то еще?,You used the Internet in the last 12 months for something else?
323,i20,pj184,У Вас лично есть мобильный сотовый телефон?,Do you personally have a mobile cell phone?
324,i20,pj360.2,У Вас лично есть коммуникатор; i-Phone (ай-фон)?,Do you personally have a communicator; i-Phone (ah-background)?
325,i20,pj360.3,У Вас лично есть компьютер переносной:ноутбук; лэптоп или нетбук?,Do you personally have a portable computer: laptop; laptop or netbook?
326,i20,Pj360.4,У (него/нее) лично есть портативная развлекательная система PSP?,We (him / her) personally have a portable entertainment system PSP?
327,i20,pj322,Состоите ли Вы в зарегистрированном браке?,Are you a member registered marriage?
328,i20,pj323m,Когда Вы зарегистрировали этот брак? (МЕСЯЦ),When you register the marriage? (Months)
329,i20,pj323y,Когда Вы зарегистрировали этот брак? (ГОД),When you register the marriage? (Year)
330,i20,pj324,Возможно; Вы проживаете вместе с (партнером/партнершей); но не регистрируете свои отношения?,possible; Do you live with (partner / partner); but do not register their relationship?
331,i20,pj325m,Когда Вы впервые начали жить вместе с (Вашим мужем/партнером)/(Вашей женой/партнершей)? (МЕСЯЦ),When you first started to live together with (your husband / partner) / (your wife / partner)? (Months)
332,i20,pj325y,Когда Вы впервые начали жить вместе с (Вашим мужем/партнером)/(Вашей женой/партнершей)? (ГОД),When you first started to live together with (your husband / partner) / (your wife / partner)? (Year)
333,i20,pj72.18,В нашем обществе в последнее время много говорят о религии. А каково Ваше отношение к религии?,In our society in recent years has been much talk about religion. And what are your views on religion?
334,i20,pj72.19,К какой религии Вы себя относите?,Which religion do you belong?
335,i20,21,НИ К КАКОЙ РЕЛИГИИ; ЧЕЛОВЕК ДОЛЖЕН ВЕРИТЬ САМ В СЕБЯ,To any religion; One must believe in myself
336,i20,22,ВЕРА В ВЫСШИЙ РАЗУМ; НО НЕ БОГ,Belief in a supreme intelligence; BUT NOT GOD
337,i20,23,НЕ РАЗБИРАЕМСЯ В РЕЛИГИИ,Do not disassemble in religion
338,i20,24,СТАРООБРЯДЧЕСКАЯ; НО ХРИСТИАНСКАЯ,Old Believer; But the Christian
339,i20,25,ЕВАНГЕЛИСТЫ,EVANGELICALS
340,i20,26,В БОГА ВЕРЮ И ВСЕ,Believe in God AND ALL
341,i20,27,ЖИВУ В РОССИИ–ПРАВОСЛАВИЕ; В ТАДЖИКИСТАНЕ-МУСУЛЬМАНСТВО,LIVE IN RUSSIA-Orthodoxy; TAJIKISTAN-Islam
342,i20,28,ИСЛАМ,ISLAM
343,i20,29,ЕВАНГЕЛЬСКИЙ ХРИСТИАНИН - ПЯТИДЕСЯТНИК,Evangelical Christian - Pentecostal
344,i20,30,ВСЕЛЕНСКАЯ,UNIVERSAL
345,i20,31,Я НЕ РАЗБИРАЮСЬ; ВЕРЮ НЕМНОГО ВО ЧТО-ТО ВЫСШЕЕ,I do not understand; I BELIEVE IN A LITTLE SOMETHING HIGHER
346,i20,32,ЭКУМЕНИСТКА,EKUMENISTKA
347,i20,33,САТАНИЗМ,Satanism
348,i20,34,ВЕРЮ В АНГЕЛА-ХРАНИТЕЛЯ,BELIEVE IN guardian angel
349,i20,35,ДРЕВНЯЯ,ANCIENT
350,i20,36,АРМЯНО-ГРИГОРИАНСКАЯ; ГРИГОРИАНСТВО,Armenian Gregorian; Gregorian
351,i20,37,ЭЗОТЕРИКА,Esoterica
352,i20,38,КОСМИЧЕСКАЯ,SPACE
353,i20,39,ХРИЗМАТИЧЕСКАЯ,HRIZMATICHESKAYA
354,i20,40,НОВОЕ ПОКОЛЕНИЕ,NEW GENERATION
355,i20,41,МОЛОКАНЕ,Molokanov
356,i20,42,ЛЮТЕРАНКА-КАТОЛИЧКА,Lutheran-Catholic
357,i20,43,РУССКАЯ; ЦЕРКОВНАЯ,RUSSIAN; CHURCH
358,i20,44,ЕВАНГЕЛИСТСКИЕ ХРИСТИАНЕ-БАПТИСТЫ,Evangelical Christian Baptists
359,i20,45,ПРАВОСЛАВИЕ; МУСУЛЬМАНСТВО,Orthodoxy; Islam
360,i20,46,АДВЕНТИСТЫ СЕДЬМОГО ДНЯ,Seventh-day Adventists
361,i20,47,ЯЗЫЧЕСТВО,heathendom
362,i20,48,СВОЯ,OWN
363,i20,49,КО ВСЕМ,TO ALL
364,i20,50,НЕ ПРИВЯЗАН НИ К КАКОЙ РЕЛИГИИ; ХОТЯ МУСУЛЬМАНСТВО БЛИЖЕ,Not tied to any religion; EVEN CLOSER Islam
365,i20,51,ПОЗИТИВИЗМ,positivism
366,i20,52,ВЕДИЗМ,Vedism
367,i20,53,БУДДИЗМ (ДАОСИЗМ),BUDDHISM (Taoism)
368,i20,54,ДЗЕН-БУДДИЗМ,Zen
369,i20,pj721631,Имеете ли Вы или Ваша семья возможность при желании улучшить свои жилищные условия - купить комнату; квартиру; дом?,Do you or your family if you want the opportunity to improve their living conditions - to buy a room; apartment; house?
370,i20,pj721632,Имеете ли Вы или Ваша семья возможность при желании оплачивать дополнительные занятия детей - музыкальную школу; иностранные языки; спортивные секции; кружки и т.п.?,"Do you or your family if you want the opportunity to pay for tutoring children - music school; foreign languages; sports clubs; mugs, etc.?"
371,i20,pj721633,Имеете ли Вы или Ваша семья возможность при желании откладывать деньги на крупные покупки - машину; дачу?,Do you or your family if you want the opportunity to save for a major purchase - car; cottage?
372,i20,pj721634,Имеете ли Вы или Ваша семья возможность при желании провести всей семьей отпуск за границей?,Do you or your family if you want the opportunity to spend a family holiday abroad?
373,i20,pj721635,Имеете ли Вы или Ваша семья возможность при желании оплачивать учебу ребенка в ВУЗе?,Do you or your family if you want the opportunity to pay for the child's education at the university?
374,i20,pj72.171,У Вас есть дети; родные или официально усыновленные?,Do you have children; relatives or officially adopted?
375,i20,pj72.172,Сколько  всего у Вас детей?,How many children do you have?
376,i20,pj72.173,А сколько из них моложе 18 лет?,And how many of those under age 18?
377,i20,pj215a,В каком году родился Ваш отец?,In what year was your father born?
378,i20,pj215b,В каком году родилась Ваша мать?,In what year was your mother born?
379,i20,pj216ac,Код профессии по ISCO88 работы отца респондента; когда респонденту было 15 лет,Code of the profession of his father on ISCO88 respondent; when the respondent was 15 years old
380,i20,pj216bc,Код профессии по ISCO88 работы матери респондента; когда респонденту было 15 лет,Code of the profession by working mothers ISCO88 respondent; when the respondent was 15 years old
381,i20,pj217a,Какое образование было у Вашего отца или человека; который заменил Вам его; когда Вам было 15 лет?,What kind of education had a father or a man; which replaced it to you; when you were 15 years old?
382,i20,pj217b,Какое образование было у Вашей матери или женщины; которая заменила Вам ее; когда Вам было 15 лет?,What kind of education was your mother or a woman; which replaced it to you; when you were 15 years old?
383,i20,pj73,Вы сейчас получаете пенсию? Не учитывайте; пожалуйста; пенсии на детей,You now get a pension? Do not count; please; pension for children
384,i20,pj73.3y,Сколько полных лет и месяцев составлял Ваш общий трудовой стаж; то есть стаж; по которому рассчитывалась Ваша пенсия; когда Вы выходили на пенсию? Не включайте в него время учебы на дневном отделении ВУЗа или техникума (ЛЕТ),How many full years and months was your total seniority; ie seniority; is used to calculate your pension; when you retire? Do not turn it while studying full time at university or college (s)
385,i20,pj73.3m,Сколько полных лет и месяцев составлял Ваш общий трудовой стаж; то есть стаж; по которому рассчитывалась Ваша пенсия; когда Вы выходили на пенсию? (МЕСЯЦЕВ),How many full years and months was your total seniority; ie seniority; is used to calculate your pension; when you retire? (Months)
386,i20,pj259,Если на момент оформления пенсии у Вас был стаж; который давал право на досрочное оформление пенсии; то сколько полных лет он составлял?,If at the time of registration of the pension you had experience; which gave the right to early retirement clearance; how many full years he was?
387,i20,pj73.4y,Сколько полных лет и месяцев Вы отработали уже после выхода на пенсию? (ЛЕТ),How many full years and months you have worked after retirement? (S)
388,i20,pj73.4m,Сколько полных лет и месяцев Вы отработали уже после выхода на пенсию? (МЕСЯЦЕВ),How many full years and months you have worked after retirement? (Months)
389,i20,pj74.1a,Какую именно пенсию Вы получаете сейчас?,What kind of retirement you get now?
390,i20,pj74.1b,Какую именно пенсию Вы получаете сейчас?,What kind of retirement you get now?
391,i20,pj74.1c,Какую именно пенсию Вы получаете сейчас?,What kind of retirement you get now?
392,i20,pj74.2,Вы планируете переход с этого вида трудовой пенсии на другой вид трудовой пенсии?,You plan to transition to this type of labor pension to another type of labor pension?
393,i20,pj74.3,На какую трудовую пенсию Вы собираетесь перейти?,What kind of retirement pension you are going to go?
394,i20,pj73.1am,Когда именно Вам была назначена пенсия; которую Вы сейчас получаете? Вспомните; пожалуйста; месяц,Exactly when you were granted a pension; Now you get? Remember; please; month
395,i20,pj73.1ay,Когда именно Вам была назначена пенсия; которую Вы сейчас получаете? Вспомните; пожалуйста; год,Exactly when you were granted a pension; Now you get? Remember; please; year
396,i20,pj75,Вы получали пенсию в течение последних 30 дней на руки или на сберкнижку?,Did you receive a pension for the last 30 days on your hands or savings account?
397,i20,pj363,Сколько денег Вы получили в качестве пенсии в теч.посл.30 дней? Учитывайте и основную пенсию и доплаты к ней,How much money you received as a pension in tech.posl.30 days? Understand and basic pension and supplements thereto
398,i20,pj133.1,Когда Вы достигните пенсионного возраста; Вы собираетесь жить на собственные заработки?,When you reach retirement age; You are going to live on their own earnings?
399,i20,pj133.2,Когда Вы достигните пенсионного возраста; Вы собираетесь жить на доходы от сдачи и продажи имущества?,When you reach retirement age; You are going to live on the income from the rental and sale of property?
400,i20,pj133.3,Когда Вы достигните пенсионного возраста; Вы собираетесь жить на помощь детей; родственников; знакомых?,When you reach retirement age; You are going to live to help children; relatives; acquaintances?
401,i20,pj133.4,Когда Вы достигните пенсионного возраста; Вы собираетесь жить на доходы от личного подсобного хозяйства?,When you reach retirement age; You are going to live on the income from private farming?
402,i20,pj133.5,Когда Вы достигните пенсионного возраста; Вы собираетесь жить на дополнительную пенсию или помощь предприятия; где Вы работали?,When you reach retirement age; You are going to live to a supplementary pension or help the enterprise; Where do you work?
403,i20,pj133.6,Когда Вы достигните пенсионного возраста; Вы собираетесь жить на собственные сбережения?,When you reach retirement age; You are going to live on their own savings?
404,i20,pj133.7,Когда Вы достигните пенсионного возраста; Вы собираетесь жить на помощь церкви и благотворительных организаций?,When you reach retirement age; You are going to live to help churches and charitable organizations?
405,i20,pj133.8,Когда Вы достигните пенсионного возраста; Вы собираетесь жить на пенсию; которую Вы будете получать из негосударственного пенсионного фонда?,When you reach retirement age; You are going to live on a pension; you will receive from a private pension fund?
406,i20,pj133.9,Когда Вы достигните пенсионного возраста; Вы собираетесь жить на пенсию; которую Вы будете получать из государственного пенсионного фонда?,When you reach retirement age; You are going to live on a pension; you will receive from the state pension fund?
407,i20,pj187,У Вас есть карточка пенсионного страхования; т.е. страховое пенсионное свидетельство?,Do you have a pension insurance card; ie pension insurance certificate?
408,i20,pj77,Есть ли работа у респондента?,Does it work the respondent?
409,i20,pj78,Вы работали когда-нибудь?,You ever worked?
410,i20,pj80a,В каком году Вы ушли с Вашей последней работы; перестали работать?,In what year did you leave your last job; stopped working?
411,i20,pj80b,В каком месяце Вы ушли с Вашей последней работы; перестали работать?,In what month did you leave your last job; stopped working?
412,i20,pj80.1,По какой основной причине Вы перестали работать на Вашей последней работе?,For some the main reason you stopped working at your last job?
413,i20,pj80.2c,Код профессии по ISCO88 последней работы до ухода,Code profession ISCO88 last job before retiring
414,i20,pj85,Вы зарегистрированы в государственной службе занятости как безработный(ая)?,You are registered in the State Employment Service as unemployed (aq)?
415,i20,pj86,Сколько дней тому назад Вы зарегистрировались в государственной службе занятости?,How many days ago did you enter the civil service employment?
416,i20,pj87,Вы получаете пособие по безработице?,You get unemployment benefits?
417,i20,pj88,Вы получили пособие по безработице в последние 30 дней?,You have received unemployment benefits in the last 30 days?
418,i20,pj89,Сколько денег Вы получили в качестве пособия по безработице в течение последних 30 дней?,How much money you got as unemployment benefits in the last 30 days?
419,i20,pj89.1,Служба занятости в течение трех последних месяцев Вам помогала трудоустроиться; пройти обучение или переобучение; оказывала психологическую помощь?,Employment Service over the last three months to help you find a job; undergo training or retraining; psychological assistance?
420,i20,pj161.1y,Сколько полных лет и месяцев составлял Ваш официально оформленный общий трудовой стаж до 1 января 2002 года; не считая времени учебы на дневном отделении ВУЗа или техникума? ЛЕТ,How many full years and months was either formalized general seniority prior to 1 January 2002; not counting the time studying full time at university or college? YEARS
421,i20,pj161.1m,Сколько полных лет и месяцев составлял Ваш официально оформленный общий трудовой стаж до 1 января 2002 года; не считая времени учебы на дневном отделении ВУЗа или техникума? МЕСЯЦЕВ,How many full years and months was either formalized general seniority prior to 1 January 2002; not counting the time studying full time at university or college? MONTHS
422,i20,pj161.2y,Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовой стаж после 1 января 2002 года; не считая времени учёбы на дневном отделении вуза или техникума? ЛЕТ,"How many full years and months of your formalized general seniority after January 1, 2002; not counting the time studying full time at university or college? YEARS"
423,i20,pj161.2m,Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовой стаж после 1 января 2002 года; не считая времени учёбы на дневном отделении вуза или техникума? МЕСЯЦЕВ,"How many full years and months of your formalized general seniority after January 1, 2002; not counting the time studying full time at university or college? MONTHS"
424,i20,pj81,Хотели бы Вы найти (другую) работу?,Would you like to find (another) job?
425,i20,pj81.1,Сколько времени Вы ищете (другую) работу?,How much time you are looking for (another) job?
426,i20,pj81.2,Представьте; что Вам сегодня предложили работу. Какую минимальную зарплату Вам должны платить на этой новой работе; чтобы Вы согласились на нее? Сколько рублей?,Imagine; that you are offered a job today. What is the minimum salary you have to pay for this new work; You agreed to it? How many rubles?
427,i20,pj82,Вы обращались куда-нибудь или к кому-нибудь в поисках работы в течение последних 30 дней?,You accessed anywhere or to anyone in search of work in the last 30 days?
428,i20,pj83.1,Вы обращались в поисках работы в государственные службы занятости; на биржи труда?,You turned in search of work in the public employment services; labor exchanges?
429,i20,pj83.2,Вы обращались в поисках работы в негосударственные службы занятости?,You turned in search of work in the non employment service?
430,i20,pj83.3,Вы обращались в поисках работы к друзьям; знакомым?,You turned in search of work to friends; familiar?
431,i20,pj83.4,Вы обращались в поисках работы к родственникам?,You turned in search of work to relatives?
432,i20,pj83.5,Вы обращались в поисках работы непосредственно на предприятия?,You turned in search of work directly on the enterprise?
433,i20,pj83.6,Вы обращались в поисках работы к рекламным объявлениям?,You turned in search of work to the advertisements?
434,i20,pj83.7,Вы обращались в поисках работы к рекламным объявлениям в Интернете?,You turned in search of work to the advertisements on the Internet?
435,i20,pj136,Вы обращались куда-нибудь или к кому-нибудь в поисках работы в течение последних 7 дней?,You accessed anywhere or to anyone in search of work in the last 7 days?
436,i20,pj84.1,Если бы на прошлой неделе Вам предложили подходящую работу; Вы смогли бы приступить к ней сразу?,If last week you were offered a suitable job; You could start it at once?
437,i20,pj84.2,Как Вы считаете; сколько примерно времени Вам необходимо; чтобы найти (другую) работу? (ДНЕЙ),What do you think; approximately how much time you need; to find (another) job? (DAYS)
438,i20,pj90,Какой ответ лучше всего описывает Ваше основное занятие в настоящее время?,Which answer best describes your main current occupation?
439,i20,pj188,Вы проходили срочную службу в армии?,You were serving in the army?
440,i20,pj189a,С какого года Вы проходили срочную службу в армии?,Since what year you were serving in the army?
441,i20,pj189b,По какой год Вы проходили срочную службу в армии?,By what year you were serving in the army?
442,i20,pj368,А как изменилась; по Вашему мнению; работа милиции в Вашем (городе/поселке/селе)?,What has changed; in your opinion; police work in your (city / town / village)?
443,i20,pj170.1,Вы пользуетесь следующими видами добровольного страхования: страхование жизни и от несчастного случая?,Do you use the following types of voluntary insurance: life insurance and accident?
444,i20,pj170.2,Вы пользуетесь следующими видами добровольного страхования: страхование квартиры; дома?,Do you use the following types of voluntary insurance: apartment; at home?
445,i20,pj170.31,Вы пользуетесь следующими видами добровольного страхования: страхование дачи?,Do you use the following types of voluntary insurance: garden?
446,i20,pj170.32,Вы пользуетесь следующими видами добровольного страхования: страхование автомобиля - помимо обязательного страхования автогражданской ответственности?,Do you use the following types of voluntary insurance: car insurance - in addition to the compulsory third party liability insurance?
447,i20,pj170.4,Вы пользуетесь следующими видами добровольного страхования: страхование сельхозимущества; скота?,Do you use the following types of voluntary insurance: selhozimuschestva; cattle?
448,i20,pj197,У Вас есть банковская пластиковая карта?,Do you have a Credit card?
449,i20,pj198.1,Вы получили пластиковые карты для перечисления на нее заработной платы; пенсии или стипендии,You got the cards to transfer her salary; pensions or scholarships
450,i20,pj198.2,Вы получили пластиковые карты для того чтобы пользоваться деньгами со своих (других) вкладов в банках,You got the cards to use money from their (other) deposits in banks
451,i20,pj198.3,Вы получили пластиковые карты для того чтобы получить кредит в банке,You got a plastic card to get a bank loan
452,i20,pj199,Как Вы пользуетесь своими  банковскими пластиковыми картами?,How do you use your bank cards?
453,i20,pj200,Вы собираетесь взять кредит в ближайшие 12 месяцев?,You're going to take out a loan in the next 12 months?
454,i20,pj201.01,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ ЖИЛЬЯ (КВАРТИРЫ; ДОМА),"For what purpose you are going to take out a loan in the next 12 months? The purchase of housing (apartment, home)"
455,i20,pj201.02,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ ДРУГОЙ НЕДВИЖИМОСТИ (ЗЕМЛЯ; ДАЧА; ГАРАЖ),"For what purpose you are going to take out a loan in the next 12 months? BUY ANOTHER property (land, COTTAGE, GARAGE)"
456,i20,pj201.03,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ АВТОМОБИЛЯ,For what purpose you are going to take out a loan in the next 12 months? To buy a car
457,i20,pj201.04,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ БЫТОВОЙ ТЕХНИКИ; МЕБЕЛИ И Т.Д.,"For what purpose you are going to take out a loan in the next 12 months? To purchase household appliances; Furniture, etc."
458,i20,pj201.05,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ОПЛАТУ ОБРАЗОВАНИЯ (ВАШЕГО ИЛИ ДЕТЕЙ),For what purpose you are going to take out a loan in the next 12 months? To pay for education (YOUR CHILDREN OR)
459,i20,pj201.06,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ЛЕЧЕНИЕ,For what purpose you are going to take out a loan in the next 12 months? FOR TREATMENT
460,i20,pj201.07,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ОТДЫХ,For what purpose you are going to take out a loan in the next 12 months? to rest
461,i20,pj201.08,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ТЕКУЩИЕ РАСХОДЫ,For what purpose you are going to take out a loan in the next 12 months? For current expenses
462,i20,pj201.09,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ВОЗВРАТ ДОЛГОВ,For what purpose you are going to take out a loan in the next 12 months? RETURN DEBT
463,i20,pj201.10,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ЧТО-ТО ДРУГОЕ,For what purpose you are going to take out a loan in the next 12 months? FOR SOMETHING ELSE
464,i20,pj117.01,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я не могу справиться со своими проблемами?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I can not cope with their problems?"
465,i20,pj117.02,Вы полностью согласны; согласны; не согласны или совсем не согласны с высказыванием: Иногда я чувствую; что мной помыкают в жизни?,You agree completely; agree; disagree or totally disagree with the statement: Sometimes I feel; that me being pushed around in life?
466,i20,pj117.03,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я мало могу влиять на то; что со мной происходит?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I can little influence; what's happening to me?"
467,i20,pj117.04,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я всегда могу выполнить задуманное?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I can always carry out his plan?"
468,i20,pj117.05,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я часто чувствую себя беспомощным перед проблемами; возникающими в моей жизни?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I often feel helpless in front of the problems; occurring in my life?"
469,i20,pj117.06,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: То; что со мной произойдет в будущем; во многом зависит от меня?,Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him: That; that happen to me in the future; largely depends on me?
470,i20,pj117.07,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: То; что я могу сделать; мало что изменит в моей жизни?,Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him: That; what I can do; little has changed in my life?
471,i20,pj117.08,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я думаю; что я ничем не хуже других?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I think; I'm no worse than the others?"
472,i20,pj117.09,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я считаю; что у меня есть много хороших качеств?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I believe; I have many good qualities?"
473,i20,pj117.10,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: В общем; мне кажется; что я неудачник (неудачница)?,Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him in general; it seems to me; I'm a loser (loser)?
474,i20,pj117.11,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я могу все делать не хуже других?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I can do everything better than others?"
475,i20,pj117.12,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я думаю; что мне особенно нечем гордиться?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I think; I especially have nothing to be proud of?"
476,i20,pj117.13,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я хорошо отношусь к самому (самой) себе?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I'm good to very (very) yourself?"
477,i20,pj117.14,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: В целом; я удовлетворен (удовлетворена) собой?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, as a whole; I am satisfied (satisfied) is?"
478,i20,pj117.15,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Иногда я чувствую себя бесполезным (бесполезной)?,Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with it: Sometimes I feel useless (useless)?
479,i20,pj117.16,Прочитайте следующее высказывание; и решите; Вы полностью согласны; согласны; не согласны или совсем не согласны с ним: Я хотел (хотела) бы относиться к себе с большим уважением?,"Read the following statement; and decide; You agree completely; agree; do not agree or do not agree with him, I wanted (wanted) to treat yourself with more respect?"
