"","X","nro","varcode","wave","russian","english"
"793",793,801,"re1.56a","h22","Ваша семья покупала за последние 7 дней табачные изделия?","Your family bought in the last 7 days of tobacco products?"
"794",794,802,"re1.56b","h22","Сколько пачек табачных изделий Ваша семья купила в течение последних 7 дней?","How many packs of tobacco products your family bought in the last 7 days?"
"795",795,803,"re1.56c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за табачные изделия?","How many rubles your family paid in the last 7 days for tobacco products?"
"796",796,804,"re1.57a","h22","Ваша семья покупала за последние 7 дней жевательные резинки; пастилки?","Your family bought in the last 7 days of chewing gum lozenges?"
"797",797,805,"re1.57b","h22","Сколько штук жевательных резинок; пастилок купила Ваша семья за последние 7 дней?","How many pieces of chewing gum lozenges bought your family for the past 7 days?"
"798",798,806,"re1.57c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за жевательные резинки; пастилки?","How many rubles your family paid in the last 7 days for chewing gum lozenges?"
"799",799,769,"re1.58a","h22","Ваша семья покупала за последние 7 дней другие морепродукты?","Your family bought in the last 7 days other seafood?"
"800",800,770,"re1.58b","h22","Сколько килограмм морепродуктов купила Ваша семья за последние7 дней?","How many pounds of seafood bought your family for poslednie7 days?"
"801",801,771,"re1.58c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за морепродукты?","How many rubles your family paid in the last 7 days for seafood?"
"802",802,772,"re1.59a","h22","Ваша семья покупала за последние 7 дней полуфабрикаты; не считая мясных и рыбных?","Your family bought in the last 7 days of semi-finished products not including meat and fish?"
"803",803,773,"re1.59b","h22","Сколько килограмм полуфабрикатов; не считая мясных и рыбных купила Ваша семья за последние7 дней?","How many kilograms of semi-finished products not including meat and fish bought for your family poslednie7 days?"
"804",804,774,"re1.59c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за полуфабрикаты; не считая мясные и рыбные?","How many rubles your family paid in the last 7 days for the finished products not including meat and fish?"
"805",805,640,"re1.5a","h22","Ваша семья покупала за последние 7 дней макаронные изделия?","Your family bought in the last 7 days of pasta?"
"806",806,641,"re1.5b","h22","Сколько килограмм макаронных изделий Ваша семья купила в течение последних 7 дней?","How many pounds of pasta your family bought in the last 7 days?"
"807",807,642,"re1.5c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за макаронные изделия?","How many rubles your family paid in the last 7 days for pasta?"
"808",808,923,"re16","h22","Ваша семья в течение последних 30 дней откладывала сбережения?","Your family in the last 30 days postponed savings?"
"809",809,775,"re1.60a","h22","Ваша семья покупала за последние 7 дней готовую кулинарию?","Your family bought in the last 7 days finished cooking?"
"810",810,776,"re1.60c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за готовую кулинарию?","How many rubles your family paid in the last 7 days for the finished cooking?"
"811",811,643,"re1.6a","h22","Ваша семья покупала за последние 7 дней картофель?","Your family bought in the last 7 days of potatoes?"
"812",812,644,"re1.6b","h22","Сколько килограмм картофеля Ваша семья купила в течение последних 7 дней?","How many pounds of potatoes your family bought in the last 7 days?"
"813",813,645,"re1.6c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за картофель?","How many rubles your family paid in the last 7 days for potatoes?"
"814",814,924,"re17","h22","Сколько рублей Ваша семья отложила в течение последних 30 дней?","How many rubles your family put down in the last 30 days?"
"815",815,646,"re1.7a","h22","Ваша семья покупала за последние 7 дней овощные консервы; без солений?","Your family bought in the last 7 days of canned vegetables without pickles?"
"816",816,647,"re1.7b","h22","Сколько килограмм овощных консервов; без солений; Ваша семья купила в течение последних 7 дней?","How many pounds of canned vegetables without pickles your family bought in the last 7 days?"
"817",817,648,"re1.7c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за овощные консервы; без солений?","How many rubles your family paid in the last 7 days for canned vegetables without pickles?"
"818",818,649,"re1.8a","h22","Ваша семья покупала за последние 7 дней капусту; включая квашеную?","Your family bought in the last 7 days cabbage including sauerkraut?"
"819",819,650,"re1.8b","h22","Сколько килограмм капусты; включая квашеную; Ваша семья купила в течение последних 7 дней?","How many pounds of cabbage including sauerkraut your family bought in the last 7 days?"
"820",820,651,"re1.8c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за капусту; включая квашеную?","How many rubles your family paid in the last 7 days for cabbage including sauerkraut?"
"821",821,652,"re1.9a","h22","Ваша семья покупала за последние 7 дней огурцы; включая соленые?","Your family bought in the last 7 days cucumbers including salty?"
"822",822,653,"re1.9b","h22","Сколько килограмм огурцов; включая соленые; Ваша семья купила в течение последних 7 дней?","How many kilograms of cucumbers including salted your family bought in the last 7 days?"
"823",823,654,"re1.9c","h22","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за огурцы; включая соленые?","How many rubles your family paid in the last 7 days for cucumbers including salty?"
"824",824,807,"re2","h22","В течение последних 7 дней Вы или другие члены Вашей семьи питались вне дома?","In the last 7 days of you or other members of your family to eat out?"
"825",825,925,"re20.1a","h22","Ваша семья помогает деньгами или товарами родителям Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","Your family makes money or goods to your parents or spouse (s) that are not members of your household?"
"826",826,926,"re20.1b","h22","Как регулярно Ваша семья помогает деньгами или товарами родителям Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","How regularly helps your family money or goods to your parents or spouse (s) that are not members of your household?"
"827",827,927,"re20.1c","h22","В последние 30 дней Ваша семья помогала деньгами или товарами родителям Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","In the last 30 days of your family helped with money or goods to your parents or spouse (s) that are not members of your household?"
"828",828,928,"re20.1d","h22","В течение последних 30 дней сколько составляла в рублях помощь родителям Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","Over the past 30 days how many was in rubles help your parents or spouse (s) that are not members of your household?"
"829",829,929,"re20.2a","h22","Ваша семья помогает деньгами или товарами детям Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","Your family makes money or goods to your children or spouse (s) that are not members of your household?"
"830",830,930,"re20.2b","h22","Как регулярно Ваша семья помогает деньгами или товарами детям Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","How regularly helps your family money or goods to your children or spouse (s) that are not members of your household?"
"831",831,931,"re20.2c","h22","В последние 30 дней Ваша семья помогала деньгами или товарами детям Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","In the last 30 days of your family helped with money or goods to your children or spouse (s) that are not members of your household?"
"832",832,932,"re20.2d","h22","В течение последних 30 дней сколько составляла в рублях помощь детям Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","Over the past 30 days how many was in rubles help your children or spouse (s) that are not members of your household?"
"833",833,933,"re20.3a","h22","Ваша семья помогает деньгами или товарами бабушкам и дедушкам Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","Your family makes money or goods grandparents or your spouse (s) that are not members of your household?"
"834",834,934,"re20.3b","h22","Как регулярно Ваша семья помогает деньгами или товарами бабушкам и дедушкам Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","How regularly helps your family money or goods grandparents or your spouse (s) that are not members of your household?"
"835",835,935,"re20.3c","h22","В последние 30 дней Ваша семья помогала деньгами или товарами бабушкам и дедушкам Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","In the last 30 days of your family helped with money or goods grandparents or your spouse (s) that are not members of your household?"
"836",836,936,"re20.3d","h22","В течение последних 30 дней сколько составляла в рублях помощь бабушкам и дедушкам Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","Over the past 30 days how many was in rubles help grandparents or your spouse (s) that are not members of your household?"
"837",837,937,"re20.4a","h22","Ваша семья помогает деньгами или товарами внукам Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","Your family makes money or goods to your grandchildren or spouse (s) that are not members of your household?"
"838",838,938,"re20.4b","h22","Как регулярно Ваша семья помогает деньгами или товарами внукам Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","How regularly helps your family money or goods to your grandchildren or spouse (s) that are not members of your household?"
"839",839,939,"re20.4c","h22","В последние 30 дней Ваша семья помогала деньгами или товарами внукам Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","In the last 30 days of your family helped with money or goods to your grandchildren or spouse (s) that are not members of your household?"
"840",840,940,"re20.4d","h22","В течение последних 30 дней сколько составляла в рублях помощь внукам Вашим или супруга(и); не являющимся членами Вашего домохозяйства?","Over the past 30 days how many was in rubles help your grandchildren or spouse (s) that are not members of your household?"
"841",841,941,"re20.5a","h22","Ваша семья помогает деньгами или товарами другим людям; не являющимся членами Вашего домохозяйства?","Your family makes money or goods to other people who are not members of your household?"
"842",842,942,"re20.5b","h22","Как регулярно Ваша семья помогает деньгами или товарами другим людям; не являющимся членами Вашего домохозяйства?","How regularly helps your family money or goods to other people who are not members of your household?"
"843",843,943,"re20.5c","h22","В последние 30 дней Ваша семья помогала деньгами или товарами другим людям; не являющимся членами Вашего домохозяйства?","In the last 30 days of your family helped with money or goods to other people who are not members of your household?"
"844",844,944,"re20.5d","h22","В течение последних 30 дней сколько составляла в рублях помощь другим людям; не являющимся членами Вашего домохозяйства?","Over the past 30 days how many was in rubles helping other people who are not members of your household?"
"845",845,808,"re3","h22","Вспомните; сколько примерно денег все члены Вашей семьи израсходовали на питание вне дома в течение последних 7 дней?","Think of how much money about all your family members have spent on food away from home for the past 7 days?"
"846",846,809,"re4","h22","Вспомните; сколько примерно денег все члены Вашей семьи израсходовали на питание дома и вне дома в течение последних 30 дней?","Think of how much money about all your family members have spent on food at home and away from home for the past 30 days?"
"847",847,810,"re5","h22","Покупали Вы или другие члены Вашей семьи в течение последних 3-х месяцев что-либо из одежды или обуви для членов домохозяйства?","Bought you or other members of your family over the last 3 months of any of the clothes or shoes for the household?"
"848",848,811,"re6.1","h22","Сколько Вы и другие члены домохозяйства потратили на приобретение одежды и обуви для взрослых; то есть для членов домохозяйства 18-ти лет и старше; в течение последних 3 месяцев?","How much do you and other members of the household spent on the purchase of clothing and shoes for adults ie for household members 18 years and older in the last 3 months?"
"849",849,812,"re6.2","h22","Сколько Вы и другие члены домохозяйства потратили на приобретение одежды и обуви для детей; то есть для членов домохозяйства младше 18-ти лет; в течение последних 3 месяцев?","How much do you and other members of the household spent on the purchase of clothing and shoes for children that is for household members under the age of 18 years during the last 3 months?"
"850",850,833,"re7.10a","h22","Ваша семья покупала в течение последних 3-х месяцев спортинвентарь: велосипед; самокат; коньки?","Your family bought over the last 3 months of sports equipment bicycles scooters skates?"
"851",851,813,"re7.1.0a","h22","Ваша семья покупала в течение последних 3-х месяцев культтовары: телевизор; магнитофон; видео; музыкальные инструменты; компьютер; фотоаппарат и тому подобное?","Your family bought over the last 3 months of recreational goods television tape recorder video musical instruments computers cameras and the like?"
"852",852,834,"re7.10b","h22","Сколько всего рублей Ваша семья заплатила за спортинвентарь: велосипед; самокат; коньки?","How many rubles your family paid for sports equipment bicycles scooters skates?"
"853",853,814,"re7.1.0b","h22","Сколько всего рублей Ваша семья заплатила за культтовары: телевизор; магнитофон; видео; музыкальные инструменты; компьютер; фотоаппарат и тому подобное?","How many rubles your family paid for recreational goods television tape recorder video musical instruments computers cameras and the like?"
"854",854,835,"re7.11","h22","В течение последних 12 месяцев Ваша семья покупала товары длительного пользования - телевизор; мобильный телефон; холодильник; мебель и тому подобное?","In the last 12 months your family to buy durable goods - TV cell phone refrigerator furniture and the like?"
"855",855,815,"re7.1.1a","h22","Ваша семья покупала в течение последних 3-х месяцев мобильный телефон?","Your family bought over the last 3 months mobile phone?"
"856",856,816,"re7.1.1b","h22","Сколько всего рублей Ваша семья заплатила за мобильный телефон?","How many rubles your family paid for a mobile phone?"
"857",857,836,"re7.12.1","h22","Ваша семья покупала товары длительного пользования на рынках?","Your family to buy durable goods in the markets?"
"858",858,837,"re7.12.2","h22","Ваша семья покупала товары длительного пользования в магазинах; торгующих через прилавок?","Your family to buy durable goods in stores selling over the counter?"
"859",859,838,"re7.12.3","h22","Ваша семья покупала товары длительного пользования в сетевых магазинах самообслуживания или салонах - т.е. в магазинах; работающих в разных местах под единой торговой маркой?","Your family to buy durable goods in chain stores or self service salons - ie in shops operating in different locations under a single brand?"
"860",860,839,"re7.12.4","h22","Ваша семья покупала товары длительного пользования в других; не сетевых; магазинах самообслуживания; салонах?","Your family to buy durable goods in other non-networked self-service shops salons?"
"861",861,840,"re7.12.5","h22","Ваша семья покупала товары длительного пользования по телефону или через Интернет с доставкой на дом?","Your family to buy durable goods over the phone or via the Internet with home delivery?"
"862",862,841,"re7.12.6","h22","Ваша семья покупала товары длительного пользования у друзей; знакомых; по объявлению?","Your family to buy durable goods friends acquaintances ad?"
"863",863,842,"re7.12.7","h22","Ваша семья покупала товары длительного пользования в других местах?","Your family to buy durable goods in other places?"
"864",864,817,"re7.2a","h22","Ваша семья покупала в течение последних 3-х месяцев предметы домашней обстановки: мебель; ковры и другое?","Your family bought over the last 3 months of household furnishings: furniture carpets and other?"
"865",865,818,"re7.2b","h22","Сколько всего рублей Ваша семья заплатила за предметы домашней обстановки: мебель; ковры и другое?","How many rubles your family paid for household furnishings: furniture carpets and other?"
"866",866,819,"re7.3a","h22","Ваша семья покупала в течение последних 3-х месяцев бытовую технику: холодильник; стиральную машину; пылесос; швейную машину; утюг; кухонный комбайн и тому подобное?","Your family bought over the last 3 months of household appliances: refrigerators washing machines vacuum cleaners sewing machine iron food processor and the like?"
"867",867,820,"re7.3b","h22","Сколько всего рублей Ваша семья заплатила за бытовую технику: холодильник; стиральную машину; пылесос; швейную машину; утюг; кухонный комбайн и тому подобное?","How many rubles your family paid for the appliances: refrigerator washing machine vacuum cleaner sewing machine iron food processor and the like?"
"868",868,821,"re7.4a","h22","Ваша семья покупала в течение последних 3-х месяцев автомобиль или микроавтобус?","Your family bought over the last 3 months of a car or van?"
"869",869,822,"re7.4b","h22","Сколько всего рублей Ваша семья заплатила за автомобиль или микроавтобус?","How many rubles your family pay for a car or van?"
"870",870,823,"re7.5a","h22","Ваша семья покупала в течение последних 3-х месяцев мотоцикл; мотороллер и тому подобное?","Your family bought within the last 3 months motorcycle motor scooter and the like?"
"871",871,824,"re7.5b","h22","Сколько всего рублей Ваша семья заплатила за мотоцикл; мотороллер и тому подобное?","How many rubles your family paid for the motorcycle scooter and the like?"
"872",872,825,"re7.6a","h22","Ваша семья покупала в течение последних 3-х месяцев гараж?","Your family bought over the last 3 months of the garage?"
"873",873,826,"re7.6b","h22","Сколько всего рублей Ваша семья заплатила за гараж?","How many rubles your family paid for the garage?"
"874",874,827,"re7.7a","h22","Ваша семья покупала в течение последних 3-х месяцев строительные материалы; материалы для ремонта?","Your family bought over the last 3 months of construction materials materials for repair?"
"875",875,828,"re7.7b","h22","Сколько всего рублей Ваша семья заплатила за строительные материалы; материалы для ремонта?","How many rubles your family paid for building materials materials for repair?"
"876",876,829,"re7.8a","h22","Ваша семья покупала в течение последних 3-х месяцев дачу; дом; квартиру; землю?","Your family bought within the last 3 months cottage house apartment land?"
"877",877,830,"re7.8b","h22","Сколько всего рублей Ваша семья заплатила за дом; дачу; квартиру; землю?","How many rubles your family paid for a house villa apartment land?"
"878",878,831,"re7.9a","h22","Ваша семья покупала в течение последних 3-х месяцев книги; учебники; учебные пособия; канцтовары?","Your family bought over the last 3 months of books textbooks teaching aids stationery?"
"879",879,832,"re7.9b","h22","Сколько всего рублей Ваша семья заплатила за книги; учебники; учебные пособия; канцтовары?","How many rubles your family paid for books textbooks teaching aids stationery?"
"880",880,843,"re8.1a","h22","Ваша семья покупала в течение последних 30 дней топливо для заправки автотранспорта; двигателей; генераторов?","Your family bought in the last 30 days of fuel for refueling of motor vehicles engines generators?"
"881",881,844,"re8.1b","h22","Сколько всего рублей Ваша семья заплатила за топливо для заправки автотранспорта; двигателей; генераторов?","How many rubles your family paid for the fuel for refueling of motor vehicles engines generators?"
"882",882,845,"re8.2a","h22","Ваша семья покупала в течение последних 30 дней дрова; уголь; торф; керосин?","Your family bought in the last 30 days wood coal peat kerosene?"
"883",883,846,"re8.2b","h22","Сколько всего рублей Ваша семья заплатила за дрова; уголь; торф; керосин?","How many rubles your family paid for wood coal peat kerosene?"
"884",884,847,"re8.3a","h22","Ваша семья покупала в течение последних 30 дней баллонный газ?","Your family bought in the last 30 days bottled gas?"
"885",885,848,"re8.3b","h22","Сколько всего рублей Ваша семья заплатила за баллонный газ?","How many rubles Your family has paid for bottled gas?"
"886",886,869,"re9.10a","h22","В течение последних 30 дней Ваша семья пользовалась услугами юристов; нотариусов; риэлторов?","In the last 30 days your family used the services of lawyers notaries real estate agents?"
"887",887,870,"re9.10b","h22","Сколько всего рублей Ваша семья заплатила за услуги юристов; нотариусов; риэлторов?","How many rubles your family pay for the services of lawyers notaries real estate agents?"
"888",888,867,"re9.11a","h22","В течение последних 30 дней Ваша семья пользовалась услугами кабельного и спутникового телевидения?","In the last 30 days your family used the services of cable and satellite television?"
"889",889,868,"re9.11b","h22","Сколько всего рублей Ваша семья заплатила за услуги кабельного и спутникового телевидения?","How many rubles Your family paid for the services of cable and satellite television?"
"890",890,849,"re9.1a","h22","В течение последних 30 дней Ваша семья пользовалась услугами транспорта: местного; междугороднего?","In the last 30 days your family used the services of transport: local long distance?"
"891",891,850,"re9.1b","h22","Сколько всего рублей Ваша семья заплатила за услуги транспорта: местного; междугороднего?","How many rubles your family paid for transport services: local long distance?"
"892",892,851,"re9.2a","h22","В течение последних 30 дней Ваша семья пользовалась услугами по пошиву и ремонту одежды; обуви?","In the last 30 days your family used the services of making and repairing clothes shoes?"
"893",893,852,"re9.2b","h22","Сколько всего рублей Ваша семья заплатила за услуги по пошиву и ремонту одежды; обуви?","How many rubles Your family paid for the services making and repairing clothes shoes?"
"894",894,853,"re9.3a","h22","В течение последних 30 дней Ваша семья пользовалась услугами мастерских по ремонту культтоваров; например телевизора; магнитофона или мебели; бытовой техники; включая покупку запчастей?","In the last 30 days your family used the services of repair shops recreational goods such as TV VCR or furniture household appliances including the purchase of spare parts?"
"895",895,854,"re9.3b","h22","Сколько всего рублей Ваша семья заплатила за услуги мастерских по ремонту культтоваров; например телевизора; магнитофона или мебели; бытовой техники; включая покупку запчастей?","How many rubles Your family paid for the service repair shops recreational goods such as TV VCR or furniture household appliances including the purchase of spare parts?"
"896",896,857,"re9.4.1a","h22","В течение последних 30 дней Ваша семья пользовалась услугами по ремонту автомобиля; мотоцикла; включая покупку запчастей?","In the last 30 days your family used the services of repair a car motorcycle including the purchase of spare parts?"
"897",897,858,"re9.4.1b","h22","Сколько всего рублей Ваша семья заплатила за услуги по ремонту автомобиля; мотоцикла; включая покупку запчастей?","How many rubles your family paid for repair services for car motorcycle including the purchase of spare parts?"
"898",898,855,"re9.4a","h22","В течение последних 30 дней Ваша семья пользовалась услугами по ремонту и строительству жилья; построек?","In the last 30 days your family used the services of repair and construction of housing buildings?"
"899",899,856,"re9.4b","h22","Сколько всего рублей Ваша семья заплатила за услуги по ремонту и строительству жилья; построек?","How many rubles your family paid for the repair and construction of housing buildings?"
"900",900,859,"re9.5a","h22","В течение последних 30 дней Ваша семья пользовалась прачечной; химчисткой; баней; парикмахерской?","In the last 30 days your family enjoyed the laundry bath hairdresser?"
"901",901,860,"re9.5b","h22","Сколько всего рублей Ваша семья заплатила за услуги прачечной; химчистки; бани; парикмахерской?","How many rubles your family paid for laundry dry cleaning baths a barbershop?"
"902",902,861,"re9.6a","h22","В течение последних 30 дней Ваша семья пользовалась почтово-телеграфными услугами; включая междугородные телефонные переговоры (БЕЗ УЧЕТА МОБИЛЬНОЙ СОТОВОЙ СВЯЗИ)?","In the last 30 days your family enjoyed the postal and telegraph services including long distance telephone calls (excluding mobile cellular communication)?"
"903",903,862,"re9.6b","h22","Сколько всего рублей Ваша семья заплатила за почтово-телеграфные услуги; включая междугородные телефонные переговоры?","How many rubles your family paid for the postal and telegraph services including long distance phone calls?"
"904",904,871,"re9.7a","h22","В течение последних 30 дней Ваша семья пользовалась ритуальными услугами: загс; похоронное бюро?","In the last 30 days your family enjoyed the ritual services: the registry office funeral home?"
"905",905,872,"re9.7b","h22","Сколько всего рублей Ваша семья заплатила за ритуальные услуги: загс; похоронное бюро?","How many rubles your family paid for funeral services registry office funeral home?"
"906",906,863,"re9.8a","h22","В течение последних 30 дней Ваша семья пользовалась услугами мобильной сотовой связи?","In the last 30 days your family use mobile cellular communication?"
"907",907,864,"re9.8b","h22","Сколько всего рублей Ваша семья заплатила за услуги мобильной сотовой связи?","How many rubles Your family paid for the services of mobile communications?"
"908",908,865,"re9.9a","h22","В течение последних 30 дней Ваша семья пользовалась услугами Интернета?","In the last 30 days your family used the services of the Internet?"
"909",909,866,"re9.9b","h22","Сколько всего рублей Ваша семья заплатила за услуги Интернета?","How many rubles your family pay for the services of the Internet?"
"910",910,22,"region","h22","КОД РЕГИОНА","AREA CODE"
"911",911,980,"rf10","h22","В течение последних 30 дней Ваша семья получала зарплату или какие-либо другие выплаты по основному или дополнительному месту работы в виде денег; товаров или услуг?","In the last 30 days your family gets a salary or any other payments on the principal or additional jobs in the form of money goods or services?"
"912",912,981,"rf11","h22","Сколько получила Ваша семья за вычетом налогов и других отчислений в течение последних 30 дней? Если оплата производилась в форме товаров или услуг; оцените; сколько это будет в рублях?","How much your family received minus taxes and other deductions in the last 30 days? If payment is made in the form of goods or services evaluate how much it will be in rubles?"
"913",913,982,"rf11.2","h22","Обращался ли кто-либо из членов Вашего домохозяйства когда-нибудь за получением субсидии на оплату жилья и коммунальных услуг?","Addressed whether any of the members of your household ever for obtaining subsidies for housing and utilities?"
"914",914,983,"rf11.3","h22","Получает ли Ваша семья в настоящее время субсидию на оплату жилья и коммунальных услуг?","Does your family currently subsidy for housing and communal services?"
"915",915,984,"rf11.4","h22","На какую сумму была предоставлена Вашему домохозяйству субсидия на оплату жилья и коммунальных услуг за последние 30 дней; то есть на какую сумму был уменьшен Ваш платеж за жилье и коммунальные услуги?","How much money has been provided to your household subsidy for housing and communal services in the last 30 days that is for what amount was reduced by either paying for housing and utilities?"
"916",916,989,"rf1210ca","h22","Ваша семья получала в течение последних 30 дней льготы по оплате квартиры и коммунальных услуг; в виде денег; которые Вам возвращаются до или после оплаты; не считая субсидии?","Your family has received in the last 30 days of benefits to pay the apartment and utilities in the form of money that you return before or after payment not including subsidies?"
"917",917,990,"rf1210cb","h22","Сколько в рублях льгот по оплате квартиры и коммунальных услуг;  получила Ваша семья в течение последних 30 дней?","How much in rubles privileges on payment of apartment and utilities your family received in the last 30 days?"
"918",918,991,"rf1210da","h22","Ваша семья получала в течение последних 30 дней льготы по оплате квартиры и коммунальных услуг; которые предоставляются в виде уменьшения суммы оплаты; не считая субсидии?","Your family has received in the last 30 days of payment benefits of apartment and public services that are provided in the form of reducing the amount of payment excluding subsidies?"
"919",919,992,"rf1210db","h22","Сколько составили в рублях льготы; которые предоставляются в виде уменьшения суммы оплаты квартиры и коммунальных услуг; в течение последних 30 дней?","How many have made in rubles benefits that are provided in the form of reducing the amount of payment the apartment and utilities within the last 30 days?"
"920",920,987,"rf12.1a","h22","Ваша семья получала в течение последних 30 дней какие-либо пенсии; включая доплаты от Пенсионного фонда РФ; от государства? **В 2013 г. в формулировку вопросов о пенсии были добавлены слова  «включая доплаты от Пенсионного фонда РФ; от государства»","Your family has received in the last 30 days of any pension including additional payments from the Pension Fund of the Russian Federation from the state?  In 2013 in the wording of questions about pensions the words including additional payments from the Pension Fund of the Russian Federation of the State"
"921",921,985,"rf12.1aa","h22","Ваша семья получала в течение последних 30 дней ежемесячные денежные выплаты взамен натуральных льгот; не считая льгот по оплате ЖКХ? *В 2013 г. в формулировку вопросов о выплатах взамен натуральных льгот были добавлены слова  «не считайте льготы по оплате ЖКХ»","Your family has received in the last 30 days of monthly payments instead of in-kind benefits excluding benefits payable HCS?  In 2013 in the wording of questions on the payments in return for in-kind benefits the words not to consider benefits to pay Utilities"
"922",922,986,"rf12.1ab","h22","Сколько в рублях ежемесячных денежных выплат взамен натуральных льгот; не считая льгот по оплате ЖКХ;  получила Ваша семья в течение последних 30 дней? *В 2013 г. в формулировку вопросов о выплатах взамен натуральных льгот были добавлены слова  «не считайте льготы по оплате ЖКХ»","How much in rubles monthly payments instead of in-kind benefits excluding benefits payable utilities your family has received in the last 30 days?  In 2013 in the wording of questions on the payments in return for in-kind benefits the words not to consider benefits to pay Utilities"
"923",923,988,"rf12.1b","h22","Сколько в рублях пенсии; включая доплаты от Пенсионного фонда РФ; от государства  получила Ваша семья в течение последних 30 дней? **В 2013 г. в формулировку вопросов о пенсии были добавлены слова  «включая доплаты от Пенсионного фонда РФ; от государства»","How much in rubles pension including surcharges from the Pension Fund of the Russian Federation the state received your family for the past 30 days?  In 2013 in the wording of questions about pensions the words including additional payments from the Pension Fund of the Russian Federation of the State"
"924",924,993,"rf12.2a","h22","Ваша семья получала в течение последних 30 дней какие-либо стипендии?","Your family has received in the last 30 days of any scholarships?"
"925",925,994,"rf12.2b","h22","Сколько в рублях стипендии получила Ваша семья в течение последних 30 дней?","How many scholarships received in rubles your family for the past 30 days?"
"926",926,995,"rf12.3a","h22","Ваша семья получала в течение последних 30 дней какие-либо пособия по безработице?","Your family has received in the last 30 days of any unemployment benefits?"
"927",927,996,"rf12.3b","h22","Сколько в рублях пособий по безработице получила Ваша семья в течение последних 30 дней?","How much in rubles unemployment benefits received your family for the past 30 days?"
"928",928,997,"rf12.4a","h22","Ваша семья получала в течение последних 30 дней какие-либо доходы от продажи личного имущества?","Your family has received in the last 30 days of any proceeds from the sale of personal property?"
"929",929,998,"rf12.4b","h22","Сколько в рублях дохода от продажи личного имущества получила Ваша семья в течение последних 30 дней?","How much in rubles of income from the sale of personal property received your family for the past 30 days?"
