,varcode,type,russian,english,five_most_popular_values,number_of_valid,number_of_missing
167,rj35.1,,В какой отрасли Вы работаете на этой работе? ,In what industry you work in this job?,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ | ОБРАЗОВАНИЕ | ЗДРАВООХРАНЕНИЕ | НАУКА, КУЛЬТУРА | СТРОИТЕЛЬСТВО | ТРАНСПОРТ, СВЯЗЬ",441,21312
168,rj359.1,,Вы пользуетесь для выхода в Интернет ноутбуком; лэптопом? ,You use to access the Internet laptop; laptop?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,11600,10153
169,rj359.3,,Вы пользуетесь для выхода в Интернет мобильным телефоном или смартфоном? ,You use to access the Internet mobile phone or smartphone?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,11600,10153
170,rj359.4,,Вы пользуетесь для выхода в Интернет планшетом? ,You use to access the Internet Tablet?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,11600,10153
171,rj359.5,,Вы пользуетесь для выхода в Интернет персональным компьютером? ,You use to access the Internet PC?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,11600,10153
172,rj359.6,,Вы пользуетесь для выхода в Интернет чем-то другим? ,You use to access the Internet with something else?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,11600,10153
173,rj360.2,,У Вас лично есть смартфон; коммуникатор; i-phone (ай-фон)? ,Do you personally have a smartphone; communicator; i-phone (ai background)?,Нет | Да | ПОЛЬЗУЮТСЯ НЕСКОЛЬКО ЧЛЕНОВ СЕМЬИ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,19731,2022
174,rj360.3,,У Вас лично есть компьютер переносной: ноутбук; лэптоп или нетбук? ,Do you personally have a portable computer: laptop; laptop or netbook?,Нет | ПОЛЬЗУЮТСЯ НЕСКОЛЬКО ЧЛЕНОВ СЕМЬИ | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,19731,2022
175,rj360.4,,"У Вас лично есть портативная развлекательная система PSP (пи-эс-пи) или что-то подобное? *В 2013 году в формулировку вопроса добавлены слова ""или что-то подобное"" ","Do you personally have a portable entertainment system PSP (pi-pi es) or something like that? * In 2013, in the wording of the question, the words ""or something like that""",Нет | Да | ПОЛЬЗУЮТСЯ НЕСКОЛЬКО ЧЛЕНОВ СЕМЬИ | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,1777,19976
176,rj360.5,,У Вас лично есть планшет? ,Do you personally have a tablet?,Нет | Да | ПОЛЬЗУЮТСЯ НЕСКОЛЬКО ЧЛЕНОВ СЕМЬИ | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,19731,2022
177,rj36.1a,,Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (ЧАСОВ) ,The average number of hours and minutes continues your typical day in this job? (Hours),3.0e+00 | 1.0e+08 | 2.0e+00 | 4.0e+00 | 1.0e+00 | 6.0e+00,441,21312
178,rj36.1b,,Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (МИНУТ) ,The average number of hours and minutes continues your typical day in this job? (MIN), 0 | 30 | 40 | 20 | 45 | 48,372,21381
179,rj36.2,,А сколько часов в среднем продолжается Ваша обычная рабочая неделя? ,How many hours on average lasts your usual working week?,99999997 |       10 |       20 |       12 |       15 |       24,441,21312
180,rj363,,Сколько денег Вы получили в качестве пенсии в теч.посл.30 дней? Учитывайте и основную пенсию и доплаты к ней ,How much money you received as a pension in tech.posl.30 days? Understand and basic pension and supplements thereto,   10000.00 |    12000.00 |    11000.00 |    15000.00 |    14000.00 |    13000.00,6033,15720
181,rj37,,Вы работали на этой работе в течение последних 30 дней? ,You've worked at this job in the last 30 days?,Да | Нет,441,21312
182,rj371,,Сколько часов в среднем продолжался Ваш обычный день обучения на этих курсах? ,"How many hours on average, continue your normal day of training in these courses?",8.0e+00 | 6.0e+00 | 2.0e+00 | 4.0e+00 | 3.0e+00 | 5.0e+00,658,21095
183,rj38,,Сколько часов Вы фактически отработали на этой работе в течение последних 30 дней? ,How many hours you actually worked at this job in the last 30 days?,99999997 |       40 |       60 |       30 |       80 |      120,416,21337
184,rj39,,На той работе; о которой мы сейчас говорим; в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли? ,On the work; about which we are talking; in the last 30 days you get some amount of money as salary; Prize; subsidies; benefits; income; profits?,Да | Нет,441,21312
185,rj40,,Сколько денег в течение последних 30 дней Вы получили на этой работе после вычета налогов? Если все или часть денег Вы получили не в рублях; а в иностранной валюте; переведите  все в рубли и назовите общую сумму ,How much money in the last 30 days you got this job after taxes? If all or part of the money you received is not in rubles; and in foreign currency; turn all into rubles and name totaling,   10000 |     5000 |    15000 |    20000 |     3000 |     4000,391,21362
186,rj401.1a,,Вы посещаете социальную сеть Одноклассники? ,You visit a social network Odnoklassniki?,Да | Нет | НЕТ ОТВЕТА,7441,14312
187,rj401.1b,,Сколько лет Вы посещаете социальную сеть Одноклассники? ,How many years have you visit a social network Odnoklassniki?,3e+00 | 2e+00 | 5e+00 | 1e+00 | 4e+00 | 1e+08,5789,15964
188,rj401.2a,,Вы посещаете социальную сеть Вконтакте? ,You visit a social network Vkontakte?,Да | Нет | НЕТ ОТВЕТА,7441,14312
189,rj401.2b,,Сколько лет Вы посещаете социальную сеть Вконтакте? ,How many years have you visit a social network Vkontakte?,3e+00 | 2e+00 | 5e+00 | 4e+00 | 1e+00 | 6e+00,4627,17126
190,rj401.3a,,Вы посещаете социальную сеть Фейсбук? ,You are visiting the social network Facebook?,Нет | Да | НЕТ ОТВЕТА,7441,14312
191,rj401.3b,,Сколько лет Вы посещаете социальную сеть Фейсбук? ,How many years have you visit a social network Facebook?,1e+00 | 2e+00 | 3e+00 | 4e+00 | 5e+00 | 1e+08,943,20810
192,rj401.4a,,Вы посещаете социальную сеть Живой Журнал? ,You visit a social network LiveJournal?,Нет | Да | НЕТ ОТВЕТА,7441,14312
193,rj401.4b,,Сколько лет Вы посещаете социальную сеть Живой Журнал? ,How many years have you visit a social network LiveJournal?,1e+00 | 3e+00 | 2e+00 | 1e+08 | 5e+00 | 4e+00,154,21599
194,rj401.5a,,Вы посещаете социальную сеть Твиттер? ,You are visiting the social network Twitter?,Нет | Да | НЕТ ОТВЕТА,7441,14312
195,rj401.5b,,Сколько лет Вы посещаете социальную сеть Твиттер? ,How many years have you visit a social network Twitter?,1e+00 | 2e+00 | 3e+00 | 1e+08 | 4e+00 | 5e+00,418,21335
196,rj41,,На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная ,In this job you work in the enterprise; in the organization? We mean any organization; which employs more than one person; regardless; it private or public,"Вы работаете на предприятии, в организации | Не на предприятии, не в организации | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",441,21312
197,rj4.1,,"В какой отрасли Вы работаете на этой работе? *В 2013 и 2012 годах помимо закрепленных в анкете вариантов ответов 1-18; были закодированы ответы ""Другое"" кодами 20-29. Кодификатор единый для этих годов опроса.  Ранее в 2004-2011 годах закрепленные коды 1-18 дополнялись объединенным кодом 99999996 ""ДРУГОЕ"" (без подробной кодировки). ","In what industry you work in this job? * In 2013 and 2012, in addition to fixed in the questionnaire answers are 1-18; Answers were coded ""Other"" codes 20-29. Codifier same for these years of the survey. Earlier in the years 2004-2011 embodied codes 1-18 supplemented combined code 99999996 ""Other"" (without detailed coding).","ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ | ОБРАЗОВАНИЕ | ТРАНСПОРТ, СВЯЗЬ | СТРОИТЕЛЬСТВО | ЗДРАВООХРАНЕНИЕ | ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",10096,11657
198,rj41.1,,Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту? ,"You feature on this work officially; that is, the workbook; employment agreement; contract?",Оформлены официально | Не оформлены официально | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,290,21463
199,rj41.2,,Почему Вы не оформлены на этой работе официально? ,Why do not you feature on this work officially?,"И работодатель, и Вы сами не хотели оформляться | Вы сами не хотели оформляться | Работодатель не хочет оформлять | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА",105,21648
200,rj43,,Сколько человек работает на этом Вашем предприятии? Если не знаете точно; скажите примерно ,How many people work on this your business? If you do not know exactly; tell about,1.0e+08 | 1.0e+01 | 1.0e+02 | 3.0e+00 | 3.0e+01 | 5.0e+00,290,21463
201,rj49,,Является государство владельцем или совладельцем Вашего предприятия; организации? ,The State is the owner or co-owner of your company; organization?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,290,21463
202,rj50,,Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица? ,Is the owner or co-owners of your company; organization of foreign companies or foreign individuals?,Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Да,290,21463
203,rj51,,Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы? ,"Is the owner or co-owners of your company; organization of any Russian private person; collective enterprises, or Russian private firms?",Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,290,21463
204,rj52,,А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете? ,Do you personally own or co-owner of the company; where do you work?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,290,21463
205,rj5.2,,"Как Вы нашли эту Вашу основную работу? * В 2013 году добавлен новый код 14 ""Другое""; который поясняется в  последующей текстовой переменной  rj5.2s ","How did you find this your main job? * In 2013, added new code 14 ""Other""; which is explained in the subsequent text variable rj5.2s","ЧЕРЕЗ ДРУЗЕЙ ИЛИ ЗНАКОМЫХ | ПРИШЛИ НЕПОСРЕДСТВЕННО В ОТДЕЛ КАДРОВ ПРЕДПРИЯТИЯ, ОРГАНИЗАЦИИ | ЧЕРЕЗ РОДСТВЕННИКОВ | ПО ПРИГЛАШЕНИЮ РУКОВОДСТВА ИЛИ СОТРУДНИКОВ ЭТОГО ПРЕДПРИЯТИЯ, ОРГАНИЗАЦИИ | САМИ СОЗДАЛИ ПРЕДПРИЯТИЕ, СОБСТВЕННОЕ ДЕЛО | УВИДЕЛИ, УСЛЫШАЛИ РЕКЛАМНОЕ ОБЪЯВЛЕНИЕ НЕ В ИНТЕРНЕТЕ",10096,11657
206,rj5.2s,,ДРУГОЕ к rj5.2 - Как Вы нашли эту Вашу основную работу? ,To each rj5.2 - How did you find this your main job?,                                                                                                                         |  9-НЕТ ОТВЕТА                                                                                                            | Выборная должность                                                                                                       | По конкурсу                                                                                                              | По назначению                                                                                                            | Вернулся на прежнюю работу                                                                                              ,21753,0
207,rj56,,В течение последних 30 дней Вы занимались (еще) какой-нибудь работой; за которую Вам заплатили или должны заплатить? ,Over the past 30 days did you do (yet) any work; for which you have paid or have to pay?,Нет | Да | ОТКАЗ ОТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,17954,3799
208,rj56.11c,,Код профессии по ISCO88 первого случайного заработка ,Code of the profession for the first random ISCO88 earnings,"неквалифицированный рабочий сельского хозяйства, сборщик фруктов | продавец в киоске, на рынке | неквалифицированный рабочий строительства | водитель легкого автомобиля | штукатур | водитель грузового автомобиля",931,20822
209,rj56.12c,,Код профессии по ISCO88 второго случайного заработка ,Code profession ISCO88 second random earnings,"неквалифицированный рабочий сельского хозяйства, сборщик фруктов | продавец в киоске, на рынке | грузчик | неквалифицированный рабочий строительства | маляр, строитель, обойщик | прочие неквалифицированные рабочие",131,21622
210,rj56.13c,,Код профессии по ISCO88 третьего случайного заработка ,Code profession ISCO88 third odd jobs,"неквалифицированный рабочий сельского хозяйства, сборщик фруктов | прочие неквалифицированные рабочие | водитель грузового автомобиля | грузчик | дворник, случайная работа | кирпичеукладчик, каменщик, строитель",18,21735
211,rj57,,Сколько всего денег в течение последних 30 дней Вам заплатили за всю эту работу? Если оплата производилась в неденежной форме; оцените; сколько это; примерно; будет в рублях? ,How much money in the last 30 days you paid for all this work? If payment is made in kind; vote; how much it; about; will be in rubles?,   10000 |     5000 |    15000 |     2000 |    20000 |     3000,929,20824
212,rj58,,Для Вас это был случайный заработок или Вы часто занимаетесь такой работой и регулярно получаете за это деньги? ,"For you, this was a random earnings or you often do this kind of work and regularly get money for it?",Случайный заработок | Регулярный заработок | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,929,20824
213,rj59,,Сколько часов за последние 30 дней Вы занимались всей этой работой? ,How many hours in the last 30 days did you do all this work?,99999997 |       10 |       60 |       20 |       40 |       30,929,20824
214,rj59.1,,Скажите; эта работа была оформлена официально; например; по договору или контракту; лицензии? ,tell me; This work has been issued officially; for example; under the agreement or contract; Licenses?,Нет | Да | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,929,20824
215,rj5a,,С какого года Вы работаете на этом предприятии; на этой работе? Если Вы увольнялись и снова возвращались на это же предприятие; на эту работу; назовите дату последнего возвращения (ГОД) ,When did you work for this company; in this job? If you leave and come back again to the same company; for this work; name the date of the last return (year),    2013 |     2012 |     2010 |     2011 |     2009 |     2008,10096,11657
216,rj5b,,С какого месяца Вы работаете на этом предприятии; на этой работе? Если Вы увольнялись и снова возвращались на это же предприятие; на эту работу; назовите дату последнего возвращения (МЕСЯЦ) ,From what month do you work at the enterprise; in this job? If you leave and come back again to the same company; for this work; name the date of the last return (months),Сентябрь | Август | Октябрь | Июнь | Июль | Май,10094,11659
217,rj6,,У Вас есть подчиненные на этой работе? ,Do you have a slave in this job?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,10096,11657
218,rj60,,Сколько всего денег в течение последних 30 дней Вы лично получили; считая все: зарплату; пенсии; премии; прибыли; пособия; материальную помощь; случайные заработки и другие денежные поступления ,How much money in the last 30 days you personally received; Considering all: salary; pensions; Prize; profits; benefits; financial assistance; odd jobs and other cash receipts,       0.00 |    15000.00 |    20000.00 |    10000.00 |    30000.00 |    25000.00,17954,3799
219,rj6.0,,Сколько у Вас подчиненных? Пожалуйста; посчитайте всех Ваших подчиненных; а не только тех; кто находится в Вашем непосредственном подчинении ,How you subordinates? Please; count all your subordinates; not just those; who is your direct submission,       2 |        1 |        3 |        4 |        5 |       10,1949,19804
220,rj60.1,,Скажите; пожалуйста; Вы когда-нибудь пытались организовать свое собственное предприятие; начать свое собственное дело? ,tell me; please; Have you ever tried to organize his own company; start your own business?,"Никогда не пытались | Пытались, но ничего из этого не вышло | Пытались, и Вам это удалось | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА",17244,4509
221,rj60.4a1,,В течение последних 12 месяцев Вы работали на дополнительной работе? ,During the past 12 months have you worked for the extra work?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
222,rj604a10,,В течение последних 12 месяцев Вы охотились или собирали грибы; ягоды; травы и т.п. на продажу? ,"During the past 12 months, have you hunted or gathered mushrooms; berries; grass etc. for sale?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
223,rj60.4a2,,В течение последних 12 месяцев Вы выращивали что-то на своем участке на продажу или на обмен? ,"During the past 12 months, have you grown something on the site for sale or exchange?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
224,rj60.4a3,,В течение последних 12 месяцев Вы разводили скот; птицу; рыб; другую живность на продажу? ,"During the past 12 months, have you raised cattle; poultry; fish; other animals for sale?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
225,rj60.4a7,,В течение последних 12 месяцев Вы сдавали внаем квартиру; комнату; дачу; гараж; автомобиль? ,"During the past 12 months, have you rented an apartment; room; cottage; garage; a car?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
226,rj60.4a8,,В течение последних 12 месяцев Вы клали деньги в банк под проценты; давали деньги взаймы под проценты? ,"During the past 12 months, have you put money in the bank at interest; to lend money at interest?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
227,rj60.4a9,,В течение последних 12 месяцев Вы оказывали услуги за плату; например; подвозили кого-то на машине; ремонтировали бытовую технику; автомобили; нанимались делать ремонт в квартире и т.п.? ,"In the last 12 months you have been providing services for a fee; for example; someone a ride on the machine; repairing appliances; automobiles; hired to make repairs in the apartment, and the like?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
228,rj60.5a,,Как изменилось материальное положение Вашей семьи за последние 12 месяцев? ,How has your financial position in the last 12 months?,Осталось без изменений | Немного улучшилось | Немного ухудшилось | Значительно ухудшилось | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Значительно улучшилось,17954,3799
229,rj61,,Как Вы думаете; через 12 месяцев Вы и Ваша семья будете жить лучше или хуже; чем сегодня? ,"What do you think; after 12 months, you and your family will live better or worse; than it is today?",Ничего не изменится | Будете жить немного лучше | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Будете жить немного хуже | Будете жить намного лучше | Будете жить намного хуже,17954,3799
230,rj6.1a,,Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (ЧАСОВ) *В 2013 году; так же как и в 2012 году; введен новый код; не указанный в анкете: 99999996 'НЕНОРМИРОВАННЫЙ РАБОЧИЙ ДЕНЬ'. Он фиксирует ситуацию; когда респондент не может ответить на вопрос о длительности  своего обычного рабочего дня именно по этой причине; что и зафиксировано интервьюером на полях анкеты ,What is the average continuing your normal working day on the job: hours and minutes? (Hours) * In 2013; as well as in 2012; Enter the new code; not specified in the questionnaire: 99999996 'long working hours'. He captures the situation; when the respondent can not answer the question about the duration of their normal working hours for this reason; as recorded by the interviewer in the fields of profiles,8.0e+00 | 1.2e+01 | 7.0e+00 | 1.0e+01 | 2.4e+01 | 6.0e+00,10096,11657
231,rj6.1b,,Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (МИНУТ) ,What is the average continuing your normal working day on the job: hours and minutes? (MIN), 0 | 30 | 20 | 15 | 12 | 42,9731,12022
232,rj62,,Представьте себе лестницу из 9 ступеней; где на нижней; первой ступени; стоят нищие; а на высшей; девятой  - богатые. На какой из девяти ступеней находитесь сегодня Вы лично? ,Imagine a staircase of 9 steps; wherein on the bottom; the first stage; are poor; and at the top; ninth - the rich. Which of the nine steps are you personally today?,5e+00 | 4e+00 | 3e+00 | 6e+00 | 2e+00 | 1e+00,17954,3799
233,rj6.2,,Сколько часов в среднем продолжается Ваша обычная рабочая неделя? ,How many hours on average lasts your usual working week?,      40 |       48 |       36 | 99999997 |       60 |       42,10096,11657
234,rj63,,Представьте себе лестницу; из 9 ступеней; где на нижней ступени стоят совсем бесправные; а на высшей - те; у кого большая власть. На какой из девяти ступеней находитесь сегодня Вы лично? ,Imagine a ladder; of 9 degrees; where on the lower level are quite powerless; and at the top - those; Who has more power. Which of the nine steps are you personally today?,5e+00 | 3e+00 | 4e+00 | 2e+00 | 6e+00 | 1e+00,17954,3799
235,rj64,,Еще одна лестница из 9 ступеней; где на нижней ступени находятся люди; которых совсем не уважают; а на высшей - те; кого очень уважают. На какой из девяти ступеней находитесь сегодня Вы лично? ,Another staircase of 9 steps; where on the lower level are the people; which is not respected; and at the top - those; who are highly respected. Which of the nine steps are you personally today?,7e+00 | 8e+00 | 5e+00 | 6e+00 | 9e+00 | 4e+00,17954,3799
236,rj65,,Насколько Вы удовлетворены своей жизнью в целом в настоящее время? ,Are you satisfied with your life as a whole nowadays?,"Скорее удовлетворены | И да, и нет | Не очень удовлетворены | Полностью удовлетворены | Совсем не удовлетворены | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",17954,3799
237,rj66,,Насколько Вас беспокоит то; что Вы не сможете обеспечивать себя самым необходимым в ближайшие 12 месяцев? ,As far as you are concerned; that you will not be able to provide for themselves the necessities in the next 12 months?,"Немного беспокоит | Очень беспокоит | Не очень беспокоит | И да, и нет | Совсем не беспокоит | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",17954,3799
238,rj66.1,,Насколько Вы удовлетворены своим материальным положением в настоящее время? ,Are you satisfied with their financial situation at the moment?,"Не очень удовлетворены | Совсем не удовлетворены | Скорее удовлетворены | И да, и нет | Полностью удовлетворены | НЕТ ОТВЕТА",17954,3799
239,rj69.1,,Представьте себе «лестницу профессионального мастерства»; состоящую из 9 ступеней; где 1 ступенька – это уровень начинающего; ученика; а 9 – это уровень «профессионала высокого класса». На какую из них Вы поместили бы себя? ,"Imagine a ""ladder of professional skills""; 9 steps consisting of; where 1 step - a novice level; student; and 9 - is the level of ""high-class professional."" On which one would you put yourself?",7e+00 | 8e+00 | 5e+00 | 9e+00 | 6e+00 | 1e+08,17244,4509
240,rj69.9c,,В каком году Вы родились? ,In what year were you born?,1986 | 1983 | 1985 | 1978 | 1984 | 1987,21753,0
241,rj7,,Вы работали по основному месту работы в течение последних 30 дней? ,You worked on the main job in the last 30 days?,Да | Нет | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,10096,11657
242,rj70,,У Вас есть аттестат о полном среднем образовании; то есть об окончании 10 - 12 классов? ,"Do you have a certificate of secondary education; that is, the end of the 10 - 12 classes?",Да | Нет | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,10970,10783
243,rj70.1,,Сколько классов школы Вы закончили? * В 2013 году блок вопросов об образовании респондента (j70.1-j72) задавался только новым респондентам; а также мужчинам; которые ранее участвовали в опросе и родились в 1954 году и позже; и женщинам; которые  ранее участвовали в опросе и родились в 1959 году или позже. Остальным респондентам данные об их образовании были восстановлены из последней волны; в которой данный человек отвечал на вопросы этого блока.  В 2012 году этот блок вопросов задавали всем респондентам; которые ни разу не участвовали в данном опросе; либо с тех пор; как он участвовал в данном исследовании; в его образовании что-нибудь изменилось (по мнению респондента); остальные данные восстанавливались. ,"How many years of schooling you have completed? * In 2013, a block of questions on education respondent (j70.1-j72) asked only new respondents; as well as men; who had previously participated in the survey were born in 1954 and later; and women; who had previously participated in the survey were born in 1959 or later. The remaining respondents about their education data were restored from the last wave; in which the person is answering questions of this block. In 2012, this set of questions asked to all respondents; who have never participated in this survey; or since; as he participated in this study; in its formation has anything changed (according to respondents); rest of the data is restored.",1.0e+01 | 1.1e+01 | 9.0e+00 | 8.0e+00 | 7.0e+00 | 4.0e+00,17954,3799
244,rj70.2,,"Вы сейчас учитесь в общеобразовательной школе; общеобразовательном колледже; лицее; экстернате? *В 2013 году вопрос задается респондентам; которые родились в 1988 году или позже. В 2013 году он задавался тем; кто родился в 1994 году или позже. *В 2013 году сделано пояснение для интервьюеров; что здесь идет речь об обычной общеобразовательной школе; либо о тех общеобразовательных школах; которые получили название ""колледж"" или ""лицей"" из-за углубленного изучения некоторых предметов. ","You are studying at a secondary school; general education college; lyceum; external studies? * In 2013, the question is asked of the respondents; who were born in 1988 or later. In 2013, he asked the; who were born in 1994 or later. * In 2013, an explanation is made for interviewers; that there is a question of ordinary schools; or those of secondary schools; which became known as ""college"" or ""high school"" because of the in-depth study of some subjects.",Да | Нет,3722,18031
245,rj71,,Вы учились или учитесь где-нибудь; кроме школы? ,You have studied or studying anywhere; besides school?,Да | Нет | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,17244,4509
246,rj7.1,,Сколько всего рабочих дней было у Вас за последние 30 дней? ,How many days did you have in the last 30 days?,2.2e+01 | 2.1e+01 | 2.0e+01 | 1.5e+01 | 2.4e+01 | 2.3e+01,9522,12231
247,rj72.11,,В течение последних 12 месяцев Вы учились или учитесь на профессиональных курсах; курсах повышения квалификации или любых других курсах; включая курсы иностранных языков; обучение на рабочем месте? ,"During the past 12 months, have you studied or studying in professional courses; training courses or any other courses; including foreign language courses; training in the workplace?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17244,4509
248,rj72121ac,,Код профессии по ISCO88 специальности профессиональных курсов за последние 12 месяцев ,Code profession ISCO88 specialty professional courses in the past 12 months,"другие специалисты в области образования | ассистент программиста (предоставление услуг пользователям) | прочие водители | банщик, косметолог, парикмахер, маникюрша | переводчик, филолог | профессиональная медицинская сестра",658,21095
249,rj72121b,,Эта специальность совпадает с той; которая была у Вас к моменту поступления на курсы? ,This specialty coincides with that; which was with you at the time of admission to the course?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,658,21095
250,rj72121c,,Сколько календарных дней Вы проучились на этих курсах? ,How many days you have studied in these courses?,      30 |       14 |       10 |       90 |        7 |        5,658,21095
251,rj72121d,,За счет каких средств Вы учились на курсах? Можно выбрать несколько ответов. ,What means did you study in school? You can select multiple answers.,Средств предприятия | Личных средств | За счет других источников | Средств предприятия и личных средств | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,658,21095
252,rj72.151,,Собираетесь ли Вы продолжить образование на курсах; в техникуме; ВУЗе аспирантуре; докторантуре в течение ближайших трех лет? ,Are you going to continue education courses; in college; High school graduate; doctoral studies in the next three years?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,13304,8449
253,rj72160,,В течение последних 12 месяцев Вы пользовались персональным компьютером для работы или учебы? ,"During the past 12 months, have you used a personal computer for work or study?",Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,12158,9595
254,rj72.161,,Приходилось ли Вам в течение последних 12 месяцев пользоваться персональным компьютером в любых целях? ,Have you in the past 12 months to use a personal computer for any purpose?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,19731,2022
255,rj721621,,В течение последних 12 месяцев Вы пользовались персональным компьютером у себя дома? ,"During the past 12 months, have you used a personal computer at home?",Да | Нет | НЕТ ОТВЕТА,12158,9595
256,rj721622,,В течение последних 12 месяцев Вы пользовались персональным компьютером по месту работы; учебы? ,"During the past 12 months, have you used a personal computer in the workplace; studies?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,12158,9595
