varcode,russian,english
rj72.2c,Получили ли диплом в ПТУ; ФЗУ; ФЗО без среднего образования? (первое) ,Have a diploma in vocational schools; trade schools; FZO without secondary education? (first)
rj72.2e,В каком году окончили/ушли из ПТУ; ФЗУ; ФЗО без среднего образования? (первое) ,In what year graduated / left the PTU; trade schools; FZO without secondary education? (first)
rj72.2h,Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования очно? (первое) ,You have studied or are studying at vocational schools; trade schools; FZO without a full-time secondary education? (first)
rj72.2i,Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первое) ,You have studied or studying in the same locality; where they lived before the training? (first)
rj72.2a2,Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования? (второе) ,You have studied or are studying at vocational schools; trade schools; FZO without secondary education? (second)
rj72.2b2,Сколько лет Вы проучились в ПТУ; ФЗУ; ФЗО без среднего образования? (второе) ,How long have you been studying at vocational schools; trade schools; FZO without secondary education? (second)
rj722dbc,Код профессии по ISCO88 второй специальности ПТУ без среднего образования ,Code profession ISCO88 second specialty PTU without secondary education
rj72.2c2,Получили ли диплом в ПТУ; ФЗУ; ФЗО без среднего образования? (второе) ,Have a diploma in vocational schools; trade schools; FZO without secondary education? (second)
rj72.2e2,В каком году окончили/ушли из ПТУ; ФЗУ; ФЗО без среднего образования? (второе) ,In what year graduated / left the PTU; trade schools; FZO without secondary education? (second)
rj72.2h2,Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования очно? (второе) ,You have studied or are studying at vocational schools; trade schools; FZO without a full-time secondary education? (second)
rj72.2i2,Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второе) ,You have studied or studying in the same locality; where they lived before the training? (second)
rj72.3a,Вы учились или учитесь в ПТУ со средним образованием; техническом училище? (первое) ,You have studied or are studying at vocational secondary education; technical school? (first)
rj72.3b,Сколько лет Вы проучились в ПТУ со средним образованием; техническом училище? (первое) ,How long have you been studying at vocational secondary education; technical school? (first)
rj723dac,Код профессии по ISCO88 первой специальности ПТУ со средним образованием ,Code profession ISCO88 first specialty vocational secondary education
rj72.3c,Получили ли диплом в ПТУ со средним образованием; техническом училище? (первое) ,Have a diploma in vocational secondary education; technical school? (first)
rj72.3e,В каком году окончили/ушли из ПТУ со средним образованием; технического училища? (первое) ,In what year graduated / left of vocational secondary education; technical school? (first)
rj72.3h,Вы учились или учитесь в ПТУ со средним образованием; техническом училище очно? (первое) ,You have studied or are studying at vocational secondary education; technical school full-time? (first)
rj72.3i,Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первое) ,You have studied or studying in the same locality; where they lived before the training? (first)
rj72.3a2,Вы учились или учитесь в ПТУ со средним образованием; техническом училище? (второе) ,You have studied or are studying at vocational secondary education; technical school? (second)
rj72.3b2,Сколько лет Вы проучились в ПТУ со средним образованием; техническом училище? (второе) ,How long have you been studying at vocational secondary education; technical school? (second)
rj723dbc,Код профессии по ISCO88 второй специальности ПТУ со средним образованием ,Code profession ISCO88 second specialty vocational secondary education
rj72.3c2,Получили ли диплом в ПТУ со средним образованием; техническом училище? (второе) ,Have a diploma in vocational secondary education; technical school? (second)
rj72.3e2,В каком году окончили/ушли из ПТУ со средним образованием; технического училища? (второе) ,In what year graduated / left of vocational secondary education; technical school? (second)
rj72.3h2,Вы учились или учитесь в ПТУ со средним образованием; техническом училище очно? (второе) ,You have studied or are studying at vocational secondary education; technical school full-time? (second)
rj72.3i2,Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второе) ,You have studied or studying in the same locality; where they lived before the training? (second)
rj72.4a,Вы учились или учитесь в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (первый) ,You have studied or are studying at college; health; music; Teachers; Art School? (first)
rj72.4b,Сколько лет Вы проучились в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (первый) ,How long have you been studying at college; health; music; Teachers; Art School? (first)
rj724dac,Код профессии по ISCO88 первой специальности техникума; училища ,Code profession ISCO88 first specialty college; school
rj72.4c,Получили ли диплом в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (первый) ,Have a diploma in college; health; music; Teachers; Art School? (first)
rj72.4e,В каком году окончили/ушли из техникума; медицинского; музыкального; педагогического; художественного училища? (первый) ,In what year graduated / left the College; health; music; teacher; Art School? (first)
rj72.4h,Вы учились или учитесь в техникуме; училище очно? (первый)? ,You have studied or are studying at college; school full-time? (first)?
rj72.4i,Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первый) ,You have studied or studying in the same locality; where they lived before the training? (first)
rj72.4a2,Вы учились или учитесь в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (второй) ,You have studied or are studying at college; health; music; Teachers; Art School? (second)
rj72.4b2,Сколько лет Вы проучились в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (второй) ,How long have you been studying at college; health; music; Teachers; Art School? (second)
rj724dbc,Код профессии по ISCO88 второй специальности техникума; училища ,Code profession ISCO88 second specialty college; school
rj72.4c2,Получили ли диплом в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (второй) ,Have a diploma in college; health; music; Teachers; Art School? (second)
rj72.4e2,В каком году окончили/ушли из техникума; медицинского; музыкального; педагогического; художественного училища? (второй) ,In what year graduated / left the College; health; music; teacher; Art School? (second)
rj72.4h2,Вы учились или учитесь в техникуме; училище очно? (второй) ,You have studied or are studying at college; school full-time? (second)
rj72.4i2,Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второй) ,You have studied or studying in the same locality; where they lived before the training? (second)
rj72.5a,Вы учились или учитесь в институте; университете; академии; включая магистратуру? (первый) ,You have studied or are studying at the institute; University; Academy; including the Masters? (first)
rj72.5b,Сколько лет Вы проучились в институте; университете; академии? (первый) ,How long have you been studying at the institute; University; Academy? (first)
rj725dac,Код профессии по ISCO88 первой специальности института; университета; академии; включая магистратуру ,Code profession ISCO88 first specialty institute; University; Academy; including Masters
rj72.5c,Получили ли диплом в институте; университете; академии; включая магистратуру? (первый) ,Have a diploma at the Institute; University; Academy; including the Masters? (first)
rj72.5e,В каком году окончили/ушли из института; университета; академии; включая магистратуру? (первый) ,In what year graduated / left the institute; University; Academy; including the Masters? (first)
rj72.5h,Вы учились или учитесь в институте; университете; академии; включая магистратуру; очно? (первый) ,You have studied or are studying at the institute; University; Academy; including the magistracy; full-time? (first)
rj72.5i,Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первый) ,You have studied or studying in the same locality; where they lived before the training? (first)
rj72.5a2,Вы учились или учитесь в институте; университете; академии; включая магистратуру? (второй) ,You have studied or are studying at the institute; University; Academy; including the Masters? (second)
rj72.5b2,Сколько лет Вы проучились в институте; университете; академии; включая магистратуру? (второй) ,How long have you been studying at the institute; University; Academy; including the Masters? (second)
rj725dbc,Код профессии по ISCO88 второй специальности института; университета; академии; включая магистратуру ,Code profession ISCO88 second specialty institute; University; Academy; including Masters
rj72.5c2,Получили ли диплом в институте; университете; академии; включая магистратуру? (второй) ,Have a diploma at the Institute; University; Academy; including the Masters? (second)
rj72.5e2,В каком году окончили/ушли из института; университета; академии; включая магистратуру? (второй) ,In what year graduated / left the institute; University; Academy; including the Masters? (second)
rj72.5h2,Вы учились или учитесь в институте; университете; академии; включая магистратуру; очно? (второй) ,You have studied or are studying at the institute; University; Academy; including the magistracy; full-time? (second)
rj72.5i2,Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второй) ,You have studied or studying in the same locality; where they lived before the training? (second)
rj72.51,Во время обучения в ВУЗе Вы (работали / работаете)? ,While studying at the university you (work / work)?
rj72.6a,Вы учились или учитесь в аспирантуре; ординатуре? (первая) ,You have studied or studying in graduate school; residency? (first)
rj72.6b,Сколько лет Вы проучились в аспирантуре; ординатуре? (первая) ,How long have you been studying in graduate school; residency? (first)
rj726dac,Код профессии по ISCO88 первой специальности аспирантуры; ординатуры ,Code profession ISCO88 first postgraduate specialty; residency
rj72.6c,Получили ли диплом аспирантуре; ординатуре? (первая) ,Did postgraduate diploma; residency? (first)
rj72.6e,В каком году окончили/ушли из аспирантуры; ординатуры? (первая) ,In what year finished / gone from graduate school; residency? (first)
rj72.6h,Вы учились или учитесь в аспирантуре; ординатуре очно? (первая) ,You have studied or studying in graduate school; residency in person? (first)
rj72.6i,Вы учитесь в том же населенном пункте; где проживали до начала обучения? (первая) ,You learn in the same locality; where they lived before the training? (first)
rj72.6a2,Вы учились или учитесь в аспирантуре; ординатуре? (вторая) ,You have studied or studying in graduate school; residency? (second)
rj72.6b2,Сколько лет Вы проучились в аспирантуре; ординатуре? (вторая) ,How long have you been studying in graduate school; residency? (second)
rj726dbc,Код профессии по ISCO88 второй специальности аспирантуры ,Code profession ISCO88 second specialty postgraduate
rj72.6c2,Получили ли диплом аспирантуре; ординатуре? (вторая) ,Did postgraduate diploma; residency? (second)
rj72.6e2,В каком году окончили/ушли из аспирантуры; ординатуры? (вторая) ,In what year finished / gone from graduate school; residency? (second)
rj72.6h2,Вы учились или учитесь в аспирантуре; ординатуре очно? (вторая) ,You have studied or studying in graduate school; residency in person? (second)
rj72.6i2,Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (вторая) ,You have studied or studying in the same locality; where they lived before the training? (second)
rj72.18a,Какой у Вас самый высокий уровень образования; по которому Вы получили аттестат; свидетельство; диплом? ,What is your highest level of education; on which you received the certificate; certificate; diploma?
rj69.1,Представьте себе «лестницу профессионального мастерства»; состоящую из 9 ступеней; где 1 ступенька – это уровень начинающего; ученика; а 9 – это уровень «профессионала высокого класса». На какую из них Вы поместили бы себя? ,"Imagine a ""ladder of professional skills""; 9 steps consisting of; where 1 step - a novice level; student; and 9 - is the level of ""high-class professional."" On which one would you put yourself?"
rj60.1,Скажите; пожалуйста; Вы когда-нибудь пытались организовать свое собственное предприятие; начать свое собственное дело? ,tell me; please; Have you ever tried to organize his own company; start your own business?
rj72.11,В течение последних 12 месяцев Вы учились или учитесь на профессиональных курсах; курсах повышения квалификации или любых других курсах; включая курсы иностранных языков; обучение на рабочем месте? ,"During the past 12 months, have you studied or studying in professional courses; training courses or any other courses; including foreign language courses; training in the workplace?"
rj72121c,Сколько календарных дней Вы проучились на этих курсах? ,How many days you have studied in these courses?
rj371,Сколько часов в среднем продолжался Ваш обычный день обучения на этих курсах? ,"How many hours on average, continue your normal day of training in these courses?"
rj72121b,Эта специальность совпадает с той; которая была у Вас к моменту поступления на курсы? ,This specialty coincides with that; which was with you at the time of admission to the course?
rj72121ac,Код профессии по ISCO88 специальности профессиональных курсов за последние 12 месяцев ,Code profession ISCO88 specialty professional courses in the past 12 months
rj72121d,За счет каких средств Вы учились на курсах? Можно выбрать несколько ответов. ,What means did you study in school? You can select multiple answers.
rj72.151,Собираетесь ли Вы продолжить образование на курсах; в техникуме; ВУЗе аспирантуре; докторантуре в течение ближайших трех лет? ,Are you going to continue education courses; in college; High school graduate; doctoral studies in the next three years?
rj72a.1,Вы собираетесь в течение ближайших трех лет учиться: на профессиональных курсах? ,You are going for the next three years to learn: in professional courses?
rj72a.2,Вы собираетесь в течение ближайших трех лет учиться: в техникуме? ,You are going for the next three years to learn: in college?
rj72a.3,Вы собираетесь в течение ближайших трех лет учиться: в ВУЗе; в том числе в магистратуре; аспирантуре; докторантуре? ,You are going for the next three years to learn: at the university; including a master's degree; graduate; doctorate?
rj260,Скажите; пожалуйста; Вы владеете каким-либо иностранным языком; помимо языков бывших республик СССР? ,tell me; please; You own some foreign language; than the languages of the former Soviet republics?
rj262,В какой степени Вы владеете иностранным языком? ,To what extent do you speak a foreign language?
rj72.161,Приходилось ли Вам в течение последних 12 месяцев пользоваться персональным компьютером в любых целях? ,Have you in the past 12 months to use a personal computer for any purpose?
rj721621,В течение последних 12 месяцев Вы пользовались персональным компьютером у себя дома? ,"During the past 12 months, have you used a personal computer at home?"
rj721622,В течение последних 12 месяцев Вы пользовались персональным компьютером по месту работы; учебы? ,"During the past 12 months, have you used a personal computer in the workplace; studies?"
rj721623,В течение последних 12 месяцев Вы пользовались персональным компьютером в других местах? ,"During the past 12 months, have you used a personal computer in other places?"
rj72160,В течение последних 12 месяцев Вы пользовались персональным компьютером для работы или учебы? ,"During the past 12 months, have you used a personal computer for work or study?"
rj123,Приходилось ли Вам в течение последних 12 месяцев пользоваться Интернетом? ,Have you in the past 12 months to use the Internet?
rj124.1,В течение последних 12 месяцев Вы пользовались Интернетом у себя дома? ,"During the past 12 months, have you used the Internet at home?"
rj124.2,В течение последних 12 месяцев Вы пользовались Интернетом по месту работы; учебы? ,"During the past 12 months, have you used the Internet in the workplace; studies?"
rj124.3,В течение последних 12 месяцев Вы пользовались Интернетом в Интернет-кафе? ,"During the past 12 months, have you used the Internet at Internet cafes?"
rj124.4,В течение последних 12 месяцев Вы пользовались Интернетом в других местах? ,"During the past 12 months, have you used the Internet in other places?"
rj359.1,Вы пользуетесь для выхода в Интернет ноутбуком; лэптопом? ,You use to access the Internet laptop; laptop?
rj359.5,Вы пользуетесь для выхода в Интернет персональным компьютером? ,You use to access the Internet PC?
rj359.4,Вы пользуетесь для выхода в Интернет планшетом? ,You use to access the Internet Tablet?
rj359.3,Вы пользуетесь для выхода в Интернет мобильным телефоном или смартфоном? ,You use to access the Internet mobile phone or smartphone?
rj359.6,Вы пользуетесь для выхода в Интернет чем-то другим? ,You use to access the Internet with something else?
rj125.1,Вы пользовались Интернетом в течение последних 12 месяцев для учебы? ,You used the Internet in the last 12 months to study?
rj125.2,Вы пользовались Интернетом в течение последних 12 месяцев для работы? ,You used the Internet in the last 12 months to work?
rj125.3,Вы пользовались Интернетом в течение последних 12 месяцев для развлечений? ,You used the Internet in the last 12 months for entertainment?
rj125.4,Вы пользовались Интернетом в течение последних 12 месяцев для общения с другими людьми? ,You used the Internet in the last 12 months to communicate with other people?
rj125.5,Вы пользовались Интернетом в течение последних 12 месяцев для получения информации о новостях? ,You used the Internet in the last 12 months to get information about news?
rj125.6,Вы пользовались Интернетом в течение последних 12 месяцев для расширения кругозора; повышения своего культурного уровня? ,You used the Internet in the last 12 months to expand the horizons; improve their cultural level?
rj125.7,Вы пользовались Интернетом в течение последних 12 месяцев для получения справочных материалов? ,You used the Internet in the last 12 months for reference materials?
rj125.8,Вы пользовались Интернетом в течение последних 12 месяцев для покупок; получения товаров и услуг? ,You used the Internet in the last 12 months for purchases; receipt of goods and services?
rj125.10,Вы пользовались Интернетом в течение последних 12 месяцев для посещения сайтов социальных сетей? ,You used the Internet in the last 12 months to visit social networking sites?
rj125.9,Вы пользовались Интернетом в течение последних 12 месяцев для чего-то еще? ,You used the Internet in the last 12 months for something else?
rj401.1a,Вы посещаете социальную сеть Одноклассники? ,You visit a social network Odnoklassniki?
rj401.1b,Сколько лет Вы посещаете социальную сеть Одноклассники? ,How many years have you visit a social network Odnoklassniki?
rj401.2a,Вы посещаете социальную сеть Вконтакте? ,You visit a social network Vkontakte?
rj401.2b,Сколько лет Вы посещаете социальную сеть Вконтакте? ,How many years have you visit a social network Vkontakte?
rj401.3a,Вы посещаете социальную сеть Фейсбук? ,You are visiting the social network Facebook?
rj401.3b,Сколько лет Вы посещаете социальную сеть Фейсбук? ,How many years have you visit a social network Facebook?
rj401.4a,Вы посещаете социальную сеть Живой Журнал? ,You visit a social network LiveJournal?
rj401.4b,Сколько лет Вы посещаете социальную сеть Живой Журнал? ,How many years have you visit a social network LiveJournal?
rj401.5a,Вы посещаете социальную сеть Твиттер? ,You are visiting the social network Twitter?
rj401.5b,Сколько лет Вы посещаете социальную сеть Твиттер? ,How many years have you visit a social network Twitter?
rj360.5,У Вас лично есть планшет? ,Do you personally have a tablet?
rj360.3,У Вас лично есть компьютер переносной: ноутбук; лэптоп или нетбук? ,Do you personally have a portable computer: laptop; laptop or netbook?
rj360.2,У Вас лично есть смартфон; коммуникатор; i-phone (ай-фон)? ,Do you personally have a smartphone; communicator; i-phone (ai background)?
rj184,У Вас лично есть мобильный сотовый телефон? ,Do you personally have a mobile cell phone?
rj322,Состоите ли Вы в зарегистрированном браке? ,Are you a member registered marriage?
rj323m,Когда Вы зарегистрировали этот брак? (МЕСЯЦ) ,When you register the marriage? (Months)
rj323y,Когда Вы зарегистрировали этот брак? (ГОД) ,When you register the marriage? (Year)
rj324,Возможно; Вы проживаете вместе с (партнером/партнершей); но не регистрируете свои отношения? ,possible; Do you live with (partner / partner); but do not register their relationship?
rj324s,ДРУГОЕ к вопросу rj324 - Возможно; Вы проживаете вместе с (партнером/партнершей); но не регистрируете свои отношения? ,To each question rj324 - Possible; Do you live with (partner / partner); but do not register their relationship?
rj325m,Когда Вы впервые начали жить вместе с Вашим нынешним (мужем/партнером)/Вашей нынешней (женой/партнершей)? (МЕСЯЦ) ,When you first started to live together with your current (husband / partner) / your current (wife / partner)? (Months)
rj325y,Когда Вы впервые начали жить вместе с Вашим нынешним (мужем/партнером)/Вашей нынешней (женой/партнершей)? (ГОД) ,When you first started to live together with your current (husband / partner) / your current (wife / partner)? (Year)
rj72.18,В нашем обществе в последнее время много говорят о религии. А каково Ваше отношение к религии? ,In our society in recent years has been much talk about religion. And what are your views on religion?
rj72.19,К какой религии Вы себя относите? ,Which religion do you belong?
rj721631,Имеете ли Вы или Ваша семья возможность при желании улучшить свои жилищные условия - купить комнату; квартиру; дом? ,Do you or your family if you want the opportunity to improve their living conditions - to buy a room; apartment; house?
rj721632,Имеете ли Вы или Ваша семья возможность при желании оплачивать дополнительные занятия детей - музыкальную школу; иностранные языки; спортивные секции; кружки и т.п.? ,"Do you or your family if you want the opportunity to pay for tutoring children - music school; foreign languages; sports clubs; mugs, etc.?"
rj721633,Имеете ли Вы или Ваша семья возможность при желании откладывать деньги на крупные покупки - машину; дачу? ,Do you or your family if you want the opportunity to save for a major purchase - car; cottage?
rj721634,Имеете ли Вы или Ваша семья возможность при желании провести всей семьей отпуск за границей? ,Do you or your family if you want the opportunity to spend a family holiday abroad?
rj721635,Имеете ли Вы или Ваша семья возможность при желании оплачивать учебу ребенка в ВУЗе? ,Do you or your family if you want the opportunity to pay for the child's education at the university?
rj72.171,У Вас есть дети; родные или официально усыновленные? ,Do you have children; relatives or officially adopted?
rj72.172,Сколько всего у Вас детей? ,How many children do you have?
rj72.173,А сколько из них моложе 18 лет? ,And how many of those under age 18?
rj73,Вы сейчас получаете пенсию? Не учитывайте; пожалуйста; пенсии на детей ,You now get a pension? Do not count; please; pension for children
rj73.3y,Сколько полных лет и месяцев составлял Ваш общий трудовой стаж; то есть стаж; по которому рассчитывалась Ваша пенсия; когда Вы выходили на пенсию? Не включайте в него время учебы на дневном отделении ВУЗа или техникума (ЛЕТ) ,How many full years and months was your total seniority; ie seniority; is used to calculate your pension; when you retire? Do not turn it while studying full time at university or college (s)
rj73.3m,Сколько полных лет и месяцев составлял Ваш общий трудовой стаж; то есть стаж; по которому рассчитывалась Ваша пенсия; когда Вы выходили на пенсию? (МЕСЯЦЕВ) ,How many full years and months was your total seniority; ie seniority; is used to calculate your pension; when you retire? (Months)
rj259,Если на момент оформления пенсии у Вас был стаж; который давал право на досрочное оформление пенсии; то сколько полных лет он составлял? ,If at the time of registration of the pension you had experience; which gave the right to early retirement clearance; how many full years he was?
rj73.4y,Сколько полных лет и месяцев Вы отработали уже после выхода на пенсию? (ЛЕТ) ,How many full years and months you have worked after retirement? (S)
rj73.4m,Сколько полных лет и месяцев Вы отработали уже после выхода на пенсию? (МЕСЯЦЕВ) ,How many full years and months you have worked after retirement? (Months)
rj74.1a,"Какую именно пенсию Вы получаете сейчас? *В 2013 году  в ответе 4 слова ""СОЦИАЛЬНУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ"" заменили на ""ГОСУДАРСТВЕННУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ"" ","What kind of retirement you get now? * In 2013, in response 4, the words ""social pensions to disabled citizens"" was replaced with ""public pensions to disabled citizens"""
rj74.1b,"Какую именно пенсию Вы получаете сейчас? *В 2013 году  в ответе 4 слова ""СОЦИАЛЬНУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ"" заменили на ""ГОСУДАРСТВЕННУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ"" ","What kind of retirement you get now? * In 2013, in response 4, the words ""social pensions to disabled citizens"" was replaced with ""public pensions to disabled citizens"""
rj74.1c,"Какую именно пенсию Вы получаете сейчас? *В 2013 году  в ответе 4 слова ""СОЦИАЛЬНУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ"" заменили на ""ГОСУДАРСТВЕННУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ"" ","What kind of retirement you get now? * In 2013, in response 4, the words ""social pensions to disabled citizens"" was replaced with ""public pensions to disabled citizens"""
rj74.1s,Какую именно другую пенсию Вы получаете? ,What kind of retirement you get another?
rj74.22,Вы планируете переход с этого вида трудовой пенсии на другой вид трудовой пенсии? ,You plan to transition to this type of labor pension to another type of labor pension?
rj74.23,На какую трудовую пенсию Вы собираетесь перейти? ,What kind of retirement pension you are going to go?
rj73.1am,Когда именно Вам была назначена пенсия; которую Вы сейчас получаете? Вспомните; пожалуйста; месяц ,Exactly when you were granted a pension; Now you get? Remember; please; month
rj73.1ay,Когда именно Вам была назначена пенсия; которую Вы сейчас получаете? Вспомните; пожалуйста; год ,Exactly when you were granted a pension; Now you get? Remember; please; year
rj75,Вы получали пенсию в течение последних 30 дней на руки или на сберкнижку? ,Did you receive a pension for the last 30 days on your hands or savings account?
rj363,Сколько денег Вы получили в качестве пенсии в теч.посл.30 дней? Учитывайте и основную пенсию и доплаты к ней ,How much money you received as a pension in tech.posl.30 days? Understand and basic pension and supplements thereto
rj187,У Вас есть карточка пенсионного страхования; т.е. страховое пенсионное свидетельство? ,Do you have a pension insurance card; ie pension insurance certificate?
rj77,Есть ли работа у респондента? ,Does it work the respondent?
rj78,Вы работали когда-нибудь? ,You ever worked?
rj161.3y,Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовой стаж; не считая времени учебы на дневном отделении ВУЗа или техникума? ЛЕТ *В 2013 году этот вопрос про стаж задается всем респондентам – работающим и не работающим; не зависимо от ответа на вопрос rj77  ,"How many full years and months of your formalized general seniority; not counting the time studying full time at university or college? YEARS * In 2013, the question about the experience given to all respondents - working and not working; regardless of the answer to the question rj77"
rj161.3m,Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовой стаж; не считая времени учебы на дневном отделении ВУЗа или техникума? МЕСЯЦЕВ *В 2013 году этот вопрос про стаж задается всем респондентам – работающим и не работающим; не зависимо от ответа на вопрос rj77 ,"How many full years and months of your formalized general seniority; not counting the time studying full time at university or college? Month * In 2013, the question about the experience given to all respondents - working and not working; regardless of the answer to the question rj77"
rj80a,В каком году Вы ушли с Вашей последней работы; перестали работать? ,In what year did you leave your last job; stopped working?
rj80b,В каком месяце Вы ушли с Вашей последней работы; перестали работать? ,In what month did you leave your last job; stopped working?
rj80.1,По какой основной причине Вы перестали работать на Вашей последней работе? ,For some the main reason you stopped working at your last job?
rj80.2c,Код профессии по ISCO88 последней работы до ухода ,Code profession ISCO88 last job before retiring
rj85,Вы зарегистрированы в государственной службе занятости как безработный(ая)? *В 2013 году вопрос задается всем респондентам; кто в данный момент не работает.  В 2012 году он задавался только неработающим респондентам; которые НЕ получают пенсию.  ,"You are registered in the State Employment Service as unemployed (aq)? * In 2013, the question is asked of all respondents; who is not currently running. In 2012, he was asked only to non-working respondents; who do not receive a pension."
rj86,Сколько дней тому назад Вы зарегистрировались в государственной службе занятости? ,How many days ago did you enter the civil service employment?
rj87,Вы получаете пособие по безработице? *В 2013 году к этому вопрос поставлен дополнительный фильтр: он не задается; если респондент получает военную пенсию; пенсию по старости или по выслуге лет (т.е. в вопросе j74.1 отмечен один из кодов 6; 7; 8; 9; 10; 11).  ,"You get unemployment benefits? * In 2013, this question is an additional filter: it is not specified; if the respondent receives a military pension; a retirement pension or superannuation (ie the issue of j74.1 marked one of the codes 6, 7, 8, 9, 10, 11)."
rj88,Вы получили пособие по безработице в последние 30 дней? ,You have received unemployment benefits in the last 30 days?
rj89,Сколько денег Вы получили в качестве пособия по безработице в течение последних 30 дней? ,How much money you got as unemployment benefits in the last 30 days?
rj89.1,Служба занятости в течение трех последних месяцев Вам помогала трудоустроиться; пройти обучение или переобучение; оказывала психологическую помощь? ,Employment Service over the last three months to help you find a job; undergo training or retraining; psychological assistance?
rj81,Хотели бы Вы найти (другую) работу? ,Would you like to find (another) job?
rj81.2,Представьте; что Вам сегодня предложили работу. Какую минимальную зарплату Вам должны платить на этой новой работе; чтобы Вы согласились на нее? Сколько рублей? ,Imagine; that you are offered a job today. What is the minimum salary you have to pay for this new work; You agreed to it? How many rubles?
rj81.1,Сколько времени Вы ищете (другую) работу? ,How much time you are looking for (another) job?
rj82,Вы обращались куда-нибудь или к кому-нибудь в поисках работы в течение последних 30 дней? * В 2013 году этот вопрос не задается тем; кто в данный момент не ищет работу (т.е. в вопросе j81.1 отмечено 99999996) . В 2012 году он задавался всем; кто хотел бы найти работу; в том числе и тем из них; кто в период опроса ее не искал ,"You accessed anywhere or to anyone in search of work in the last 30 days? * In 2013, this question is not given by the; who are not currently looking for work (ie the issue of j81.1 noted 99,999,996). In 2012 he was asked to all; who would like to find a job; including those of them; who during the survey it was not looking"
rj83.1,Вы обращались в поисках работы в государственные службы занятости; на биржи труда? ,You turned in search of work in the public employment services; labor exchanges?
