"","varcode","nro","russian","english"
"232","rj62",165,"Представьте себе лестницу из 9 ступеней; где на нижней; первой ступени; стоят нищие; а на высшей; девятой  - богатые. На какой из девяти ступеней находитесь сегодня Вы лично?","Imagine a staircase of 9 steps; wherein on the bottom; the first stage; are poor; and at the top; ninth - the rich. Which of the nine steps are you personally today?"
"233","rj6.2",85,"Сколько часов в среднем продолжается Ваша обычная рабочая неделя?","How many hours on average lasts your usual working week?"
"234","rj63",166,"Представьте себе лестницу; из 9 ступеней; где на нижней ступени стоят совсем бесправные; а на высшей - те; у кого большая власть. На какой из девяти ступеней находитесь сегодня Вы лично?","Imagine a ladder; of 9 degrees; where on the lower level are quite powerless; and at the top - those; Who has more power. Which of the nine steps are you personally today?"
"235","rj64",167,"Еще одна лестница из 9 ступеней; где на нижней ступени находятся люди; которых совсем не уважают; а на высшей - те; кого очень уважают. На какой из девяти ступеней находитесь сегодня Вы лично?","Another staircase of 9 steps; where on the lower level are the people; which is not respected; and at the top - those; who are highly respected. Which of the nine steps are you personally today?"
"236","rj65",168,"Насколько Вы удовлетворены своей жизнью в целом в настоящее время?","Are you satisfied with your life as a whole nowadays?"
"237","rj66",169,"Насколько Вас беспокоит то; что Вы не сможете обеспечивать себя самым необходимым в ближайшие 12 месяцев?","As far as you are concerned; that you will not be able to provide for themselves the necessities in the next 12 months?"
"238","rj66.1",170,"Насколько Вы удовлетворены своим материальным положением в настоящее время?","Are you satisfied with their financial situation at the moment?"
"239","rj69.1",279,"Представьте себе «лестницу профессионального мастерства»; состоящую из 9 ступеней; где 1 ступенька – это уровень начинающего; ученика; а 9 – это уровень «профессионала высокого класса». На какую из них Вы поместили бы себя?","Imagine a ""ladder of professional skills""; 9 steps consisting of; where 1 step - a novice level; student; and 9 - is the level of ""high-class professional."" On which one would you put yourself?"
"240","rj69.9c",171,"В каком году Вы родились?","In what year were you born?"
"241","rj7",86,"Вы работали по основному месту работы в течение последних 30 дней?","You worked on the main job in the last 30 days?"
"242","rj70",173,"У Вас есть аттестат о полном среднем образовании; то есть об окончании 10 - 12 классов?","Do you have a certificate of secondary education; that is, the end of the 10 - 12 classes?"
"243","rj70.1",172,"Сколько классов школы Вы закончили? * В 2013 году блок вопросов об образовании респондента (j70.1-j72) задавался только новым респондентам; а также мужчинам; которые ранее участвовали в опросе и родились в 1954 году и позже; и женщинам; которые  ранее участвовали в опросе и родились в 1959 году или позже. Остальным респондентам данные об их образовании были восстановлены из последней волны; в которой данный человек отвечал на вопросы этого блока.  В 2012 году этот блок вопросов задавали всем респондентам; которые ни разу не участвовали в данном опросе; либо с тех пор; как он участвовал в данном исследовании; в его образовании что-нибудь изменилось (по мнению респондента); остальные данные восстанавливались.","How many years of schooling you have completed? * In 2013, a block of questions on education respondent (j70.1-j72) asked only new respondents; as well as men; who had previously participated in the survey were born in 1954 and later; and women; who had previously participated in the survey were born in 1959 or later. The remaining respondents about their education data were restored from the last wave; in which the person is answering questions of this block. In 2012, this set of questions asked to all respondents; who have never participated in this survey; or since; as he participated in this study; in its formation has anything changed (according to respondents); rest of the data is restored."
"244","rj70.2",174,"Вы сейчас учитесь в общеобразовательной школе; общеобразовательном колледже; лицее; экстернате? *В 2013 году вопрос задается респондентам; которые родились в 1988 году или позже. В 2013 году он задавался тем; кто родился в 1994 году или позже. *В 2013 году сделано пояснение для интервьюеров; что здесь идет речь об обычной общеобразовательной школе; либо о тех общеобразовательных школах; которые получили название колледж или лицей из-за углубленного изучения некоторых предметов.","You are studying at a secondary school; general education college; lyceum; external studies? * In 2013, the question is asked of the respondents; who were born in 1988 or later. In 2013, he asked the; who were born in 1994 or later. * In 2013, an explanation is made for interviewers; that there is a question of ordinary schools; or those of secondary schools; which became known as ""college"" or ""high school"" because of the in-depth study of some subjects."
"245","rj71",181,"Вы учились или учитесь где-нибудь; кроме школы?","You have studied or studying anywhere; besides school?"
"246","rj7.1",87,"Сколько всего рабочих дней было у Вас за последние 30 дней?","How many days did you have in the last 30 days?"
"247","rj72.11",281,"В течение последних 12 месяцев Вы учились или учитесь на профессиональных курсах; курсах повышения квалификации или любых других курсах; включая курсы иностранных языков; обучение на рабочем месте?","During the past 12 months, have you studied or studying in professional courses; training courses or any other courses; including foreign language courses; training in the workplace?"
"248","rj72121ac",285,"Код профессии по ISCO88 специальности профессиональных курсов за последние 12 месяцев","Code profession ISCO88 specialty professional courses in the past 12 months"
"249","rj72121b",284,"Эта специальность совпадает с той; которая была у Вас к моменту поступления на курсы?","This specialty coincides with that; which was with you at the time of admission to the course?"
"250","rj72121c",282,"Сколько календарных дней Вы проучились на этих курсах?","How many days you have studied in these courses?"
"251","rj72121d",286,"За счет каких средств Вы учились на курсах? Можно выбрать несколько ответов.","What means did you study in school? You can select multiple answers."
"252","rj72.151",287,"Собираетесь ли Вы продолжить образование на курсах; в техникуме; ВУЗе аспирантуре; докторантуре в течение ближайших трех лет?","Are you going to continue education courses; in college; High school graduate; doctoral studies in the next three years?"
"253","rj72160",297,"В течение последних 12 месяцев Вы пользовались персональным компьютером для работы или учебы?","During the past 12 months, have you used a personal computer for work or study?"
"254","rj72.161",293,"Приходилось ли Вам в течение последних 12 месяцев пользоваться персональным компьютером в любых целях?","Have you in the past 12 months to use a personal computer for any purpose?"
"255","rj721621",294,"В течение последних 12 месяцев Вы пользовались персональным компьютером у себя дома?","During the past 12 months, have you used a personal computer at home?"
"256","rj721622",295,"В течение последних 12 месяцев Вы пользовались персональным компьютером по месту работы; учебы?","During the past 12 months, have you used a personal computer in the workplace; studies?"
"257","rj721623",296,"В течение последних 12 месяцев Вы пользовались персональным компьютером в других местах?","During the past 12 months, have you used a personal computer in other places?"
"258","rj721631",341,"Имеете ли Вы или Ваша семья возможность при желании улучшить свои жилищные условия - купить комнату; квартиру; дом?","Do you or your family if you want the opportunity to improve their living conditions - to buy a room; apartment; house?"
"259","rj721632",342,"Имеете ли Вы или Ваша семья возможность при желании оплачивать дополнительные занятия детей - музыкальную школу; иностранные языки; спортивные секции; кружки и т.п.?","Do you or your family if you want the opportunity to pay for tutoring children - music school; foreign languages; sports clubs; mugs, etc.?"
"260","rj721633",343,"Имеете ли Вы или Ваша семья возможность при желании откладывать деньги на крупные покупки - машину; дачу?","Do you or your family if you want the opportunity to save for a major purchase - car; cottage?"
"261","rj721634",344,"Имеете ли Вы или Ваша семья возможность при желании провести всей семьей отпуск за границей?","Do you or your family if you want the opportunity to spend a family holiday abroad?"
"262","rj721635",345,"Имеете ли Вы или Ваша семья возможность при желании оплачивать учебу ребенка в ВУЗе?","Do you or your family if you want the opportunity to pay for the child's education at the university?"
"263","rj72.171",346,"У Вас есть дети; родные или официально усыновленные?","Do you have children; relatives or officially adopted?"
"264","rj72.172",347,"Сколько всего у Вас детей?","How many children do you have?"
"265","rj72.173",348,"А сколько из них моложе 18 лет?","And how many of those under age 18?"
"266","rj72.18",339,"В нашем обществе в последнее время много говорят о религии. А каково Ваше отношение к религии?","In our society in recent years has been much talk about religion. And what are your views on religion?"
"267","rj72.18a",278,"Какой у Вас самый высокий уровень образования; по которому Вы получили аттестат; свидетельство; диплом?","What is your highest level of education; on which you received the certificate; certificate; diploma?"
"268","rj72.19",340,"К какой религии Вы себя относите?","Which religion do you belong?"
"269","rj72.1a",182,"Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (первые)","You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (first)"
"270","rj72.1a2",187,"Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (вторые)","You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (second)"
"271","rj72.1a3",192,"Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (третьи)","You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (third)"
"272","rj72.1a4",197,"Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (четвертые)","You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (fourth)"
"273","rj72.1a5",202,"Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (пятые)","You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (fifth)"
"274","rj72.1b",183,"Сколько лет Вы проучились на профессиональных курсах? (первые)","How long have you been studying in professional courses? (first)"
"275","rj72.1b2",188,"Сколько лет Вы проучились на профессиональных курсах? (вторые)","How long have you been studying in professional courses? (second)"
"276","rj72.1b3",193,"Сколько лет Вы проучились на профессиональных курсах? (третьи)","How long have you been studying in professional courses? (third)"
"277","rj72.1b4",198,"Сколько лет Вы проучились на профессиональных курсах? (четвертые)","How long have you been studying in professional courses? (fourth)"
"278","rj72.1b5",203,"Сколько лет Вы проучились на профессиональных курсах? (пятые)","How long have you been studying in professional courses? (fifth)"
"279","rj72.1c",185,"Получили ли диплом на профессиональных курсах? (первые)","Have a diploma in professional courses? (first)"
"280","rj72.1c2",190,"Получили ли диплом на профессиональных курсах? (вторые)","Have a diploma in professional courses? (second)"
"281","rj72.1c3",195,"Получили ли диплом на профессиональных курсах? (третьи)","Have a diploma in professional courses? (third)"
"282","rj72.1c4",200,"Получили ли диплом на профессиональных курсах? (четвертые)","Have a diploma in professional courses? (fourth)"
"283","rj72.1c5",205,"Получили ли диплом на профессиональных курсах? (пятые)","Have a diploma in professional courses? (fifth)"
"284","rj721dac",184,"Код профессии по ISCO88 первой специальности профессиональных курсов","Code profession ISCO88 first specialty professional courses"
"285","rj721dbc",189,"Код профессии по ISCO88 второй специальности профессиональных курсов","Code profession ISCO88 second specialty professional courses"
"286","rj721dcc",194,"Код профессии по ISCO88 третьей специальности профессиональных курсов","Code profession ISCO88 third special professional courses"
"287","rj721ddc",199,"Код профессии по ISCO88 четвертой специальности профессиональных курсов","Code profession ISCO88 fourth special professional courses"
"288","rj721dec",204,"Код профессии по ISCO88 пятой специальности профессиональных курсов","Code profession ISCO88 fifth special professional courses"
"289","rj72.1e",186,"В каком году окончили/ушли с профессиональных курсов? (первые)","In what year finished / went to vocational courses? (first)"
"290","rj72.1e2",191,"В каком году окончили/ушли с профессиональных курсов? (вторые)","In what year finished / went to vocational courses? (second)"
"291","rj72.1e3",196,"В каком году окончили/ушли с профессиональных курсов? (третьи)","In what year finished / went to vocational courses? (third)"
"292","rj72.1e4",201,"В каком году окончили/ушли с профессиональных курсов? (четвертые)","In what year finished / went to vocational courses? (fourth)"
"293","rj72.1e5",206,"В каком году окончили/ушли с профессиональных курсов? (пятые)","In what year finished / went to vocational courses? (fifth)"
"294","rj72.2a",207,"Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования? (первое)","You have studied or are studying at vocational schools; trade schools; FZO without secondary education? (first)"
"295","rj72.2a2",214,"Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования? (второе)","You have studied or are studying at vocational schools; trade schools; FZO without secondary education? (second)"
"296","rj72.2b",208,"Сколько лет Вы проучились в ПТУ; ФЗУ; ФЗО без среднего образования? (первое)","How long have you been studying at vocational schools; trade schools; FZO without secondary education? (first)"
"297","rj72.2b2",215,"Сколько лет Вы проучились в ПТУ; ФЗУ; ФЗО без среднего образования? (второе)","How long have you been studying at vocational schools; trade schools; FZO without secondary education? (second)"
"298","rj72.2c",210,"Получили ли диплом в ПТУ; ФЗУ; ФЗО без среднего образования? (первое)","Have a diploma in vocational schools; trade schools; FZO without secondary education? (first)"
"299","rj72.2c2",217,"Получили ли диплом в ПТУ; ФЗУ; ФЗО без среднего образования? (второе)","Have a diploma in vocational schools; trade schools; FZO without secondary education? (second)"
"300","rj722dac",209,"Код профессии по ISCO88 первой специальности ПТУ без среднего образования","Code profession ISCO88 first specialty PTU without secondary education"
"301","rj722dbc",216,"Код профессии по ISCO88 второй специальности ПТУ без среднего образования","Code profession ISCO88 second specialty PTU without secondary education"
"302","rj72.2e",211,"В каком году окончили/ушли из ПТУ; ФЗУ; ФЗО без среднего образования? (первое)","In what year graduated / left the PTU; trade schools; FZO without secondary education? (first)"
"303","rj72.2e2",218,"В каком году окончили/ушли из ПТУ; ФЗУ; ФЗО без среднего образования? (второе)","In what year graduated / left the PTU; trade schools; FZO without secondary education? (second)"
"304","rj72.2h",212,"Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования очно? (первое)","You have studied or are studying at vocational schools; trade schools; FZO without a full-time secondary education? (first)"
"305","rj72.2h2",219,"Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования очно? (второе)","You have studied or are studying at vocational schools; trade schools; FZO without a full-time secondary education? (second)"
"306","rj72.2i",213,"Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первое)","You have studied or studying in the same locality; where they lived before the training? (first)"
"307","rj72.2i2",220,"Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второе)","You have studied or studying in the same locality; where they lived before the training? (second)"
"308","rj72.3a",221,"Вы учились или учитесь в ПТУ со средним образованием; техническом училище? (первое)","You have studied or are studying at vocational secondary education; technical school? (first)"
"309","rj72.3a2",228,"Вы учились или учитесь в ПТУ со средним образованием; техническом училище? (второе)","You have studied or are studying at vocational secondary education; technical school? (second)"
"310","rj72.3b",222,"Сколько лет Вы проучились в ПТУ со средним образованием; техническом училище? (первое)","How long have you been studying at vocational secondary education; technical school? (first)"
"311","rj72.3b2",229,"Сколько лет Вы проучились в ПТУ со средним образованием; техническом училище? (второе)","How long have you been studying at vocational secondary education; technical school? (second)"
"312","rj72.3c",224,"Получили ли диплом в ПТУ со средним образованием; техническом училище? (первое)","Have a diploma in vocational secondary education; technical school? (first)"
"313","rj72.3c2",231,"Получили ли диплом в ПТУ со средним образованием; техническом училище? (второе)","Have a diploma in vocational secondary education; technical school? (second)"
"314","rj723dac",223,"Код профессии по ISCO88 первой специальности ПТУ со средним образованием","Code profession ISCO88 first specialty vocational secondary education"
"315","rj723dbc",230,"Код профессии по ISCO88 второй специальности ПТУ со средним образованием","Code profession ISCO88 second specialty vocational secondary education"
"316","rj72.3e",225,"В каком году окончили/ушли из ПТУ со средним образованием; технического училища? (первое)","In what year graduated / left of vocational secondary education; technical school? (first)"
"317","rj72.3e2",232,"В каком году окончили/ушли из ПТУ со средним образованием; технического училища? (второе)","In what year graduated / left of vocational secondary education; technical school? (second)"
"318","rj72.3h",226,"Вы учились или учитесь в ПТУ со средним образованием; техническом училище очно? (первое)","You have studied or are studying at vocational secondary education; technical school full-time? (first)"
"319","rj72.3h2",233,"Вы учились или учитесь в ПТУ со средним образованием; техническом училище очно? (второе)","You have studied or are studying at vocational secondary education; technical school full-time? (second)"
"320","rj72.3i",227,"Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первое)","You have studied or studying in the same locality; where they lived before the training? (first)"
"321","rj72.3i2",234,"Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второе)","You have studied or studying in the same locality; where they lived before the training? (second)"
"322","rj72.4a",235,"Вы учились или учитесь в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (первый)","You have studied or are studying at college; health; music; Teachers; Art School? (first)"
"323","rj72.4a2",242,"Вы учились или учитесь в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (второй)","You have studied or are studying at college; health; music; Teachers; Art School? (second)"
"324","rj72.4b",236,"Сколько лет Вы проучились в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (первый)","How long have you been studying at college; health; music; Teachers; Art School? (first)"
"325","rj72.4b2",243,"Сколько лет Вы проучились в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (второй)","How long have you been studying at college; health; music; Teachers; Art School? (second)"
"326","rj72.4c",238,"Получили ли диплом в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (первый)","Have a diploma in college; health; music; Teachers; Art School? (first)"
"327","rj72.4c2",245,"Получили ли диплом в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (второй)","Have a diploma in college; health; music; Teachers; Art School? (second)"
"328","rj724dac",237,"Код профессии по ISCO88 первой специальности техникума; училища","Code profession ISCO88 first specialty college; school"
"329","rj724dbc",244,"Код профессии по ISCO88 второй специальности техникума; училища","Code profession ISCO88 second specialty college; school"
"330","rj72.4e",239,"В каком году окончили/ушли из техникума; медицинского; музыкального; педагогического; художественного училища? (первый)","In what year graduated / left the College; health; music; teacher; Art School? (first)"
"331","rj72.4e2",246,"В каком году окончили/ушли из техникума; медицинского; музыкального; педагогического; художественного училища? (второй)","In what year graduated / left the College; health; music; teacher; Art School? (second)"
"332","rj72.4h",240,"Вы учились или учитесь в техникуме; училище очно? (первый)?","You have studied or are studying at college; school full-time? (first)?"
"333","rj72.4h2",247,"Вы учились или учитесь в техникуме; училище очно? (второй)","You have studied or are studying at college; school full-time? (second)"
"334","rj72.4i",241,"Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первый)","You have studied or studying in the same locality; where they lived before the training? (first)"
"335","rj72.4i2",248,"Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второй)","You have studied or studying in the same locality; where they lived before the training? (second)"
"336","rj72.51",263,"Во время обучения в ВУЗе Вы (работали / работаете)?","While studying at the university you (work / work)?"
"337","rj72.5a",249,"Вы учились или учитесь в институте; университете; академии; включая магистратуру? (первый)","You have studied or are studying at the institute; University; Academy; including the Masters? (first)"
"338","rj72.5a2",256,"Вы учились или учитесь в институте; университете; академии; включая магистратуру? (второй)","You have studied or are studying at the institute; University; Academy; including the Masters? (second)"
"339","rj72.5b",250,"Сколько лет Вы проучились в институте; университете; академии? (первый)","How long have you been studying at the institute; University; Academy? (first)"
"340","rj72.5b2",257,"Сколько лет Вы проучились в институте; университете; академии; включая магистратуру? (второй)","How long have you been studying at the institute; University; Academy; including the Masters? (second)"
"341","rj72.5c",252,"Получили ли диплом в институте; университете; академии; включая магистратуру? (первый)","Have a diploma at the Institute; University; Academy; including the Masters? (first)"
"342","rj72.5c2",259,"Получили ли диплом в институте; университете; академии; включая магистратуру? (второй)","Have a diploma at the Institute; University; Academy; including the Masters? (second)"
"343","rj725dac",251,"Код профессии по ISCO88 первой специальности института; университета; академии; включая магистратуру","Code profession ISCO88 first specialty institute; University; Academy; including Masters"
"344","rj725dbc",258,"Код профессии по ISCO88 второй специальности института; университета; академии; включая магистратуру","Code profession ISCO88 second specialty institute; University; Academy; including Masters"
"345","rj72.5e",253,"В каком году окончили/ушли из института; университета; академии; включая магистратуру? (первый)","In what year graduated / left the institute; University; Academy; including the Masters? (first)"
"346","rj72.5e2",260,"В каком году окончили/ушли из института; университета; академии; включая магистратуру? (второй)","In what year graduated / left the institute; University; Academy; including the Masters? (second)"
"347","rj72.5h",254,"Вы учились или учитесь в институте; университете; академии; включая магистратуру; очно? (первый)","You have studied or are studying at the institute; University; Academy; including the magistracy; full-time? (first)"
"348","rj72.5h2",261,"Вы учились или учитесь в институте; университете; академии; включая магистратуру; очно? (второй)","You have studied or are studying at the institute; University; Academy; including the magistracy; full-time? (second)"
"349","rj72.5i",255,"Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первый)","You have studied or studying in the same locality; where they lived before the training? (first)"
"350","rj72.5i2",262,"Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второй)","You have studied or studying in the same locality; where they lived before the training? (second)"
"351","rj72.6a",264,"Вы учились или учитесь в аспирантуре; ординатуре? (первая)","You have studied or studying in graduate school; residency? (first)"
"352","rj72.6a2",271,"Вы учились или учитесь в аспирантуре; ординатуре? (вторая)","You have studied or studying in graduate school; residency? (second)"
"353","rj72.6b",265,"Сколько лет Вы проучились в аспирантуре; ординатуре? (первая)","How long have you been studying in graduate school; residency? (first)"
"354","rj72.6b2",272,"Сколько лет Вы проучились в аспирантуре; ординатуре? (вторая)","How long have you been studying in graduate school; residency? (second)"
"355","rj72.6c",267,"Получили ли диплом аспирантуре; ординатуре? (первая)","Did postgraduate diploma; residency? (first)"
"356","rj72.6c2",274,"Получили ли диплом аспирантуре; ординатуре? (вторая)","Did postgraduate diploma; residency? (second)"
"357","rj726dac",266,"Код профессии по ISCO88 первой специальности аспирантуры; ординатуры","Code profession ISCO88 first postgraduate specialty; residency"
"358","rj726dbc",273,"Код профессии по ISCO88 второй специальности аспирантуры","Code profession ISCO88 second specialty postgraduate"
"359","rj72.6e",268,"В каком году окончили/ушли из аспирантуры; ординатуры? (первая)","In what year finished / gone from graduate school; residency? (first)"
"360","rj72.6e2",275,"В каком году окончили/ушли из аспирантуры; ординатуры? (вторая)","In what year finished / gone from graduate school; residency? (second)"
"361","rj72.6h",269,"Вы учились или учитесь в аспирантуре; ординатуре очно? (первая)","You have studied or studying in graduate school; residency in person? (first)"
"362","rj72.6h2",276,"Вы учились или учитесь в аспирантуре; ординатуре очно? (вторая)","You have studied or studying in graduate school; residency in person? (second)"
"363","rj72.6i",270,"Вы учитесь в том же населенном пункте; где проживали до начала обучения? (первая)","You learn in the same locality; where they lived before the training? (first)"
"364","rj72.6i2",277,"Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (вторая)","You have studied or studying in the same locality; where they lived before the training? (second)"
"365","rj72a.1",288,"Вы собираетесь в течение ближайших трех лет учиться: на профессиональных курсах?","You are going for the next three years to learn: in professional courses?"
"366","rj72a.2",289,"Вы собираетесь в течение ближайших трех лет учиться: в техникуме?","You are going for the next three years to learn: in college?"
"367","rj72a.3",290,"Вы собираетесь в течение ближайших трех лет учиться: в ВУЗе; в том числе в магистратуре; аспирантуре; докторантуре?","You are going for the next three years to learn: at the university; including a master's degree; graduate; doctorate?"
"368","rj73",349,"Вы сейчас получаете пенсию? Не учитывайте; пожалуйста; пенсии на детей","You now get a pension? Do not count; please; pension for children"
"369","rj73.1am",361,"Когда именно Вам была назначена пенсия; которую Вы сейчас получаете? Вспомните; пожалуйста; месяц","Exactly when you were granted a pension; Now you get? Remember; please; month"
"370","rj73.1ay",362,"Когда именно Вам была назначена пенсия; которую Вы сейчас получаете? Вспомните; пожалуйста; год","Exactly when you were granted a pension; Now you get? Remember; please; year"
"371","rj73.3m",351,"Сколько полных лет и месяцев составлял Ваш общий трудовой стаж; то есть стаж; по которому рассчитывалась Ваша пенсия; когда Вы выходили на пенсию? (МЕСЯЦЕВ)","How many full years and months was your total seniority; ie seniority; is used to calculate your pension; when you retire? (Months)"
"372","rj73.3y",350,"Сколько полных лет и месяцев составлял Ваш общий трудовой стаж; то есть стаж; по которому рассчитывалась Ваша пенсия; когда Вы выходили на пенсию? Не включайте в него время учебы на дневном отделении ВУЗа или техникума (ЛЕТ)","How many full years and months was your total seniority; ie seniority; is used to calculate your pension; when you retire? Do not turn it while studying full time at university or college (s)"
"373","rj73.4m",354,"Сколько полных лет и месяцев Вы отработали уже после выхода на пенсию? (МЕСЯЦЕВ)","How many full years and months you have worked after retirement? (Months)"
"374","rj73.4y",353,"Сколько полных лет и месяцев Вы отработали уже после выхода на пенсию? (ЛЕТ)","How many full years and months you have worked after retirement? (S)"
"375","rj74.1a",355,"Какую именно пенсию Вы получаете сейчас? *В 2013 году  в ответе 4 слова СОЦИАЛЬНУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ заменили на ГОСУДАРСТВЕННУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ","What kind of retirement you get now? * In 2013, in response 4, the words ""social pensions to disabled citizens"" was replaced with ""public pensions to disabled citizens"""
"376","rj74.1b",356,"Какую именно пенсию Вы получаете сейчас? *В 2013 году  в ответе 4 слова СОЦИАЛЬНУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ заменили на ГОСУДАРСТВЕННУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ","What kind of retirement you get now? * In 2013, in response 4, the words ""social pensions to disabled citizens"" was replaced with ""public pensions to disabled citizens"""
"377","rj74.1c",357,"Какую именно пенсию Вы получаете сейчас? *В 2013 году  в ответе 4 слова СОЦИАЛЬНУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ заменили на ГОСУДАРСТВЕННУЮ ПЕНСИЮ НЕТРУДОСПОСОБНЫМ ГРАЖДАНАМ","What kind of retirement you get now? * In 2013, in response 4, the words ""social pensions to disabled citizens"" was replaced with ""public pensions to disabled citizens"""
"378","rj74.1s",358,"Какую именно другую пенсию Вы получаете?","What kind of retirement you get another?"
"379","rj74.22",359,"Вы планируете переход с этого вида трудовой пенсии на другой вид трудовой пенсии?","You plan to transition to this type of labor pension to another type of labor pension?"
"380","rj74.23",360,"На какую трудовую пенсию Вы собираетесь перейти?","What kind of retirement pension you are going to go?"
"381","rj75",363,"Вы получали пенсию в течение последних 30 дней на руки или на сберкнижку?","Did you receive a pension for the last 30 days on your hands or savings account?"
"382","rj77",366,"Есть ли работа у респондента?","Does it work the respondent?"
"383","rj78",367,"Вы работали когда-нибудь?","You ever worked?"
"384","rj8",88,"Сколько часов Вы фактически отработали по основному месту работы в течение последних 30 дней?","How many hours you actually worked on the main job in the last 30 days?"
"385","rj80.1",372,"По какой основной причине Вы перестали работать на Вашей последней работе?","For some the main reason you stopped working at your last job?"
"386","rj80.2c",373,"Код профессии по ISCO88 последней работы до ухода","Code profession ISCO88 last job before retiring"
"387","rj80a",370,"В каком году Вы ушли с Вашей последней работы; перестали работать?","In what year did you leave your last job; stopped working?"
"388","rj80b",371,"В каком месяце Вы ушли с Вашей последней работы; перестали работать?","In what month did you leave your last job; stopped working?"
"389","rj81",380,"Хотели бы Вы найти (другую) работу?","Would you like to find (another) job?"
"390","rj8.1",89,"Скажите; пожалуйста; Вы работали по основной работе дома в течение последних 30 дней?","tell me; please; You worked on the main job at home in the last 30 days?"
"391","rj81.1",382,"Сколько времени Вы ищете (другую) работу?","How much time you are looking for (another) job?"
