,year,file,var,english,russian
506,2008,FN,CHDET,The actual number of children under 16 years,Фактическое число детей до 16 лет
507,2008,FN,CHISD,Grouping by the number of children under 16 in the household (5 groups),Группировка по числу детей до 16 лет в домохозяйстве  (5 групп)
508,2008,FN,DOXODSN,cash income,Денежный доход 
509,2008,FN,RASRESS,disposable resources,Располагаемые ресурсы 
510,2008,FN,DECILR,Deciles of per capita disposable resources,Дециль по среднедушевым располагаемым ресурсам
511,2008,FN,RASSQ,Final consumption expenditure,Расходы на конечное потребление 
512,2008,FN,POTRAS,consumer spending,Потребительские расходы
513,2008,FN,PROD,Expenditure on food,Расходы на покупку продуктов питания
514,2008,FN,PITRES,Spending on food away from home,Расходы на питание вне дома
515,2008,FN,ALK,Expenditures for the purchase of alcoholic beverages,Расходы на покупку алкогольных напитков
516,2008,FN,NEPROD,Expenditures for the purchase of non-food goods,Расходы на покупку непродовольственных товаров
517,2008,FN,USLUG,'Fees,Расходы на оплату услуг
518,2008,FN,NALOG,"Taxes, fees, charges","Налоги, сборы, платежи"
519,2008,FN,DRRAS,other costs,Другие расходы
520,2008,FN,DENRAS,cash expenditures,Денежные расходы
521,2008,FN,FAKT,Increase in financial assets,Прирост финансовых активов
522,2008,FN,NATDOX,receipts in kind,Натуральные поступления
523,2008,FN,R1GV131,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет"
524,2008,FN,R1GV132,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет"
525,2008,FN,R1GV133,"Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней"
526,2008,FN,R1GV134,"Types of benefits, subsidies or compensation, relying household members: housing subsidies","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии"
527,2008,FN,R1GV135,"Types of benefits, subsidies or compensation, relying household members: social benefits to the poor","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: социальное пособие малоимущим"
528,2008,FN,R1GV136,"Types of benefits, subsidies or compensation, relying household members: other benefits or subsidies to certain categories of citizens","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: другие пособия или субсидии отдельным категориям граждан"
529,2008,FN,KVZV,weighting factor,Коэффициент взвешивания
530,2008,FQ,PER,development period,Период разработки
531,2008,FQ,TER,cipher territory,Шифр территории
532,2008,FQ,MEST,Type of settlement,Тип населенного пункта
533,2008,FQ,BUD,number budget,Номер бюджета
534,2008,FQ,AP1,The cost of buying baked goods and cereals,Расходы на покупку хлебобулочных изделий и крупы
535,2008,FQ,AP2,The cost of buying meat and meat products,Расходы на покупку мяса и мясопродуктов
536,2008,FQ,AP3,The cost of buying fish and seafood,Расходы на покупку рыбы и морепродуктов
537,2008,FQ,AP4,"Expenditures for the purchase of dairy products, cheese","Расходы на покупку молочных изделий, сыров"
538,2008,FQ,AP5,The cost of buying eggs,Расходы на покупку яиц
539,2008,FQ,AP6,The cost of buying oil and fats,Расходы на покупку масла и жиров
540,2008,FQ,AP7,The cost of buying fruit,Расходы на покупку фруктов
541,2008,FQ,AP8,The cost of buying vegetables,Расходы на покупку овощей
542,2008,FQ,AP9,The cost of purchasing potatoes,Расходы на покупку картофеля
543,2008,FQ,AP10,Expenditures for the purchase of sugar and confectionery products,Расходы на покупку сахара и кондитерских изделий
544,2008,FQ,AP11,Expenditures for the purchase of other foods,Расходы на покупку других продуктов питания
545,2008,FQ,AP12,Expenditures for the purchase of soft drinks,Расходы на покупку безалкогольных напитков
546,2008,FQ,AP13,The cost of natural receipts of bakery products and cereals,Стоимость натуральных поступлений хлебобулочных изделий и крупы
547,2008,FQ,AP14,The cost of natural receipts of meat and meat products,Стоимость натуральных поступлений мяса и мясопродуктов
548,2008,FQ,AP15,The cost of natural receipts of fish and seafood,Стоимость натуральных поступлений рыбы и морепродуктов
549,2008,FQ,AP16,"The cost of natural receipts dairy products, cheese","Стоимость натуральных поступлений молочных изделий, сыров"
550,2008,FQ,AP17,The cost of natural receipts eggs,Стоимость натуральных поступлений яиц
551,2008,FQ,AP18,The cost of natural oils and fats proceeds,Стоимость натуральных поступлений масла и жиров
552,2008,FQ,AP19,The cost of natural receipts fruit,Стоимость натуральных поступлений фруктов
553,2008,FQ,AP20,The cost of natural receipts vegetables,Стоимость натуральных поступлений овощей
554,2008,FQ,AP21,The cost of natural receipts potatoes,Стоимость натуральных поступлений картофеля
555,2008,FQ,AP22,The cost of natural receipts sugar and confectionery products,Стоимость натуральных поступлений сахара и кондитерских изделий
556,2008,FQ,AP23,The cost of purchasing tobacco products,Расходы на покупку табачных изделий
557,2008,FQ,AP24,Expenditures for the purchase of clothing and footwear,Расходы на покупку одежды и обуви
558,2008,FQ,AP25,"Costs for housing services, water, electricity, gas and other fuels","Расходы на оплату жилищных услуг, воды, электроэнергии, газа и другого топлива"
559,2008,FQ,AP26,"Expenditures for the purchase of household items, household appliances and daily care of the house","Расходы на покупку предметов домашнего обихода, бытовой техники и на повседневный уход за домом"
560,2008,FQ,AP27,Health expenditures,Расходы на здравоохранение
561,2008,FQ,AP29,Freight costs,Расходы на транспорт
562,2008,FQ,AP30,Communication Costs,Расходы на связь
563,2008,FQ,AP31,Spending on recreation and cultural activities,Расходы на организацию отдыха и культурные мероприятия
564,2008,FQ,AP32,Expenditure on education,Расходы на образование
565,2008,FL,PER,development period,Период разработки
566,2008,FL,TER,cipher territory,Шифр территории
567,2008,FL,MEST,Type of settlement,Тип населенного пункта
568,2008,FL,BUD,number budget,Номер бюджета
569,2008,FL,LICO,Code household member (s),Код члена домохозяйства (лица)
570,2008,FL,POL,Paul,Пол
571,2008,FL,R1AV2,The number of complete years,Число исполнившихся лет
572,2008,FL,R1AV10,education Level,Уровень образования
573,2008,FL,R1AV11,Study now,Учеба в настоящее время
574,2008,FL,R1BV1,Having a job in the last 3 months,Наличие работы за последние 3 месяца
575,2008,FL,RABN,Number of working weeks,Число отработанных недель
576,2008,FL,ISKN,The number of weeks of unemployment and search,Число недель отсутствия работы и ее поиска
577,2008,FL,OTDN,The number of weeks of unemployment and its refusal to search,Число недель отсутствия работы и отказа от ее поиска
578,2008,FL,R1BV7,Status in employment in the main job,Статус в занятости по основному месту работы
579,2008,FL,R1BV16,The presence of unemployment benefits,Наличие пособия по безработице
580,2008,FL,R1V17,Category characterizing the position of the last 3 months,"Категория, характеризующая положение за последние 3 месяца"
581,2008,FL,R1GV1,Entitlement to a pension,Наличие права на получении пенсии
582,2008,FL,R1GV21,View granted pension,Вид назначенной пенсии
583,2008,FL,R1GV22,View second granted pension,Вид второй назначенной пенсии
584,2008,FL,R1EV1,Type of educational institution visited,Тип посещаемого образовательного учреждения
585,2008,FL,R1EV4,Ownership attend educational institutions,Форма собственности посещаемого образовательного учреждения
586,2008,FL,R1EV5,Paid or free training,Платное или бесплатное обучение
587,2008,FL,R1EV12,Does the child attend preschool educational institution,Посещает ли ребенок дошкольное образовательное учреждение
588,2008,FL,R1EV13,Ownership attend preschool,Форма собственности посещаемого дошкольного учреждения
589,2008,FN,PER,development period,Период разработки
590,2008,FN,TER,cipher territory,Шифр территории
591,2008,FN,MEST,Type of settlement,Тип населенного пункта
592,2008,FN,BUD,number budget,Номер бюджета
593,2008,FN,R1VV11,Code of head of household,Код главы домохозяйства
594,2008,FN,R1VV12,Code spouse (s) of the household head,Код супруга (и) главы домохозяйства
595,2008,FN,R1VV31,Ownership of the enterprise that is running the household head,"Форма собственности предприятия, на котором работает глава домохозяйства"
596,2008,FN,R1VV32,Ownership of the enterprise that is running the spouse (s) of the household head,"Форма собственности предприятия, на котором работает супруг(а) главы домохозяйства"
597,2008,FN,R1VV41,The main activity of the company in the main job of head of household,Основной вид деятельности предприятия по основному месту работы главы домохозяйства
598,2008,FN,R1VV42,The main activity of the company at the principal place of spouse (s) of the household head,Основной вид деятельности предприятия по основному месту работы супруга(и) главы домохозяйства
599,2008,FN,R1VV51,Occupation of head of household on the main job,Профессия  главы домохозяйства по основному месту работы
600,2008,FN,R1VV52,Occupation of spouse (s) of the household head in the main job,Профессия супруга(и) главы домохозяйства по основному месту работы
601,2008,FN,R2V1,The main source of livelihood of the household,Основной источник средств к существованию домохозяйства
602,2009,FC,PER,development period,Период разработки
603,2009,FC,TER,cipher territory,Шифр территории
604,2009,FC,MEST,Type of settlement,Тип населенного пункта
605,2009,FC,BUD,number budget,Номер бюджета
606,2009,FC,CHLICN,The number of persons in the household cash,Число наличных лиц в домохозяйстве
607,2009,FC,CHISL,Grouped according to the number of persons per household cash (5 groups),Группировка по числу наличных лиц в домохозяйстве  (5 групп)
608,2009,FC,CHDET,The actual number of children under 16 years,Фактическое число детей до 16 лет
609,2009,FC,CHISD,Grouping by the number of children under 16 in the household (5 groups),Группировка по числу детей до 16 лет в домохозяйстве  (5 групп)
610,2009,FC,DOXODSN,cash income,Денежный доход 
611,2009,FC,RASRESS,disposable resources,Располагаемые ресурсы 
612,2009,FC,DECILR,Deciles of per capita disposable resources,Дециль по среднедушевым располагаемым ресурсам
613,2009,FC,RASSQ,Final consumption expenditure,Расходы на конечное потребление 
614,2009,FC,POTRAS,consumer spending,Потребительские расходы
615,2009,FC,PROD,Expenditure on food,Расходы на покупку продуктов питания
616,2009,FC,PITRES,Spending on food away from home,Расходы на питание вне дома
617,2009,FC,ALK,Expenditures for the purchase of alcoholic beverages,Расходы на покупку алкогольных напитков
618,2009,FC,NEPROD,Expenditures for the purchase of non-food goods,Расходы на покупку непродовольственных товаров
619,2009,FC,USLUG,'Fees,Расходы на оплату услуг
620,2009,FC,NALOG,"Taxes, fees, charges","Налоги, сборы, платежи"
621,2009,FC,DRRAS,other costs,Другие расходы
622,2009,FC,DENRAS,cash expenditures,Денежные расходы
623,2009,FC,FAKT,Increase in financial assets,Прирост финансовых активов
624,2009,FC,NATDOX,receipts in kind,Натуральные поступления
625,2009,FC,R1GV131,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет"
626,2009,FC,R1GV132,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет"
627,2009,FC,R1GV133,"Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней"
628,2009,FC,R1GV134,"Types of benefits, subsidies or compensation, relying household members: housing subsidies","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии"
629,2009,FC,R1GV135,"Types of benefits, subsidies or compensation, relying household members: social benefits to the poor","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: социальное пособие малоимущим"
630,2009,FC,R1GV136,"Types of benefits, subsidies or compensation, relying household members: other benefits or subsidies to certain categories of citizens","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: другие пособия или субсидии отдельным категориям граждан"
631,2009,FC,KVZV,weighting factor,Коэффициент взвешивания
632,2009,FQ,PER,development period,Период разработки
633,2009,FQ,TER,cipher territory,Шифр территории
634,2009,FQ,MEST,Type of settlement,Тип населенного пункта
635,2009,FQ,BUD,number budget,Номер бюджета
636,2009,FQ,AP1,The cost of buying baked goods and cereals,Расходы на покупку хлебобулочных изделий и крупы
637,2009,FQ,AP2,The cost of buying meat and meat products,Расходы на покупку мяса и мясопродуктов
638,2009,FQ,AP3,The cost of buying fish and seafood,Расходы на покупку рыбы и морепродуктов
639,2009,FQ,AP4,"Expenditures for the purchase of dairy products, cheese","Расходы на покупку молочных изделий, сыров"
640,2009,FQ,AP5,The cost of buying eggs,Расходы на покупку яиц
641,2009,FQ,AP6,The cost of buying oil and fats,Расходы на покупку масла и жиров
642,2009,FQ,AP7,The cost of buying fruit,Расходы на покупку фруктов
643,2009,FQ,AP8,The cost of buying vegetables,Расходы на покупку овощей
644,2009,FQ,AP9,The cost of purchasing potatoes,Расходы на покупку картофеля
645,2009,FQ,AP10,Expenditures for the purchase of sugar and confectionery products,Расходы на покупку сахара и кондитерских изделий
646,2009,FQ,AP11,Expenditures for the purchase of other foods,Расходы на покупку других продуктов питания
647,2009,FQ,AP12,Expenditures for the purchase of soft drinks,Расходы на покупку безалкогольных напитков
648,2009,FQ,AP13,The cost of natural receipts of bakery products and cereals,Стоимость натуральных поступлений хлебобулочных изделий и крупы
649,2009,FQ,AP14,The cost of natural receipts of meat and meat products,Стоимость натуральных поступлений мяса и мясопродуктов
650,2009,FQ,AP15,The cost of natural receipts of fish and seafood,Стоимость натуральных поступлений рыбы и морепродуктов
651,2009,FQ,AP16,"The cost of natural receipts dairy products, cheese","Стоимость натуральных поступлений молочных изделий, сыров"
652,2009,FQ,AP17,The cost of natural receipts eggs,Стоимость натуральных поступлений яиц
653,2009,FQ,AP18,The cost of natural oils and fats proceeds,Стоимость натуральных поступлений масла и жиров
654,2009,FQ,AP19,The cost of natural receipts fruit,Стоимость натуральных поступлений фруктов
655,2009,FQ,AP20,The cost of natural receipts vegetables,Стоимость натуральных поступлений овощей
656,2009,FQ,AP21,The cost of natural receipts potatoes,Стоимость натуральных поступлений картофеля
657,2009,FQ,AP22,The cost of natural receipts sugar and confectionery products,Стоимость натуральных поступлений сахара и кондитерских изделий
658,2009,FQ,AP23,The cost of purchasing tobacco products,Расходы на покупку табачных изделий
659,2009,FQ,AP24,Expenditures for the purchase of clothing and footwear,Расходы на покупку одежды и обуви
660,2009,FQ,AP25,"Costs for housing services, water, electricity, gas and other fuels","Расходы на оплату жилищных услуг, воды, электроэнергии, газа и другого топлива"
661,2009,FQ,AP26,"Expenditures for the purchase of household items, household appliances and daily care of the house","Расходы на покупку предметов домашнего обихода, бытовой техники и на повседневный уход за домом"
662,2009,FQ,AP27,Health expenditures,Расходы на здравоохранение
663,2009,FQ,AP29,Freight costs,Расходы на транспорт
664,2009,FQ,AP30,Communication Costs,Расходы на связь
665,2009,FQ,AP31,Spending on recreation and cultural activities,Расходы на организацию отдыха и культурные мероприятия
666,2009,FQ,AP32,Expenditure on education,Расходы на образование
667,2009,FL,PER,development period,Период разработки
668,2009,FL,TER,cipher territory,Шифр территории
669,2009,FL,MEST,Type of settlement,Тип населенного пункта
670,2009,FL,BUD,number budget,Номер бюджета
671,2009,FL,LICO,Code household member (s),Код члена домохозяйства (лица)
672,2009,FL,POL,Paul,Пол
673,2009,FL,R1AV2,The number of complete years,Число исполнившихся лет
674,2009,FL,R1AV10,education Level,Уровень образования
675,2009,FL,R1AV11,Study now,Учеба в настоящее время
676,2009,FL,R1BV1,Having a job in the last 3 months,Наличие работы за последние 3 месяца
677,2009,FL,RABN,Number of working weeks,Число отработанных недель
678,2009,FL,ISKN,The number of weeks of unemployment and search,Число недель отсутствия работы и ее поиска
679,2009,FL,OTDN,The number of weeks of unemployment and its refusal to search,Число недель отсутствия работы и отказа от ее поиска
680,2009,FL,R1BV7,Status in employment in the main job,Статус в занятости по основному месту работы
681,2009,FL,R1BV16,The presence of unemployment benefits,Наличие пособия по безработице
682,2009,FL,R1V17,Category characterizing the position of the last 3 months,"Категория, характеризующая положение за последние 3 месяца"
683,2009,FL,R1GV1,Entitlement to a pension,Наличие права на получении пенсии
684,2009,FL,R1GV21,View granted pension,Вид назначенной пенсии
685,2009,FL,R1GV22,View second granted pension,Вид второй назначенной пенсии
686,2009,FL,R1EV1,Type of educational institution visited,Тип посещаемого образовательного учреждения
687,2009,FL,R1EV4,Ownership attend educational institutions,Форма собственности посещаемого образовательного учреждения
688,2009,FL,R1EV5,Paid or free training,Платное или бесплатное обучение
689,2009,FL,R1EV12,Does the child attend preschool educational institution,Посещает ли ребенок дошкольное образовательное учреждение
690,2009,FL,R1EV13,Ownership attend preschool,Форма собственности посещаемого дошкольного учреждения
691,2009,FN,PER,development period,Период разработки
692,2009,FN,TER,cipher territory,Шифр территории
693,2009,FN,MEST,Type of settlement,Тип населенного пункта
694,2009,FN,BUD,number budget,Номер бюджета
695,2009,FN,R1VV11,Code of head of household,Код главы домохозяйства
696,2009,FN,R1VV12,Code spouse (s) of the household head,Код супруга (и) главы домохозяйства
697,2009,FN,R1VV31,Ownership of the enterprise that is running the household head,"Форма собственности предприятия, на котором работает глава домохозяйства"
698,2009,FN,R1VV32,Ownership of the enterprise that is running the spouse (s) of the household head,"Форма собственности предприятия, на котором работает супруг(а) главы домохозяйства"
699,2009,FN,R1VV41,The main activity of the company in the main job of head of household,Основной вид деятельности предприятия по основному месту работы главы домохозяйства
700,2009,FN,R1VV42,The main activity of the company at the principal place of spouse (s) of the household head,Основной вид деятельности предприятия по основному месту работы супруга(и) главы домохозяйства
701,2009,FN,R1VV51,Occupation of head of household on the main job,Профессия  главы домохозяйства по основному месту работы
702,2009,FN,R1VV52,Occupation of spouse (s) of the household head in the main job,Профессия супруга(и) главы домохозяйства по основному месту работы
703,2009,FN,R2V1,The main source of livelihood of the household,Основной источник средств к существованию домохозяйства
704,2010,FC,PER,development period,Период разработки
705,2010,FC,TER,cipher territory,Шифр территории
706,2010,FC,MEST,Type of settlement,Тип населенного пункта
707,2010,FC,BUD,number budget,Номер бюджета
708,2010,FC,CHLICO,Number of persons in the household,Число лиц в домохозяйстве
709,2010,FC,CHLICN,The number of persons in the household cash,Число наличных лиц в домохозяйстве
710,2010,FC,CHISL,Grouped according to the number of persons per household cash (5 groups),Группировка по числу наличных лиц в домохозяйстве  (5 групп)
711,2010,FC,CHDET,The actual number of children under 16 years,Фактическое число детей до 16 лет
712,2010,FC,CHISD,Grouping by the number of children under 16 in the household (5 groups),Группировка по числу детей до 16 лет в домохозяйстве  (5 групп)
713,2010,FC,CLDP,The number of man-days supply,Число человеко-дней питания
714,2010,FC,DOXODSN,cash income,Денежный доход 
715,2010,FC,DOXODN,Per capita income,Среднедушевой денежный доход
716,2010,FC,RASRESS,disposable resources,Располагаемые ресурсы 
717,2010,FC,RASRES,Per capita disposable resources,Среднедушевые располагаемые ресурсы
718,2010,FC,DECILR,Deciles of per capita disposable resources,Дециль по среднедушевым располагаемым ресурсам
719,2010,FC,RASSQ,Final consumption expenditure,Расход на конечное потребление 
720,2010,FC,RASQ,Per capita expenditures on final consumption,Среднедушевой расход на конечное потребление
721,2010,FC,POTRAS,consumer spending,Потребительские расходы
722,2010,FC,PROD,Expenditure on food,Расходы на покупку продуктов питания
723,2010,FC,PITRES,Spending on food away from home,Расходы на питание вне дома
724,2010,FC,ALK,Expenditures for the purchase of alcoholic beverages,Расходы на покупку алкогольных напитков
725,2010,FC,NEPROD,Expenditures for the purchase of non-food goods,Расходы на покупку непродовольственных товаров
726,2010,FC,USLUG,'Fees,Расходы на оплату услуг
727,2010,FC,PROMPOT,Expenditure on intermediate consumption and gross capital formation,Расходы на промежуточное потребление и валовое накопление
728,2010,FC,NALOG,"Taxes, fees, charges","Налоги, сборы, платежи"
729,2010,FC,DRRAS,other costs,Другие расходы
730,2010,FC,DENRAS,cash expenditures,Денежные расходы
731,2010,FC,FAKT,Increase in financial assets,Прирост финансовых активов
732,2010,FC,NATDOX,receipts in kind,Натуральные поступления
733,2010,FC,R1GV131,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет"
734,2010,FC,R1GV132,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет"
735,2010,FC,R1GV133,"Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней"
736,2010,FC,R1GV134,"Types of benefits, subsidies or compensation, relying household members: housing subsidies","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии"
737,2010,FC,R1GV135,"Types of benefits, subsidies or compensation, relying household members: social benefits to the poor","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: социальное пособие малоимущим"
738,2010,FC,R1GV136,"Types of benefits, subsidies or compensation, relying household members: other benefits or subsidies to certain categories of citizens","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: другие пособия или субсидии отдельным категориям граждан"
739,2010,FC,R1GV131,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет"
740,2010,FC,R1GV132,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет"
741,2010,FC,R1GV133,"Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней"
742,2010,FC,R1GV134,"Types of benefits, subsidies or compensation, relying household members: housing subsidies","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии"
743,2010,FC,R1GV135,"Types of benefits, subsidies or compensation, relying household members: social benefits to the poor","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: социальное пособие малоимущим"
744,2010,FC,R1GV136,"Types of benefits, subsidies or compensation, relying household members: other benefits or subsidies to certain categories of citizens","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: другие пособия или субсидии отдельным категориям граждан"
745,2010,FC,R1GV131,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет"
746,2010,FC,R1GV132,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет"
747,2010,FC,R1GV133,"Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней"
748,2010,FC,R1GV134,"Types of benefits, subsidies or compensation, relying household members: housing subsidies","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии"
749,2010,FC,R1GV135,"Types of benefits, subsidies or compensation, relying household members: social benefits to the poor","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: социальное пособие малоимущим"
750,2010,FC,R1GV136,"Types of benefits, subsidies or compensation, relying household members: other benefits or subsidies to certain categories of citizens","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: другие пособия или субсидии отдельным категориям граждан"
751,2010,FC,R1GV131,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет"
752,2010,FC,R1GV132,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет"
753,2010,FC,R1GV133,"Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней"
754,2010,FC,R1GV134,"Types of benefits, subsidies or compensation, relying household members: housing subsidies","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии"
755,2010,FC,KVZV,weighting factor,Коэффициент взвешивания
756,2010,FL,PER,development period,Период разработки
757,2010,FL,TER,cipher territory,Шифр территории
758,2010,FL,MEST,Type of settlement,Тип населенного пункта
759,2010,FL,BUD,number budget,Номер бюджета
760,2010,FL,LICO,Code household member (s),Код члена домохозяйства (лица)
761,2010,FL,POL,Paul,Пол
762,2010,FL,R1АV2,The number of complete years,Число исполнившихся лет
763,2010,FL,R1АV3,"Towards members of d / s, write the first","Отношение к члену д/х, записанному первым"
764,2010,FL,R1АV4,Individual code of the mother (father),Индивидуальный код матери (отца)
765,2010,FL,R1АV5,The number of days of absence for the last 3 months,Число дней отсутствия за последние 3 месяца
766,2010,FL,R1АV6,The reason for the absence of the last 3 months,Причина  отсутствия за последние 3 месяца
767,2010,FL,R1АV7,marital status,Семейное положение
768,2010,FL,R1АV10,education Level,Уровень образования
769,2010,FL,R1ВV1,Having a job in the last 3 months,Наличие работы за последние 3 месяца
770,2010,FL,R1ВV2,The reason for absence from work,Причина отсутствия на работе
771,2010,FL,R1BV3,The reason for lack of work,Причина отсутствия работы
772,2010,FL,RABN,Number of working weeks,Число отработанных недель
773,2010,FL,ISKN,The number of weeks worked and was looking for work,Число недель не работал и искал работу
774,2010,FL,OTDN,The number of weeks worked and not looking for work,Число недель не работал и не искал работу
775,2010,FL,R1ВV7,Status on the main job,Статус по основному месту работы
776,2010,FL,R1BV8,An additional gainful employment,Наличие дополнительного доходного занятия
777,2010,FL,R1BV9,Status under the additional workplace,Статус по дополнительному месту работы
778,2010,FL,R1BV10,The number of weeks of employment for the extra work over the last 3 months,Число недель занятости на дополнительной работе за последние 3 месяца
779,2010,FL,R1BV111,"Symptom main finding work there, where the person","Признак нахождения основной работы там, где проживает данное лицо"
780,2010,FL,R1BV112,Sign of finding employment in another region,Признак нахождения основной работы в другом регионе
781,2010,FL,R1BV12,Region code finding basic work,Код региона нахождения основной работы 
782,2010,FL,R1BV15,Availability of registration with the Employment Service as unemployed,Наличие регистрации в Службе занятости как безработный 
783,2010,FL,R1BV16,The presence of unemployment benefits,Наличие пособия по  безработице
784,2010,FL,R1V17,Category characterizing the position of the last 3 months,"Категория, характеризующая положение за последние 3 месяца  "
785,2010,FL,R1BV18,Evidence of pension insurance,Наличие свидетельства пенсионного страхования 
786,2010,FL,R1BV19,Availability of information on the amounts listed in the Pension Fund,Наличие информации о перечисленных суммах в Пенсионный фонд 
787,2010,FL,R1GV1,Entitlement to a pension,Наличие права на получении пенсии
788,2010,FL,R1GV21,The first type of pension,1-ый вид пенсии
789,2010,FL,R1GV22,The second type of pension,2-ой вид  пенсии
790,2010,FL,R1GV3,The presence of supplementary pension,Наличие дополнительного пенсионного обеспечения
791,2010,FL,R1GV41,Source supplementary pension from the administration,Источник дополнительного пенсионного обеспечения от администрации
792,2010,FL,R1GV42,Source supplementary pension from the private pension funds,Источник дополнительного пенсионного обеспечения от негосударственных пенсионных фондов
793,2010,FL,R1GV5,The amount of pensions paid in the last 3 months (subject to supplementary pension),"Сумма пенсии, выплаченная за последние 3 месяца  (с учетом дополнительного пенсионного обеспечения)"
794,2010,FL,R1GV61,First code to discounts on the right to receive state social support,1-ый код льготной категории на право  получения государственной социальной поддержки
795,2010,FL,R1GV62,Second code to discounts on the right to receive state social support,2-ой код льготной категории на право  получения государственной социальной поддержки
796,2010,FL,R1GV63,Does not apply to any of the categories B.6,Не относится ни к одной из категории в.6
797,2010,FL,R1GV7,The fact of using privileges during the last three months,Факт пользования льготами в течение последних трех месяцев
798,2010,FL,R1GV81,Enjoy free drug supply,Пользовались бесплатным лекарственным обеспечением
799,2010,FL,R1GV82,Receive free spa treatment,Получали бесплатное санаторно-курортное лечение
800,2010,FL,R1GV83,Enjoy free or discounted travel on intercity transport to the place of treatment,Пользовались бесплатным или льготным проездом на междугородном транспорте к месту лечения и обратно
