varcode,russian,english
re1.11a,Ваша семья покупала за последние 7 дней свеклу морковь и другие корнеплоды? ,Your family bought in the last 7 days beets carrots and other root vegetables?
re1.11b,Сколько килограмм свеклы моркови и других корнеплодов Ваша семья купила в течение последних 7 дней? ,How many pounds of beets carrots and other root vegetables your family bought in the last 7 days?
re1.11c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свеклу морковь и другие корнеплоды? ,How many rubles your family paid in the last 7 days for beets carrots and other root vegetables?
re1.12a,Ваша семья покупала за последние 7 дней лук чеснок? ,Your family bought in the last 7 days of the onion garlic?
re1.12b,Сколько килограмм лука чеснока Ваша семья купила в течение последних 7 дней? ,How many pounds of onions garlic Your family bought in the last 7 days?
re1.12c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за лук чеснок? ,How many rubles your family paid in the last 7 days of the onion garlic?
re1.13a,Ваша семья покупала за последние 7 дней кабачки тыквы и тому подобное? ,Your family bought in the last 7 days squash pumpkins and the like?
re1.13b,Сколько килограмм кабачков тыквы и тому подобного Ваша семья купила в течение последних 7 дней? ,How many pounds of zucchini squash and the like your family has bought in the last 7 days?
re1.13c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за кабачки тыквы и тому подобное? ,How many rubles your family paid in the last 7 days for squash pumpkins and the like?
re1.14a,Ваша семья покупала за последние 7 дней другие овощи? ,Your family bought in the last 7 days other vegetables?
re1.14b,Сколько килограмм других овощей Ваша семья купила в течение последних 7 дней? ,How many pounds of other vegetables your family bought in the last 7 days?
re1.14c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за другие овощи? ,How many rubles your family paid in the last 7 days for other vegetables?
re1.15a,Ваша семья покупала за последние 7 дней арбузы дыни включая соленые и сушеные? ,Your family bought in the last 7 days watermelons melons including salted and dried?
re1.15b,Сколько килограмм арбузов дынь включая соленые и сушеные Ваша семья купила в течение последних 7 дней? ,How many pounds of watermelons melons including salted and dried your family bought in the last 7 days?
re1.15c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за арбузы дыни включая соленые и сушеные? ,How many rubles your family paid in the last 7 days for watermelons melons including salted and dried?
re1.16a,Ваша семья покупала за последние 7 дней фруктово-ягодные консервы? ,Your family bought in the last 7 days fruit and berry preserves?
re1.16b,Сколько килограмм фруктово-ягодных консервов Ваша семья купила в течение последних 7 дней? ,How many pounds of fruit preserves your family bought in the last 7 days?
re1.16c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за фруктово- ягодные консервы? ,How many rubles your family paid in the last 7 days for fruktovo- berry preserves?
re1.17a,Ваша семья покупала за последние 7 дней свежие ягоды? ,Your family bought in the last 7 days of fresh berries?
re1.17b,Сколько килограмм свежих ягод Ваша семья купила в течение последних 7 дней? ,How many pounds of fresh berries Your family bought in the last 7 days?
re1.17c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свежие ягоды? ,How many rubles your family paid in the last 7 days for fresh berries?
re1.18a,Ваша семья покупала за последние 7 дней свежие фрукты? ,Your family bought in the last 7 days of fresh fruit?
re1.18b,Сколько килограмм свежих фруктов Ваша семья купила в течение последних 7 дней? ,How many pounds of fresh fruit your family bought in the last 7 days?
re1.18c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свежие фрукты? ,How many rubles your family paid in the last 7 days for fresh fruit?
re1.19a,Ваша семья покупала за последние 7 дней сушеные фрукты и ягоды? ,Your family bought in the last 7 days dried fruit and berries?
re1.19b,Сколько килограмм сушеных фруктов и ягод Ваша семья купила в течение последних 7 дней? ,How many pounds of dried fruit and berries Your family bought in the last 7 days?
re1.19c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сушеные фрукты и ягоды? ,How many rubles your family paid in the last 7 days for dried fruits and berries?
re1.20a,Ваша семья покупала за последние 7 дней орехи семечки? ,Your family bought in the last 7 days nuts seeds?
re1.20b,Сколько килограмм орехов семечек Ваша семья купила в течение последних 7 дней? ,How many kilograms of nuts seeds Your family bought in the last 7 days?
re1.20c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за орехи семечки? ,How many rubles your family paid in the last 7 days for nuts seeds?
re1.21a,Ваша семья покупала за последние 7 дней мясные консервы? ,Your family bought in the last 7 days of canned meat?
re1.21b,Сколько килограмм мясных консервов Ваша семья купила в течение последних 7 дней? ,How many pounds of canned meat your family bought in the last 7 days?
re1.21c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мясные консервы? ,How many rubles your family paid in the last 7 days for canned meat?
re1.22a,Ваша семья покупала за последние 7 дней говядину телятину? ,Your family bought in the last 7 days beef veal?
re1.22b,Сколько килограмм говядины телятины Ваша семья купила в течение последних 7 дней? ,How many pounds of beef veal Your family bought in the last 7 days?
re1.22c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за говядину телятину? ,How many rubles your family paid in the last 7 days for beef veal?
re1.23a,Ваша семья покупала за последние 7 дней баранину козлятину? ,Your family bought in the last 7 days mutton goat meat?
re1.23b,Сколько килограмм баранины козлятины Ваша семья купила в течение последних 7 дней? ,How many pounds of mutton goat meat your family bought in the last 7 days?
re1.23c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за баранину козлятину? ,How many rubles your family paid in the last 7 days for mutton goat meat?
re1.24a,Ваша семья покупала за последние 7 дней свинину? ,Your family bought in the last 7 days of pork?
re1.24b,Сколько килограмм свинины Ваша семья купила в течение последних 7 дней? ,How many pounds of pork Your family bought in the last 7 days?
re1.24c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свинину? ,How many rubles your family paid in the last 7 days for pork?
re1.25a,Ваша семья покупала за последние 7 дней субпродукты: печень почки и так далее? ,Your family bought in the last 7 days offal: liver kidneys and so on?
re1.25b,Сколько килограмм субпродуктов: печени почек и так далее Ваша семья купила в течение последних 7 дней? ,How many kilograms of offal: liver kidneys etc. Your family bought in the last 7 days?
re1.25c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за субпродукты: печень почки и так далее? ,How many rubles your family paid in the last 7 days for offal: liver kidneys and so on?
re1.26a,Ваша семья покупала за последние 7 дней птицу? ,Your family bought in the last 7 days of the bird?
re1.26b,Сколько килограмм птицы Ваша семья купила в течение последних 7 дней? ,How many pounds of poultry Your family bought in the last 7 days?
re1.26c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за птицу? ,How many rubles your family paid in the last 7 days for a bird?
re1.27a,Ваша семья покупала за последние 7 дней сало другие животные жиры? ,Your family bought in the last 7 days fat other animal fats?
re1.27b,Сколько килограмм сала других животных жиров Ваша семья купила в течение последних 7 дней? ,How many pounds of lard and other animal fats your family bought in the last 7 days?
re1.27c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сало другие животные жиры? ,How many rubles your family paid in the last 7 days for lard and other animal fats?
re1.28a,Ваша семья покупала за последние 7 дней колбасные изделия копчености? ,Your family bought in the last 7 days sausages smoked?
re1.28b,Сколько килограмм колбасных изделий копченостей Ваша семья купила в течение последних 7 дней? ,How many pounds of sausage smoked Your family bought in the last 7 days?
re1.28c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за колбасные изделия копчености? ,How many rubles your family paid in the last 7 days for sausages smoked?
re1.29a,Ваша семья покупала за последние 7 дней мясные полуфабрикаты? ,Your family bought in the last 7 days meat products?
re1.29b,Сколько килограмм мясных полуфабрикатов Ваша семья купила в течение последних 7 дней? ,How many pounds of meat semifinished items your family has bought in the last 7 days?
re1.29c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мясные полуфабрикаты? ,How many rubles your family paid in the last 7 days for meat products?
re1.30a,Ваша семья покупала за последние 7 дней молочные консервы сухое молоко? ,Your family bought in the last 7 days canned milk powdered milk?
re1.30b,Сколько килограмм молочных консервов сухого молока Ваша семья купила в течение последних 7 дней? ,How many pounds of canned milk powdered milk your family bought in the last 7 days?
re1.30c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за молочные консервы сухое молоко? ,How many rubles your family paid in the last 7 days for canned milk powdered milk?
re1.31a,Ваша семья покупала за последние 7 дней молоко кроме сухого? ,Your family bought in the last 7 days milk but dry?
re1.31b,Сколько литров молока кроме сухого Ваша семья купила в течение последних 7 дней? ,How many liters of milk but dry your family bought in the last 7 days?
re1.31c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за молоко кроме сухого? ,How many rubles your family paid in the last 7 days for milk but dry?
re1.32a,Ваша семья покупала за последние 7 дней кисломолочные продукты: кефир йогурт и другие? ,Your family bought in the last 7 days of dairy products: yogurt yogurt and others?
re1.32b,Сколько литров кисломолочных продуктов: кефира йогурта и других Ваша семья купила в течение последних 7 дней? ,How many liters of milk products: yogurt yogurt and other Your family bought in the last 7 days?
re1.32c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за кисломолочные продукты: кефир йогурт и другие? ,How many rubles your family paid in the last 7 days for milk products: yogurt yogurt and others?
re1.33a,Ваша семья покупала за последние 7 дней сметану сливки? ,Your family bought in the last 7 days of sour cream cream?
re1.33b,Сколько литров сметаны сливок Ваша семья купила в течение последних 7 дней? ,How many liters of sour cream cream your family bought in the last 7 days?
re1.33c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сметану сливки? ,How many rubles your family paid in the last 7 days for sour cream cream?
re1.34a,Ваша семья покупала за последние 7 дней масло животное? ,Your family bought in the last 7 days butter?
re1.34b,Сколько килограмм масла животного Ваша семья купила в течение последних 7 дней? ,How many pounds of butter your family bought in the last 7 days?
re1.34c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за масло животное? ,How many rubles your family paid in the last 7 days for butter?
re1.35a,Ваша семья покупала за последние 7 дней творог сырковую массу? ,Your family bought in the last 7 days curd syrkovoy mass?
re1.35b,Сколько килограмм творога сырковой массы Ваша семья купила в течение последних 7 дней? ,How many pounds of cheese mass syrkovoy Your family bought in the last 7 days?
re1.35c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за творог сырковую массу? ,How many rubles your family paid in the last 7 days for cheese syrkovoy mass?
re1.36a,Ваша семья покупала за последние 7 дней сыр брынзу? ,Your family bought in the last 7 days the cheese the cheese?
re1.36b,Сколько килограмм сыра брынзы Ваша семья купила в течение последних 7 дней? ,How many pounds of cheese cheese your family bought in the last 7 days?
re1.36c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сыр брынзу? ,How many rubles your family paid in the last 7 days for cheese cheese?
re1.37a,Ваша семья покупала за последние 7 дней мороженое? ,Your family bought in the last 7 days of ice cream?
re1.37b,Сколько килограмм мороженого Ваша семья купила в течение последних 7 дней? ,How many pounds of ice cream your family bought in the last 7 days?
re1.37c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мороженое? ,How many rubles your family paid in the last 7 days for ice cream?
re1.38a,Ваша семья покупала за последние 7 дней масло растительное? ,Your family bought in the last 7 days of vegetable oil?
re1.38b,Сколько литров масла растительного Ваша семья купила в течение последних 7 дней? ,How many liters of vegetable oil Your family bought in the last 7 days?
re1.38c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за масло растительное? ,How many rubles your family paid in the last 7 days for vegetable oil?
re1.39a,Ваша семья покупала за последние 7 дней маргарин? ,Your family bought in the last 7 days margarine?
re1.39b,Сколько килограмм маргарина Ваша семья купила в течение последних 7 дней? ,How many kilograms of margarine Your family bought in the last 7 days?
re1.39c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за маргарин? ,How many rubles your family paid in the last 7 days for margarine?
re1.40a,Ваша семья покупала за последние 7 дней сахар? ,Your family bought in the last 7 days of sugar?
re1.40b,Сколько килограмм сахара Ваша семья купила в течение последних 7 дней? ,How many pounds of sugar Your family bought in the last 7 days?
re1.40c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сахар? ,How many rubles your family paid in the last 7 days for sugar?
re1.41a,Ваша семья покупала за последние 7 дней конфеты шоколад? ,Your family bought in the last 7 days of candy chocolate?
re1.41b,Сколько килограмм конфет шоколада Ваша семья купила в течение последних 7 дней? ,How many pounds of candy chocolate Your family bought in the last 7 days?
re1.41c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за конфеты шоколад? ,How many rubles your family paid in the last 7 days for candy chocolate?
re1.42a,Ваша семья покупала за последние 7 дней варенье джем? ,Your family bought in the last 7 days jam jam?
re1.42b,Сколько килограмм варенья джема Ваша семья купила в течение последних 7 дней? ,How many pounds of jam jam your family bought in the last 7 days?
re1.42c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за варенье джем? ,How many rubles your family paid in the last 7 days for jam marmalade?
re1.43a,Ваша семья покупала за последние 7 дней мед? ,Your family bought in the last 7 days honey?
re1.43b,Сколько литров меда Ваша семья купила в течение последних 7 дней? ,How many liters of honey Your family bought in the last 7 days?
re1.43c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мед? ,How many rubles your family paid in the last 7 days for honey?
re1.44a,Ваша семья покупала за последние 7 дней печенье пирожные торты вафли пряники сдобные булочки? ,Your family bought in the last 7 days biscuits pastries cakes waffles cakes muffins?
re1.44b,Сколько килограмм печенья пирожных тортов вафель пряников сдобных булочек Ваша семья купила в течение последних 7 дней? ,How many pounds of cookies cakes pies waffles cakes muffins your family bought in the last 7 days?
re1.44c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за печенье пирожные торты вафли пряники сдобные булочки? ,How many rubles your family paid in the last 7 days for cookies pastries cakes waffles cakes muffins?
re1.45a,Ваша семья покупала за последние 7 дней яйца? ,Your family bought in the last 7 days the egg?
re1.45b,Сколько штук яиц Ваша семья купила в течение последних 7 дней? ,How many eggs your family bought in the last 7 days?
re1.45c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за яйца? ,How many rubles your family paid in the last 7 days for eggs?
re1.46a,Ваша семья покупала за последние 7 дней рыбу свежую мороженую соленую сушеную рыбные полуфабрикаты? ,Your family bought in the last 7 days the fish fresh frozen salted dried semi-finished fish?
re1.46b,Сколько килограмм рыбы свежей мороженой соленой сушеной рыбных полуфабрикатов Ваша семья купила в течение последних 7 дней? ,How many pounds of fish fresh frozen salted dried semi-finished fish your family bought in the last 7 days?
re1.46c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за рыбу свежую мороженую соленую сушеную рыбные полуфабрикаты? ,How many rubles your family paid in the last 7 days for fish fresh frozen salted dried semi-finished fish?
re1.47a,Ваша семья покупала за последние 7 дней рыбные консервы? ,Your family bought in the last 7 days of canned fish?
re1.47b,Сколько килограмм рыбных консервов Ваша семья купила в течение последних 7 дней? ,How many pounds of canned fish your family bought in the last 7 days?
re1.47c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за рыбные консервы? ,How many rubles your family paid in the last 7 days for canned fish?
re1.58a,Ваша семья покупала за последние 7 дней другие морепродукты? ,Your family bought in the last 7 days other seafood?
re1.58b,Сколько килограмм морепродуктов купила Ваша семья за последние7 дней? ,How many pounds of seafood bought your family for poslednie7 days?
re1.58c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за морепродукты? ,How many rubles your family paid in the last 7 days for seafood?
re1.59a,Ваша семья покупала за последние 7 дней полуфабрикаты не считая мясных и рыбных? ,Your family bought in the last 7 days of semi-finished products not including meat and fish?
re1.59b,Сколько килограмм полуфабрикатов не считая мясных и рыбных купила Ваша семья за последние7 дней? ,How many kilograms of semi-finished products not including meat and fish bought for your family poslednie7 days?
re1.59c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за полуфабрикаты не считая мясные и рыбные? ,How many rubles your family paid in the last 7 days for the finished products not including meat and fish?
re1.60a,Ваша семья покупала за последние 7 дней готовую кулинарию? ,Your family bought in the last 7 days finished cooking?
re1.60c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за готовую кулинарию? ,How many rubles your family paid in the last 7 days for the finished cooking?
re1.48a,Ваша семья покупала за последние 7 дней чай? ,Your family bought in the last 7 days of tea?
re1.48b,Сколько килограмм чая Ваша семья купила в течение последних 7 дней? ,How many pounds of tea Your family bought in the last 7 days?
re1.48c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за чай? ,How many rubles your family paid in the last 7 days for tea?
re1.49a,Ваша семья покупала за последние 7 дней кофе кофейные напитки какао? ,Your family bought in the last 7 days coffee coffee drinks cocoa?
re1.49b,Сколько килограмм кофе кофейных напитков какао Ваша семья купила в течение последних 7 дней? ,How many pounds of coffee coffee drinks cocoa Your family bought in the last 7 days?
re1.49c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за кофе кофейные напитки какао? ,How many rubles your family paid in the last 7 days for coffee coffee drinks cocoa?
re1.50a,Ваша семья покупала за последние 7 дней безалкогольные напитки соки? ,Your family bought in the last 7 days soft drinks juices?
re1.50b,Сколько литров безалкогольных напитков соков Ваша семья купила в течение последних 7 дней? ,How many liters of soft drinks juices your family bought in the last 7 days?
re1.50c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за безалкогольные напитки соки? ,How many rubles your family paid in the last 7 days for soft drinks juices?
re1.51a,Ваша семья покупала за последние 7 дней соль другие специи различные соусы? ,Your family bought in the last 7 days of salt other spices various sauces?
re1.51b,Сколько килограмм соли других специй различных соусов Ваша семья купила в течение последних 7 дней? ,How many pounds of salt other spices various sauces Your family bought in the last 7 days?
re1.51c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за соль другие специи различные соусы? ,How many rubles your family paid in the last 7 days for salt and other spices various sauces?
re1.52a,Ваша семья покупала за последние 7 дней грибы? ,Your family bought in the last 7 days of the mushrooms?
re1.52b,Сколько килограмм грибов Ваша семья купила в течение последних 7 дней? ,How many pounds of mushrooms Your family bought in the last 7 days?
re1.52c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за грибы? ,How many rubles your family paid in the last 7 days for mushrooms?
re1.53a,Ваша семья покупала за последние 7 дней водку? ,Your family bought in the last 7 days of vodka?
re1.53b,Сколько литров водки Ваша семья купила в течение последних 7 дней? ,How many liters of vodka Your family bought in the last 7 days?
re1.53c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за водку? ,How many rubles your family paid in the last 7 days for vodka?
re1.54a,Ваша семья покупала за последние 7 дней вина другие ликероводочные изделия? ,Your family bought in the last 7 days of wine and other alcoholic beverages?
re1.54b,Сколько литров вина других ликероводочных изделий Ваша семья купила в течение последних 7 дней? ,How many liters of wine and other alcoholic beverages Your family bought in the last 7 days?
re1.54c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за вина другие ликероводочные изделия? ,How many rubles your family paid in the last 7 days for wine and other alcoholic beverages?
re1.55a,Ваша семья покупала за последние 7 дней пиво? ,Your family bought in the last 7 days of beer?
re1.55b,Сколько литров пива Ваша семья купила в течение последних 7 дней? ,How many liters of beer Your family bought in the last 7 days?
re1.55c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за пиво? ,How many rubles your family paid in the last 7 days for a beer?
re1.56a,Ваша семья покупала за последние 7 дней табачные изделия? ,Your family bought in the last 7 days of tobacco products?
re1.56b,Сколько пачек табачных изделий Ваша семья купила в течение последних 7 дней? ,How many packs of tobacco products your family bought in the last 7 days?
re1.56c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за табачные изделия? ,How many rubles your family paid in the last 7 days for tobacco products?
re1.57a,Ваша семья покупала за последние 7 дней жевательные резинки пастилки? ,Your family bought in the last 7 days of chewing gum lozenges?
re1.57b,Сколько штук жевательных резинок пастилок купила Ваша семья за последние 7 дней? ,How many pieces of chewing gum lozenges bought your family for the past 7 days?
re1.57c,Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за жевательные резинки пастилки? ,How many rubles your family paid in the last 7 days for chewing gum lozenges?
re2,В течение последних 7 дней Вы или другие члены Вашей семьи питались вне дома? ,In the last 7 days of you or other members of your family to eat out?
re3,Вспомните сколько примерно денег все члены Вашей семьи израсходовали на питание вне дома в течение последних 7 дней? ,Think of how much money about all your family members have spent on food away from home for the past 7 days?
re4,Вспомните сколько примерно денег все члены Вашей семьи израсходовали на питание дома и вне дома в течение последних 30 дней? ,Think of how much money about all your family members have spent on food at home and away from home for the past 30 days?
re5,Покупали Вы или другие члены Вашей семьи в течение последних 3-х месяцев что-либо из одежды или обуви для членов домохозяйства? ,Bought you or other members of your family over the last 3 months of any of the clothes or shoes for the household?
re6.1,Сколько Вы и другие члены домохозяйства потратили на приобретение одежды и обуви для взрослых то есть для членов домохозяйства 18-ти лет и старше в течение последних 3 месяцев? ,How much do you and other members of the household spent on the purchase of clothing and shoes for adults ie for household members 18 years and older in the last 3 months?
re6.2,Сколько Вы и другие члены домохозяйства потратили на приобретение одежды и обуви для детей то есть для членов домохозяйства младше 18-ти лет в течение последних 3 месяцев? ,How much do you and other members of the household spent on the purchase of clothing and shoes for children that is for household members under the age of 18 years during the last 3 months?
re7.1.0a,Ваша семья покупала в течение последних 3-х месяцев культтовары: телевизор магнитофон видео музыкальные инструменты компьютер фотоаппарат и тому подобное? ,Your family bought over the last 3 months of recreational goods television tape recorder video musical instruments computers cameras and the like?
re7.1.0b,Сколько всего рублей Ваша семья заплатила за культтовары: телевизор магнитофон видео музыкальные инструменты компьютер фотоаппарат и тому подобное? ,How many rubles your family paid for recreational goods television tape recorder video musical instruments computers cameras and the like?
re7.1.1a,Ваша семья покупала в течение последних 3-х месяцев мобильный телефон? ,Your family bought over the last 3 months mobile phone?
re7.1.1b,Сколько всего рублей Ваша семья заплатила за мобильный телефон? ,How many rubles your family paid for a mobile phone?
re7.2a,Ваша семья покупала в течение последних 3-х месяцев предметы домашней обстановки: мебель ковры и другое? ,Your family bought over the last 3 months of household furnishings: furniture carpets and other?
re7.2b,Сколько всего рублей Ваша семья заплатила за предметы домашней обстановки: мебель ковры и другое? ,How many rubles your family paid for household furnishings: furniture carpets and other?
re7.3a,Ваша семья покупала в течение последних 3-х месяцев бытовую технику: холодильник стиральную машину пылесос швейную машину утюг кухонный комбайн и тому подобное? ,Your family bought over the last 3 months of household appliances: refrigerators washing machines vacuum cleaners sewing machine iron food processor and the like?
re7.3b,Сколько всего рублей Ваша семья заплатила за бытовую технику: холодильник стиральную машину пылесос швейную машину утюг кухонный комбайн и тому подобное? ,How many rubles your family paid for the appliances: refrigerator washing machine vacuum cleaner sewing machine iron food processor and the like?
re7.4a,Ваша семья покупала в течение последних 3-х месяцев автомобиль или микроавтобус? ,Your family bought over the last 3 months of a car or van?
re7.4b,Сколько всего рублей Ваша семья заплатила за автомобиль или микроавтобус? ,How many rubles your family pay for a car or van?
re7.5a,Ваша семья покупала в течение последних 3-х месяцев мотоцикл мотороллер и тому подобное? ,Your family bought within the last 3 months motorcycle motor scooter and the like?
re7.5b,Сколько всего рублей Ваша семья заплатила за мотоцикл мотороллер и тому подобное? ,How many rubles your family paid for the motorcycle scooter and the like?
re7.6a,Ваша семья покупала в течение последних 3-х месяцев гараж? ,Your family bought over the last 3 months of the garage?
re7.6b,Сколько всего рублей Ваша семья заплатила за гараж? ,How many rubles your family paid for the garage?
re7.7a,Ваша семья покупала в течение последних 3-х месяцев строительные материалы материалы для ремонта? ,Your family bought over the last 3 months of construction materials materials for repair?
re7.7b,Сколько всего рублей Ваша семья заплатила за строительные материалы материалы для ремонта? ,How many rubles your family paid for building materials materials for repair?
re7.8a,Ваша семья покупала в течение последних 3-х месяцев дачу дом квартиру землю? ,Your family bought within the last 3 months cottage house apartment land?
re7.8b,Сколько всего рублей Ваша семья заплатила за дом дачу квартиру землю? ,How many rubles your family paid for a house villa apartment land?
re7.9a,Ваша семья покупала в течение последних 3-х месяцев книги учебники учебные пособия канцтовары? ,Your family bought over the last 3 months of books textbooks teaching aids stationery?
re7.9b,Сколько всего рублей Ваша семья заплатила за книги учебники учебные пособия канцтовары? ,How many rubles your family paid for books textbooks teaching aids stationery?
re7.10a,Ваша семья покупала в течение последних 3-х месяцев спортинвентарь: велосипед самокат коньки? ,Your family bought over the last 3 months of sports equipment bicycles scooters skates?
re7.10b,Сколько всего рублей Ваша семья заплатила за спортинвентарь: велосипед самокат коньки? ,How many rubles your family paid for sports equipment bicycles scooters skates?
re7.11,В течение последних 12 месяцев Ваша семья покупала товары длительного пользования - телевизор мобильный телефон холодильник мебель и тому подобное? ,In the last 12 months your family to buy durable goods - TV cell phone refrigerator furniture and the like?
re7.12.1,Ваша семья покупала товары длительного пользования на рынках? ,Your family to buy durable goods in the markets?
re7.12.2,Ваша семья покупала товары длительного пользования в магазинах торгующих через прилавок? ,Your family to buy durable goods in stores selling over the counter?
re7.12.3,Ваша семья покупала товары длительного пользования в сетевых магазинах самообслуживания или салонах - т.е. в магазинах работающих в разных местах под единой торговой маркой? ,Your family to buy durable goods in chain stores or self service salons - ie in shops operating in different locations under a single brand?
re7.12.4,Ваша семья покупала товары длительного пользования в других не сетевых магазинах самообслуживания салонах? ,Your family to buy durable goods in other non-networked self-service shops salons?
re7.12.5,Ваша семья покупала товары длительного пользования по телефону или через Интернет с доставкой на дом? ,Your family to buy durable goods over the phone or via the Internet with home delivery?
re7.12.6,Ваша семья покупала товары длительного пользования у друзей знакомых по объявлению? ,Your family to buy durable goods friends acquaintances ad?
re7.12.7,Ваша семья покупала товары длительного пользования в других местах? ,Your family to buy durable goods in other places?
re8.1a,Ваша семья покупала в течение последних 30 дней топливо для заправки автотранспорта двигателей генераторов? ,Your family bought in the last 30 days of fuel for refueling of motor vehicles engines generators?
re8.1b,Сколько всего рублей Ваша семья заплатила за топливо для заправки автотранспорта двигателей генераторов? ,How many rubles your family paid for the fuel for refueling of motor vehicles engines generators?
re8.2a,Ваша семья покупала в течение последних 30 дней дрова уголь торф керосин? ,Your family bought in the last 30 days wood coal peat kerosene?
re8.2b,Сколько всего рублей Ваша семья заплатила за дрова уголь торф керосин? ,How many rubles your family paid for wood coal peat kerosene?
